n_microgrids,horizon,n_scenarios,payload_count,max_variables,max_terms,max_median_runtime_seconds,best_expected_cost
3,4,2,2,44,272,0.0215702499262988,2860.8723596969935
3,4,4,4,44,280,0.0213970206677913,3895.478462753431
3,4,8,8,44,283,0.0230950834229588,4224.94756552629
3,6,2,2,66,408,0.0463620836380869,4372.590656564872
3,6,4,4,66,420,0.0471388748846948,6967.830889146516
3,6,8,8,66,424,0.0480663334019482,8063.157226327379
4,4,2,2,44,272,0.0214303960092365,2860.8723596969935
4,4,4,4,44,280,0.0215423125773668,3895.478462753431
4,4,8,8,44,283,0.0223272498697042,4224.94756552629
4,6,2,2,66,408,0.0470194171648472,4372.590656564872
4,6,4,4,66,420,0.0475487920921295,6967.830889146516
4,6,8,8,66,424,0.0476823125500232,8063.157226327379
