applied_scale,benchmark,component,normalized_max_abs_coefficient,payload_name,raw_max_abs_coefficient,raw_term_count,target_weight
410668.0,pglib_case5_pjm,max_customers_unserved_surrogate,5000.0,pglib_case5_pjm__demand_surge_BUS1_MG-BUS2_MG.json,0.0121752851451781,24,5000.0
16326.5306122449,pglib_case5_pjm,critical_infra_outage_hours_proxy,8000.0,pglib_case5_pjm__demand_surge_BUS1_MG-BUS2_MG.json,0.48999999999999994,36,8000.0
3207.305122839041,pglib_case5_pjm,islanded_reserve_margin,3500.0,pglib_case5_pjm__demand_surge_BUS1_MG-BUS2_MG.json,1.0912588188372523,12,3500.0
2000.0,pglib_case5_pjm,battery_reserve_holdback_high_stress,2000.0,pglib_case5_pjm__demand_surge_BUS1_MG-BUS2_MG.json,1.0,24,2000.0
1056000.0,pglib_case5_pjm,max_customers_unserved_surrogate,5000.0,pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG.json,0.004734848484848485,24,5000.0
16326.5306122449,pglib_case5_pjm,critical_infra_outage_hours_proxy,8000.0,pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG.json,0.48999999999999994,36,8000.0
5473.058721222626,pglib_case5_pjm,islanded_reserve_margin,3500.0,pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG.json,0.6394961534814549,12,3500.0
2000.0,pglib_case5_pjm,battery_reserve_holdback_high_stress,2000.0,pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG.json,1.0,24,2000.0
513335.00000000006,pglib_case5_pjm,max_customers_unserved_surrogate,5000.0,pglib_case5_pjm__normal_BUS1_MG-BUS2_MG.json,0.00974022811614248,24,5000.0
22857.14285714286,pglib_case5_pjm,critical_infra_outage_hours_proxy,8000.0,pglib_case5_pjm__normal_BUS1_MG-BUS2_MG.json,0.35,36,8000.0
4844.896688587105,pglib_case5_pjm,islanded_reserve_margin,3500.0,pglib_case5_pjm__normal_BUS1_MG-BUS2_MG.json,0.7224096250070275,12,3500.0
10000.0,pglib_case5_pjm,battery_reserve_holdback_high_stress,2000.0,pglib_case5_pjm__normal_BUS1_MG-BUS2_MG.json,0.2,24,2000.0
1319999.9999999998,pglib_case5_pjm,max_customers_unserved_surrogate,5000.0,pglib_case5_pjm__normal_BUS3_MG-BUS4_MG.json,0.0037878787878787884,24,5000.0
22857.14285714286,pglib_case5_pjm,critical_infra_outage_hours_proxy,8000.0,pglib_case5_pjm__normal_BUS3_MG-BUS4_MG.json,0.35,36,8000.0
11641.693182913896,pglib_case5_pjm,islanded_reserve_margin,3500.0,pglib_case5_pjm__normal_BUS3_MG-BUS4_MG.json,0.3006435528756957,12,3500.0
10000.0,pglib_case5_pjm,battery_reserve_holdback_high_stress,2000.0,pglib_case5_pjm__normal_BUS3_MG-BUS4_MG.json,0.2,24,2000.0
269500.87500000006,pglib_case5_pjm,max_customers_unserved_surrogate,5000.0,pglib_case5_pjm__pcc_failure_BUS1_MG-BUS2_MG.json,0.018552815459319007,24,5000.0
11428.57142857143,pglib_case5_pjm,critical_infra_outage_hours_proxy,8000.0,pglib_case5_pjm__pcc_failure_BUS1_MG-BUS2_MG.json,0.7,36,8000.0
2415.8645787979085,pglib_case5_pjm,islanded_reserve_margin,3500.0,pglib_case5_pjm__pcc_failure_BUS1_MG-BUS2_MG.json,1.448756702141615,12,3500.0
2000.0,pglib_case5_pjm,battery_reserve_holdback_high_stress,2000.0,pglib_case5_pjm__pcc_failure_BUS1_MG-BUS2_MG.json,1.0,24,2000.0
692999.9999999999,pglib_case5_pjm,max_customers_unserved_surrogate,5000.0,pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,0.007215007215007217,24,5000.0
11428.57142857143,pglib_case5_pjm,critical_infra_outage_hours_proxy,8000.0,pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,0.7,36,8000.0
5648.785835730895,pglib_case5_pjm,islanded_reserve_margin,3500.0,pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,0.6196021767830282,12,3500.0
2000.0,pglib_case5_pjm,battery_reserve_holdback_high_stress,2000.0,pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,1.0,24,2000.0
374001.2142857143,pglib_case5_pjm,max_customers_unserved_surrogate,5000.0,pglib_case5_pjm__renewable_shortfall_BUS1_MG-BUS2_MG.json,0.013368940551568108,24,5000.0
16326.5306122449,pglib_case5_pjm,critical_infra_outage_hours_proxy,8000.0,pglib_case5_pjm__renewable_shortfall_BUS1_MG-BUS2_MG.json,0.48999999999999994,36,8000.0
