dataset,payload_name,scenario,patch,sample_count,repeat_count,job_count,expected_operating_cost_best,expected_operating_cost_median,risk_adjusted_cost_best,risk_adjusted_cost_median,critical_load_served_fraction_best,critical_load_served_fraction_median,critical_energy_not_served_best,total_energy_not_served_best,max_fraction_customers_unserved_per_hour_best,total_critical_infrastructure_unserved_hours_proxy_best,feasibility_after_repair_rate,pre_repair_violation_rate,post_repair_violation_rate,pre_repair_violation_median,post_repair_violation_median,qci_energy_best,qci_energy_median,decoded_objective_best,runtime_seconds_total,runtime_seconds_median,time_to_good_solution
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS14_MG-BUS1_MG,30,1,1,164.726091745946,186.2330662770437,164.726091745946,186.2330662770437,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7124.412659000001,2.842170943040401e-14,-185946.25,-156124.2421875,4388.8215282362835,12990.0,433.0,433.0
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS14_MG,30,1,1,74.68397366534091,74.68397366534091,89.52938006534092,89.52938006534092,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11879.621794599998,2.1316282072803006e-14,-47862904.0,-6634432.0,-82924494.27870291,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS1_MG-BUS2_MG,30,1,1,219.51445199017087,248.51922412007252,219.51445199017087,248.51922412007252,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6176.13084145,2.842170943040401e-14,-190486.046875,-168820.46875,5670.15132708795,12900.0,430.0,430.0
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS1_MG,30,1,1,74.9222013359146,81.54155485099724,80.54400873591459,87.16336225099724,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9249.411573549998,5.684341886080802e-14,-31450200.0,-6813308.0,-73651504.77284256,870.0,29.0,29.0
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS2_MG,30,1,1,134.2192105933409,148.98107669459088,150.3858841933409,163.4474524195909,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10271.63315975,2.842170943040401e-14,-32641656.0,-9112153.0,-69389182.01679024,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS3_MG-BUS4_MG,30,1,1,253.02473870400001,269.61436292467044,253.02473870400001,269.61436292467044,1.0,1.0,0.0,2.259750000000011,0.0014546172922663672,0.0,1.0,1.0,0.0,7370.458402749999,7.105427357601002e-15,-505858.5625,-481639.484375,7637.309146933579,12930.0,431.0,431.0
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS3_MG,30,1,1,30.378047665340894,30.3780476653409,94.1373095163409,106.4765756653409,1.0,0.0,0.0,7.802930000000018,0.005022802039315842,0.0,1.0,1.0,0.0,11685.023192000002,2.1316282072803006e-14,-32093352.0,-14345136.0,-67495764.36957824,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS4_MG-BUS9_MG,30,1,1,268.756755576,307.93672539796637,268.756755576,307.93672539796637,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6718.200706499999,1.4210854715202004e-14,-268374.28125,-251878.5234375,7432.554485003756,12990.0,433.0,433.0
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS4_MG,30,1,1,135.8156126653409,151.7441057293409,177.4337342653409,193.3622273293409,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10826.074145350001,2.842170943040401e-14,-37384624.0,-7059439.0,-72632110.28561129,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS9_MG,30,1,1,121.0259876653409,132.0107876653409,148.5643556653409,158.0925076320909,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11025.187324800001,1.4210854715202004e-14,-26170224.0,-6949357.0,-60264321.53693229,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS14_MG-BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,local_generator_failure,BUS14_MG-BUS1_MG,30,1,1,161.95861706842734,178.4929807099635,161.95861706842734,178.4929807099635,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7145.740572500002,2.842170943040401e-14,-188629.84375,-155641.390625,6935.685845418957,13020.0,434.0,434.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,local_generator_failure,BUS14_MG,30,1,1,74.7442826653409,74.7442826653409,83.9210933013409,87.3866942653409,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11746.663621500002,7.105427357601002e-15,-27464304.0,-10590096.0,-63302457.40920425,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,local_generator_failure,BUS1_MG-BUS2_MG,30,1,1,190.7098641770113,208.9427468256426,190.7098641770113,208.9427468256426,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6345.487471799999,2.842170943040401e-14,-193940.125,-165447.1484375,4114.9695446011565,12990.0,433.0,433.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,local_generator_failure,BUS1_MG,30,1,1,74.09332240716888,81.59877194730682,78.88087400716888,86.38632354730682,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9899.483775249999,8.526512829121202e-14,-28298952.0,-6305403.0,-70569850.97103605,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,local_generator_failure,BUS2_MG,30,1,1,107.3843092793409,123.5447238953409,121.1519176793409,137.3123322953409,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11107.371794299997,2.842170943040401e-14,-16788584.0,-431084.0,-54215463.05868535,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,local_generator_failure,BUS3_MG-BUS4_MG,30,1,1,248.075213904,265.79166803475,248.075213904,265.79166803475,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7332.879910900001,1.4210854715202004e-14,-413997.5625,-384141.359375,6150.921233583461,12960.0,432.0,432.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,local_generator_failure,BUS3_MG,30,1,1,29.925515665340903,30.890075665340902,94.5478454423409,95.69590766534091,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11812.58467545,2.1316282072803006e-14,-32251808.0,-10886124.0,-67183710.47300705,960.0,32.0,32.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,local_generator_failure,BUS4_MG-BUS9_MG,30,1,1,286.4579823793409,309.3276952355909,286.4579823793409,309.3276952355909,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6674.717086399999,1.4210854715202004e-14,-249100.046875,-224027.90625,6987.188368721561,12900.0,430.0,430.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,local_generator_failure,BUS4_MG,30,1,1,134.7073526653409,164.3528387355,170.1495230653409,197.92352292150002,1.0,0.0713468354635528,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9886.206856350002,2.842170943040401e-14,-35510928.0,-9831930.0,-73511110.9293151,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,local_generator_failure,BUS9_MG,30,1,1,124.40699066534089,132.1301906653409,147.8587826653409,155.5819826653409,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11029.002155000002,2.842170943040401e-14,-25331240.0,-10417511.0,-63103854.438134596,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,normal,BUS14_MG-BUS1_MG,30,1,1,151.05609495053216,175.16894352374285,151.05609495053216,175.16894352374285,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7169.095161599999,2.842170943040401e-14,-346412.84375,-294984.796875,5007.705644511242,13020.0,434.0,434.0
