coefficient_scaling_factor,continuous_variable_count,degree,integer_variable_count,max_abs_coefficient,payload_name,term_count,variable_count
1.945432667943802e-06,132,3,0,514024.4720250001,pglib_case5_pjm__demand_surge_BUS1_MG-BUS2_MG.json,912,132
1.0891044625571353e-06,132,3,0,918185.5684000002,pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG.json,912,132
3.3636333631225113e-06,132,3,0,297297.5625,pglib_case5_pjm__normal_BUS1_MG-BUS2_MG.json,912,132
1.8611957438175731e-06,132,3,0,537289.0,pglib_case5_pjm__normal_BUS3_MG-BUS4_MG.json,912,132
3.0023424369516286e-06,132,3,0,333073.2656250001,pglib_case5_pjm__pcc_failure_BUS1_MG-BUS2_MG.json,924,132
1.6124968505920888e-06,132,3,0,620156.25,pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,912,132
2.670934423230543e-06,132,3,0,374400.80568900006,pglib_case5_pjm__renewable_shortfall_BUS1_MG-BUS2_MG.json,912,132
1.4677430232140218e-06,132,3,0,681318.1763999999,pglib_case5_pjm__renewable_shortfall_BUS3_MG-BUS4_MG.json,912,132
4e-05,132,3,0,25000.0,pglib_case14_ieee__demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
1.9825915339338025e-05,132,3,0,50439.03309804961,pglib_case14_ieee__demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
1.9825915339338025e-05,66,3,0,50439.03309804961,pglib_case14_ieee__demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__local_generator_failure_BUS14_MG-BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__local_generator_failure_BUS14_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__local_generator_failure_BUS1_MG-BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,916,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__local_generator_failure_BUS1_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__local_generator_failure_BUS2_MG__from__local_generator_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,460,66
3.1513016471157156e-05,132,3,0,31732.91902776961,pglib_case14_ieee__local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
3.1513016471157156e-05,66,3,0,31732.91902776961,pglib_case14_ieee__local_generator_failure_BUS3_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__local_generator_failure_BUS4_MG-BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__local_generator_failure_BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__local_generator_failure_BUS9_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__normal_BUS14_MG-BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__normal_BUS14_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
3.4685270827764116e-05,132,3,0,28830.681615999998,pglib_case14_ieee__normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
3.4685270827764116e-05,66,3,0,28830.681615999998,pglib_case14_ieee__normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,924,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,924,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,468,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
3.088272438605062e-05,132,3,0,32380.56291600001,pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
3.088272438605062e-05,66,3,0,32380.56291600001,pglib_case14_ieee__pcc_failure_BUS3_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,132,3,0,25000.0,pglib_case14_ieee__pcc_failure_BUS4_MG-BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,912,132
4e-05,66,3,0,25000.0,pglib_case14_ieee__pcc_failure_BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
4e-05,66,3,0,25000.0,pglib_case14_ieee__pcc_failure_BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,456,66
