coefficient_scaling_factor,contains_challenge_penalty_components,degree,horizon,patch_ids,payload_name,payload_path,qci_executable,scenario,source_benchmark,source_payload_id,source_payload_path,term_count,variable_count
1.945432667943802e-06,True,3,6,"[""BUS1_MG"", ""BUS2_MG""]",pglib_case5_pjm__demand_surge_BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__demand_surge_BUS1_MG-BUS2_MG.json,True,demand_surge,pglib_case5_pjm,demand_surge_BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case5_pjm/qci_payloads/demand_surge_BUS1_MG-BUS2_MG.json,912,132
1.0891044625571353e-06,True,3,6,"[""BUS3_MG"", ""BUS4_MG""]",pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__demand_surge_BUS3_MG-BUS4_MG.json,True,demand_surge,pglib_case5_pjm,demand_surge_BUS3_MG-BUS4_MG,results/phase3/public_benchmarks/pglib_case5_pjm/qci_payloads/demand_surge_BUS3_MG-BUS4_MG.json,912,132
3.3636333631225113e-06,True,3,6,"[""BUS1_MG"", ""BUS2_MG""]",pglib_case5_pjm__normal_BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__normal_BUS1_MG-BUS2_MG.json,True,normal,pglib_case5_pjm,normal_BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case5_pjm/qci_payloads/normal_BUS1_MG-BUS2_MG.json,912,132
1.8611957438175731e-06,True,3,6,"[""BUS3_MG"", ""BUS4_MG""]",pglib_case5_pjm__normal_BUS3_MG-BUS4_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__normal_BUS3_MG-BUS4_MG.json,True,normal,pglib_case5_pjm,normal_BUS3_MG-BUS4_MG,results/phase3/public_benchmarks/pglib_case5_pjm/qci_payloads/normal_BUS3_MG-BUS4_MG.json,912,132
3.0023424369516286e-06,True,3,6,"[""BUS1_MG"", ""BUS2_MG""]",pglib_case5_pjm__pcc_failure_BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS1_MG-BUS2_MG.json,True,pcc_failure,pglib_case5_pjm,pcc_failure_BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case5_pjm/qci_payloads/pcc_failure_BUS1_MG-BUS2_MG.json,924,132
1.6124968505920888e-06,True,3,6,"[""BUS3_MG"", ""BUS4_MG""]",pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,True,pcc_failure,pglib_case5_pjm,pcc_failure_BUS3_MG-BUS4_MG,results/phase3/public_benchmarks/pglib_case5_pjm/qci_payloads/pcc_failure_BUS3_MG-BUS4_MG.json,912,132
2.670934423230543e-06,True,3,6,"[""BUS1_MG"", ""BUS2_MG""]",pglib_case5_pjm__renewable_shortfall_BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__renewable_shortfall_BUS1_MG-BUS2_MG.json,True,renewable_shortfall,pglib_case5_pjm,renewable_shortfall_BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case5_pjm/qci_payloads/renewable_shortfall_BUS1_MG-BUS2_MG.json,912,132
1.4677430232140218e-06,True,3,6,"[""BUS3_MG"", ""BUS4_MG""]",pglib_case5_pjm__renewable_shortfall_BUS3_MG-BUS4_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__renewable_shortfall_BUS3_MG-BUS4_MG.json,True,renewable_shortfall,pglib_case5_pjm,renewable_shortfall_BUS3_MG-BUS4_MG,results/phase3/public_benchmarks/pglib_case5_pjm/qci_payloads/renewable_shortfall_BUS3_MG-BUS4_MG.json,912,132
4e-05,True,3,6,"[""BUS14_MG"", ""BUS1_MG""]",pglib_case14_ieee__demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,912,132
4e-05,True,3,6,"[""BUS14_MG""]",pglib_case14_ieee__demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,results/phase3/cmpo_v2/qci_payloads/pglib_case14_ieee__demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,True,demand_surge,pglib_case14_ieee,demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG,results/phase3/public_benchmarks/pglib_case14_ieee/qci_fit_payloads/demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,456,66
