payload,repeat,job_id,status,raw_energies,raw_solutions,runtime_seconds,failure_reason,request_json,response_json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,0,6a580bdf08442f441bbb17c9,SKIPPED_COMPLETED,[],[],0.0,Existing completed QCi result not overwritten: results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_000/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_000/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_000/response.json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,1,6a580be008442f441bbb17ca,SKIPPED_COMPLETED,[],[],0.0,Existing completed QCi result not overwritten: results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_001/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_001/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_001/response.json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,2,6a580be008442f441bbb17cb,SKIPPED_COMPLETED,[],[],0.0,Existing completed QCi result not overwritten: results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_002/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_002/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_002/response.json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,3,6a580be108442f441bbb17cc,SKIPPED_COMPLETED,[],[],0.0,Existing completed QCi result not overwritten: results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_003/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_003/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_003/response.json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,4,6a580c1008442f441bbb17ce,SKIPPED_COMPLETED,[],[],0.0,Existing completed QCi result not overwritten: results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_004/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_004/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_004/response.json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,5,6a580c2108442f441bbb17cf,SKIPPED_COMPLETED,[],[],0.0,Existing completed QCi result not overwritten: results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_005/response.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_005/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_005/response.json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,6,6a580cb208442f441bbb17db,COMPLETED,[-5508120.5],"[[223.5272217, 168.769577, 72.4313278, 194.5279388, 192.8363495, 43.4452744, 0, 0, 0.6593451, 0, 0, 145.2960205, 75.5693893, 111.5930023, 155.1070557, 204.3964539, 96.8061142, 0, 0, 1.4005774, 0, 0, 284.9992371, 147.0684967, 60.6154709, 199.5014191, 119.7466049, 56.6803322, 0, 0, 0.6995341, 0, 0, 225.1024323, 123.0821457, 98.8149338, 243.3354187, 169.9845428, 95.4894257, 0, 0, 0.7334655, 0, 0, 146.7769318, 133.967514, 169.8302917, 207.5332947, 172.1108856, 80.6951218, 0, 0, 0.6771566, 0, 0, 205.2382507, 89.3205414, 172.8671722, 76.5356216, 59.0034294, 69.6374435, 0, 0, 0.9802661, 0, 0, 249.904007, 81.9803391, 73.2217255, 123.33638, 189.0233002, 70.9779892, 0, 0, 1.4250582, 0, 0, 247.6921692, 127.3667068, 59.245369, 177.2810364, 249.8350067, 53.8246574, 0, 0, 0.7192649, 0, 0, 160.3747711, 124.3776245, 173.2962646, 131.4801788, 207.5120239, 32.7666931, 0, 0, 1.4575551, 0, 0, 78.2488174, 107.9709396, 77.4359894, 147.7405853, 392.9906311, 55.9862022, 0, 0, 0.6613451, 0, 0, 242.9967957, 97.3182602, 100.5587387, 113.9577179, 195.9423981, 46.2808685, 0, 0, 0.9066837, 0, 0, 228.3951569, 63.4867516, 108.1773529, 60.4983635, 191.7273712, 53.285305, 0, 0, 0.9421296, 0, 0]]",125.34563545812853,,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_006/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_006/response.json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,7,6a580cc308442f441bbb17dc,COMPLETED,[-5506563.5],"[[225.5644073, 119.7896118, 93.9396057, 107.8339767, 162.146347, 74.075882, 0, 0, 0.9787083, 0, 0, 165.3200989, 168.0689545, 127.9370804, 146.4039917, 237.4153595, 65.9512253, 0, 0, 0.9398724, 0, 0, 289.8980103, 118.65242, 136.7107391, 110.8840179, 79.7124405, 101.487999, 0, 0, 1.1182206, 0, 0, 232.5575867, 150.9975128, 121.7348099, 136.9797363, 170.3025513, 99.5440292, 0, 0, 1.2806458, 0, 0, 255.0045166, 121.00634, 114.779953, 137.7838745, 171.2720337, 127.1423111, 0, 0, 0.5113761, 0, 0, 212.422348, 85.5432358, 37.3825073, 193.0120392, 170.9918365, 35.8726196, 0, 0, 0.8954733, 0, 0, 285.6915588, 92.0636292, 64.6204529, 166.2601471, 230.6607056, 97.9052124, 0, 0, 0.6714829, 0, 0, 310.9078064, 112.0177307, 118.4656677, 132.0039215, 104.6126556, 35.8242531, 0, 0, 1.6970912, 0, 0, 129.6186218, 74.4060974, 96.7232819, 101.6959991, 312.8615417, 84.190834, 0, 0, 1.1646891, 0, 0, 228.9719086, 84.6233902, 56.4968643, 142.4848175, 230.7799988, 35.3269272, 0, 0, 1.1813833, 0, 0, 145.5471039, 39.8185234, 66.4978333, 96.9989319, 292.8114929, 57.3039513, 0, 0, 1.0633638, 0, 0, 275.0240479, 113.5562286, 111.9595032, 83.7239456, 184.9936829, 83.8863754, 0, 0, 1.0396409, 0, 0]]",141.22126100002788,,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_007/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_007/response.json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,8,6a580d1a08442f441bbb17e3,COMPLETED,[-5510610.5],"[[344.0057983, 152.6290283, 81.6843033, 156.9418793, 34.7132568, 19.4659233, 0, 0, 0.4082476, 0, 0, 269.7261963, 158.7561646, 94.7269135, 191.3540039, 155.2435608, 78.7139969, 0, 0, 0.6367981, 0, 0, 128.736969, 116.6927032, 78.5667801, 235.7571716, 215.5408325, 43.2023163, 0, 0, 0.9252588, 0, 0, 103.6017609, 93.9298401, 148.1071014, 170.8912964, 181.9984741, 73.8687973, 0, 0, 0.8061268, 0, 0, 221.2259674, 159.409256, 121.6637421, 183.9041901, 148.4707794, 56.7785263, 0, 0, 0.8585795, 0, 0, 242.2559052, 63.9762497, 98.7744064, 145.33078, 81.3078995, 55.2979889, 0, 0, 1.4294329, 0, 0, 163.4147644, 114.5566406, 77.9494934, 153.5075378, 305.4224243, 74.2660294, 0, 0, 1.1089127, 0, 0, 283.5648804, 120.5003815, 76.8238983, 189.0723419, 190.748764, 39.1922989, 0, 0, 0.9226818, 0, 0, 167.7498016, 90.4285965, 124.0571136, 150.8459015, 265.3214111, 69.2200165, 0, 0, 1.2858783, 0, 0, 201.6242981, 154.9842987, 151.3478088, 145.6916656, 253.7473907, 23.8599415, 0, 0, 0.8326097, 0, 0, 282.0480347, 105.9472656, 145.3358307, 92.5545654, 126.4537582, 43.9080658, 0, 0, 1.7959762, 0, 0, 253.9897156, 53.3040504, 80.7211304, 57.5581551, 179.2893066, 71.4469833, 0, 0, 1.2846025, 0, 0]]",263.31573095801286,,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_008/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_008/response.json
results/phase3/cmpo_v2/qci_payloads/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG.json,9,6a580d1b08442f441bbb17ea,COMPLETED,[-5496657.5],"[[168.0733948, 139.157486, 116.9179382, 115.1066895, 196.9623413, 47.2747192, 0, 0, 0.7083784, 0, 0, 139.3574371, 144.6009827, 73.7682114, 176.307785, 251.835022, 47.9432297, 0, 0, 2.2900915, 0, 0, 98.6447296, 133.5686188, 110.4963684, 170.653244, 263.8618164, 55.7211075, 0, 0, 1.3279904, 0, 0, 130.6944885, 101.8226395, 167.0265961, 99.5095596, 163.9640503, 66.9866257, 0, 0, 1.3378932, 0, 0, 236.9931641, 87.4881973, 67.4398193, 121.4245224, 195.0636902, 121.813797, 0, 0, 1.8099071, 0, 0, 161.6929779, 137.819931, 89.0560074, 155.531189, 223.3374329, 65.0334396, 0, 0, 1.0667535, 0, 0, 230.8110962, 141.414978, 82.8588028, 174.1689606, 283.9826965, 67.3929214, 0, 0, 1.237981, 0, 0, 267.8334351, 78.6693573, 121.7975159, 140.1983643, 179.8707428, 74.9565125, 0, 0, 1.277084, 0, 0, 349.8647461, 127.6228027, 130.8832397, 123.0266342, 135.8261566, 96.3996048, 0, 0, 1.2417529, 0, 0, 292.9488831, 109.649704, 99.0412445, 116.8441086, 126.5700836, 38.9632797, 0, 0, 1.5048569, 0, 0, 267.7033386, 98.5096283, 76.703186, 122.3185043, 209.7684021, 72.9361343, 0, 0, 1.0246168, 0, 0, 314.6202393, 80.3590317, 152.2826538, 49.346489, 70.4682617, 33.6592636, 0, 0, 1.9526916, 0, 0]]",368.51666479115374,,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_009/request.json,results/phase3/cmpo_v2_smoke/qci/pglib_case5_pjm__pcc_failure_BUS3_MG-BUS4_MG/repeat_009/response.json
