dataset,scope,scenario,patch,qci_payload_type,repeat_budget,qci_job_count,qci_sample_count,qci_feasibility_after_repair,qci_pre_repair_violation_rate,qci_post_repair_violation_rate,qci_critical_load_served_fraction_mean,qci_critical_load_served_fraction_median,qci_critical_energy_not_served_kwh_mean,qci_max_fraction_customers_unserved_per_hour_max,qci_infra_unserved_hours_proxy_mean,lowest_qci_energy_is_best_risk_count,lowest_qci_energy_is_best_critical_served_count,qci_energy_vs_critical_served_corr,failure_modes,evidence,recommended_small_change,source_full_payload_id,qci_payload_name,patch_ids,variable_count,coefficient_scaling_factor,qci_risk_adjusted_cost_best,best_baseline_risk_method,best_baseline_risk_adjusted_cost_best,risk_ratio_qci_to_best,qci_critical_load_served_fraction_best,best_baseline_critical_load_served_fraction_best,critical_served_gap,qci_critical_energy_not_served_best,best_baseline_critical_energy_not_served_best,critical_ens_gap,qci_max_fraction_customers_unserved_per_hour_best,best_baseline_max_fraction_customers_unserved_per_hour_best,max_unserved_gap,qci_feasibility_after_repair_rate,best_baseline_feasibility_after_repair_rate,likely_failure_modes,closest_rank_within_dataset
pglib_case5_pjm_adapted,dataset,ALL,ALL,full_qci_payloads,50.0,400.0,400.0,1.0,1.0,0.0,0.7461045931441351,0.8194723559906191,344.34405404733786,0.2777440685052399,4.095,0.0,0.0,0.0859256147328051,underweighted_critical_load|underweighted_max_unserved_constraint|poor_sample_selection|weak_repair_projection_interface|bad_coefficient_scaling|objective_mismatch,"QCi loses critical-load served and/or critical ENS to the best baseline in scenario-stress comparison. QCi max fraction customers unserved is higher than the best baseline. lowest QCi energy is best risk for 0/8 payloads and best critical-served for 0/8 payloads. All raw QCi samples violate constraints before repair, then repair projects them to feasible states; hardware objective does not directly see repaired feasibility/resilience. coefficient max=9.18e+05, median |coef|=8, median scale=1.9e-06. corr(qci_energy, critical_load_served_fraction)=0.086; lower QCi energy is not a reliable repaired-resilience ranking signal.","reweight critical ENS/max-unserved penalties, rerank QCi samples by repaired Phase 3 metrics, and rebuild QCi-fit patches using two-bus/full-132 patches before any new QCi run",,,,,,,,,,,,,,,,,,,,,,
pglib_case14_adapted,dataset,ALL,ALL,qci_fit_decomposed_payloads,30.0,60.0,1800.0,1.0,1.0,0.0,0.29056958596769106,0.0,93.92755360316666,0.656371233054395,4.726666666666667,19.0,36.0,0.7561958171983961,underweighted_critical_load|poor_sample_selection|weak_repair_projection_interface|bad_coefficient_scaling|decomposition_quality|objective_mismatch|runtime_repeat_budget_secondary,"QCi loses critical-load served and/or critical ENS to the best baseline in scenario-stress comparison. lowest QCi energy is best risk for 19/60 payloads and best critical-served for 36/60 payloads. All raw QCi samples violate constraints before repair, then repair projects them to feasible states; hardware objective does not directly see repaired feasibility/resilience. coefficient max=5.04e+04, median |coef|=8, median scale=0.0001. QCi-fit payloads solve single/two-microgrid patches rather than the full 198-variable source payload; median variable count is below the 132 limit. corr(qci_energy, critical_load_served_fraction)=0.756; lower QCi energy is not a reliable repaired-resilience ranking signal. repeat/sample budget is 30; increasing samples alone is secondary unless paired with repaired-metric reranking.","reweight critical ENS/max-unserved penalties, rerank QCi samples by repaired Phase 3 metrics, and rebuild QCi-fit patches using two-bus/full-132 patches before any new QCi run",,,,,,,,,,,,,,,,,,,,,,
pglib_case30_adapted,dataset,ALL,ALL,qci_fit_decomposed_payloads,20.0,66.0,1320.0,1.0,1.0,0.0,0.22517905165338736,0.0,85.42504106568182,0.5500107130408087,5.213636363636364,27.0,43.0,0.7195197008921208,underweighted_critical_load|underweighted_max_unserved_constraint|poor_sample_selection|weak_repair_projection_interface|bad_coefficient_scaling|decomposition_quality|objective_mismatch|runtime_repeat_budget_secondary,"QCi loses critical-load served and/or critical ENS to the best baseline in scenario-stress comparison. QCi max fraction customers unserved is higher than the best baseline. lowest QCi energy is best risk for 27/66 payloads and best critical-served for 43/66 payloads. All raw QCi samples violate constraints before repair, then repair projects them to feasible states; hardware objective does not directly see repaired feasibility/resilience. coefficient max=5.09e+04, median |coef|=8, median scale=0.0001. QCi-fit payloads solve single/two-microgrid patches rather than the full 198-variable source payload; median variable count is below the 132 limit. corr(qci_energy, critical_load_served_fraction)=0.720; lower QCi energy is not a reliable repaired-resilience ranking signal. repeat/sample budget is 20; increasing samples alone is secondary unless paired with repaired-metric reranking.","reweight critical ENS/max-unserved penalties, rerank QCi samples by repaired Phase 3 metrics, and rebuild QCi-fit patches using two-bus/full-132 patches before any new QCi run",,,,,,,,,,,,,,,,,,,,,,
pglib_case14_adapted,qci_fit_patch,storm_forced_islanding,BUS4_MG-BUS9_MG,,,,,,,,,,,,,,,,,,,storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG,storm_forced_islanding_BUS4_MG-BUS9_MG__from__storm_forced_islanding_BUS3_MG-BUS4_MG-BUS9_MG.json,"[""BUS4_MG"", ""BUS9_MG""]",132.0,7.818876837666333e-05,93.87457409384176,DifferentialEvolutionOptimizer,167.91590667443882,0.559057065843375,0.9984183905503764,0.5879134360923797,-0.41050495445799673,0.4227451999999871,231.3481823532408,-230.9254371532408,0.1447094230658155,0.4963719772348401,-0.3516625541690246,1.0,1.0,objective_mismatch_or_cost_gap,1.0
pglib_case14_adapted,qci_fit_patch,storm_forced_islanding,BUS1_MG-BUS2_MG,,,,,,,,,,,,,,,,,,,storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG,storm_forced_islanding_BUS1_MG-BUS2_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,"[""BUS1_MG"", ""BUS2_MG""]",132.0,0.0001,32.00229990538202,Stress-only reserve heuristic baseline,39.88374398939284,0.802389562872861,1.0,1.0,0.0,0.0,0.0,0.0,1.4323208734519189e-08,0.0,1.4323208734519189e-08,1.0,1.0,objective_mismatch_or_cost_gap,2.0
pglib_case14_adapted,qci_fit_patch,storm_forced_islanding,BUS14_MG-BUS1_MG,,,,,,,,,,,,,,,,,,,storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG,storm_forced_islanding_BUS14_MG-BUS1_MG__from__storm_forced_islanding_BUS14_MG-BUS1_MG-BUS2_MG.json,"[""BUS14_MG"", ""BUS1_MG""]",132.0,0.0001,36.8209406478065,Stress-only reserve heuristic baseline,39.88374398939284,0.9232067244639596,1.0,1.0,0.0,0.0,0.0,0.0,1.019279505293691e-08,0.0,1.019279505293691e-08,1.0,1.0,objective_mismatch_or_cost_gap,3.0
pglib_case14_adapted,qci_fit_patch,local_generator_failure,BUS3_MG-BUS4_MG,,,,,,,,,,,,,,,,,,,local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG,local_generator_failure_BUS3_MG-BUS4_MG__from__local_generator_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,"[""BUS3_MG"", ""BUS4_MG""]",132.0,3.1513016471157156e-05,166.699417002,Piecewise-linear MILP baseline,158.3451931448542,1.052759567191303,1.0,1.0,0.0,0.0,0.0,0.0,0.0160848743628343,0.0,0.0160848743628343,1.0,1.0,objective_mismatch_or_cost_gap,4.0
pglib_case14_adapted,qci_fit_patch,demand_surge,BUS4_MG-BUS9_MG,,,,,,,,,,,,,,,,,,,demand_surge_BUS3_MG-BUS4_MG-BUS9_MG,demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,"[""BUS4_MG"", ""BUS9_MG""]",132.0,7.626521884818495e-05,202.996765608,Stress-only reserve heuristic baseline,188.322912696,1.077918574548001,1.0,1.0,0.0,0.0,0.0,0.0,0.0079577308395087,0.0,0.0079577308395087,1.0,1.0,objective_mismatch_or_cost_gap,5.0
pglib_case14_adapted,qci_fit_patch,pcc_failure,BUS3_MG-BUS4_MG,,,,,,,,,,,,,,,,,,,pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG,pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,"[""BUS3_MG"", ""BUS4_MG""]",132.0,3.088272438605062e-05,173.609818056,Piecewise-linear MILP baseline,160.16034914485422,1.0839750224256919,1.0,1.0,0.0,0.0,0.0,0.0,0.0004038625750712,0.0,0.0004038625750712,1.0,1.0,objective_mismatch_or_cost_gap,6.0
pglib_case14_adapted,qci_fit_patch,normal,BUS3_MG-BUS4_MG,,,,,,,,,,,,,,,,,,,normal_BUS3_MG-BUS4_MG-BUS9_MG,normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,"[""BUS3_MG"", ""BUS4_MG""]",132.0,3.4685270827764116e-05,171.9024637,Piecewise-linear MILP baseline,149.43474314485417,1.1503513847068805,1.0,1.0,0.0,0.0,0.0,0.0,0.0354665368273346,0.0,0.0354665368273346,1.0,1.0,objective_mismatch_or_cost_gap,7.0
