score_mode,dataset,method_name,challenge_score,challenge_rank,best_method_by_challenge_score,qci_minus_best_challenge_score,qci_outcome_by_challenge_score,critical_energy_not_served_kwh,total_hours_critical_infrastructure_unserved,max_fraction_customers_unserved_per_hour,total_energy_not_served,critical_load_served_fraction,feasibility_after_repair,risk_adjusted_cost,expected_operating_cost,runtime,weighted_challenge_score,weighted_challenge_rank,lexicographic_challenge_score,lexicographic_challenge_rank,best_cost_by_method,median_cost_by_method,total_upgrade_cost,energy_not_served_kwh,wall_clock_runtime_seconds,median_runtime_seconds,time_to_good_solution,repeat_count,scenario_count,normalized_critical_energy_not_served_kwh,normalized_total_hours_critical_infrastructure_unserved,normalized_max_fraction_customers_unserved_per_hour,normalized_total_energy_not_served,normalized_risk_adjusted_cost,normalized_runtime,infeasibility_penalty
lexicographic,pglib_case14_adapted,Piecewise-linear MILP baseline,0.0,1,Piecewise-linear MILP baseline,9.0,qci_loss,23134.81823532408,600,0.4963719772348401,74508.42690597224,0.9656594530076984,1.0,15539.826603967178,15495.695429205964,0.02108729199972,,,0.0,1.0,26.698629959604617,103.87638134970713,0.0,74508.42690597224,89.09602217655623,0.0411088124965317,0.02108729199972,50,6,,,,,,,
lexicographic,pglib_case14_adapted,Stress-only reserve heuristic baseline,1.0,2,Piecewise-linear MILP baseline,9.0,qci_loss,23134.81823532408,600,0.5728464227274819,346061.4312153241,0.9656594530076984,1.0,20202.398570438854,20155.827818561855,5.16669824719429e-05,,,1.0,2.0,39.88374398939284,103.40343391149307,0.0,346061.4312153241,0.186338450293962,9.7062555141747e-05,5.16669824719429e-05,50,6,,,,,,,
lexicographic,pglib_case14_adapted,GreedyCriticalLoadFirst,2.0,3,Piecewise-linear MILP baseline,9.0,qci_loss,23165.927515324078,600,0.4963719772348401,75288.71990597225,0.9656132754375584,1.0,25940.092915742338,25873.73320889966,0.0,,,2.0,3.0,63.44669054077762,116.77188853451673,0.0,75288.71990597225,0.0,0.0,0.0,50,6,,,,,,,
lexicographic,pglib_case14_adapted,IPOPT/Pyomo nonlinear baseline,3.0,4,Piecewise-linear MILP baseline,9.0,qci_loss,23176.99111005641,1200,0.5023641261340611,76194.99285686012,0.9655972122316873,1.0,25480.516107758984,25414.467332892174,0.0959549590479582,,,3.0,4.0,49.339437140841504,115.94161131378743,0.0,76194.99285686012,721.7079288347159,0.47081839601742104,0.0959549590479582,50,6,,,,,,,
lexicographic,pglib_case14_adapted,SLSQPDispatchOptimizer,4.0,5,Piecewise-linear MILP baseline,9.0,qci_loss,23176.99111005641,1200,0.5023641261340611,76194.99285686012,0.9655972122316873,1.0,25480.516107758984,25414.467332892174,0.1248335000127554,,,4.0,5.0,49.339437140841504,115.94161131378743,0.0,76194.99285686012,712.5712950716261,0.45510208304040134,0.1248335000127554,50,6,,,,,,,
lexicographic,pglib_case14_adapted,QUBO/quadratized local search baseline,5.0,6,Piecewise-linear MILP baseline,9.0,qci_loss,26037.066773817598,600,0.5658122881671759,79459.32410110498,0.9613514527759395,1.0,26006.580957154463,25937.6066065707,3.7605525000253697,,,5.0,6.0,63.44669054077762,100.25183532534504,0.0,79459.32410110498,9702.719530241564,5.070817604486365,3.7605525000253697,50,6,,,,,,,
lexicographic,pglib_case14_adapted,CMPO-local polynomial search,6.0,7,Piecewise-linear MILP baseline,9.0,qci_loss,28228.382567640663,600,0.5805193993479063,79645.22276789206,0.9580987372271371,1.0,25834.5282220294,25768.16851518672,0.7305371250258759,,,6.0,7.0,63.44669054077762,92.32069850859529,0.0,79645.22276789206,2530.1486986544915,1.2931671250262298,0.7305371250258759,50,6,,,,,,,
lexicographic,pglib_case14_adapted,GPU-parallel random restart baseline,7.0,8,Piecewise-linear MILP baseline,9.0,qci_loss,33725.9146618139,600,0.6102034913573191,86429.84508594028,0.9499383852718586,1.0,25699.19737687471,25632.83767003203,0.0027669999981299,,,7.0,8.0,63.44669054077762,89.34592735492932,0.0,86429.84508594028,16.260711094131636,0.0039816044736653,0.0027669999981299,50,6,,,,,,,
lexicographic,pglib_case14_adapted,DifferentialEvolutionOptimizer,8.0,9,Piecewise-linear MILP baseline,9.0,qci_loss,164249.3781989412,7200,0.6119898033431455,433237.44720112125,0.5778289101267122,1.0,24822.180003663154,24763.955872099865,0.0821457919664681,,,8.0,9.0,48.43014467105657,132.23598782244045,0.0,433237.44720112125,310.93524664780125,0.1602632710128091,0.0821457919664681,50,6,,,,,,,
lexicographic,pglib_case14_adapted,CMPO + QCi Dirac-3,9.0,10,Piecewise-linear MILP baseline,9.0,qci_loss,169069.5964857,8508,0.656371233054395,387369.8613365,0.29056958596769106,1.0,30167.727492583504,30105.813199643526,30.0,,,9.0,10.0,0.4693590000000001,125.91734954964124,0.0,387369.8613365,346410.0,32.0,30.0,1,6,,,,,,,
