dataset,scenario,patch,method_name,repeat_count,best_cost,median_cost,p10_cost,p90_cost,std_cost,best_critical_load_served_fraction,median_runtime_seconds,feasibility_rate
pglib_case14_adapted,demand_surge,BUS14_MG,CMPO + QCi Dirac-3,30,74.68397366534091,74.68397366534091,74.68397366534091,74.68397366534091,4.263256414560601e-14,0.0,31.0,1.0
pglib_case14_adapted,demand_surge,BUS14_MG,CMPO-V2 + QCi Dirac-3,30,74.68397366534091,74.68397366534091,74.68397366534091,93.9428792653409,9.078735165327712,1.0,30.0,1.0
pglib_case14_adapted,demand_surge,BUS14_MG-BUS1_MG,CMPO + QCi Dirac-3,30,109.76302956458058,139.9550043096316,116.42598145097112,157.02719038264794,18.05258511844533,1.0,433.0,1.0
pglib_case14_adapted,demand_surge,BUS14_MG-BUS1_MG,CMPO-V2 + QCi Dirac-3,30,164.726091745946,186.2330662770437,177.89104448234798,190.36853084302527,6.744762539951324,1.0,433.0,1.0
pglib_case14_adapted,demand_surge,BUS1_MG,CMPO + QCi Dirac-3,30,69.36624404646744,81.09572293659443,78.0170165758707,81.54155485099726,2.4234430811131307,0.0,31.0,1.0
pglib_case14_adapted,demand_surge,BUS1_MG,CMPO-V2 + QCi Dirac-3,30,74.9222013359146,81.54155485099724,77.90730750189466,101.38144515174784,10.58036497301908,1.0,29.0,1.0
pglib_case14_adapted,demand_surge,BUS1_MG-BUS2_MG,CMPO + QCi Dirac-3,30,114.70986959815394,174.20030312322183,131.82000620525903,221.0130457575688,34.011208680504396,1.0,434.0,1.0
pglib_case14_adapted,demand_surge,BUS1_MG-BUS2_MG,CMPO-V2 + QCi Dirac-3,30,219.51445199017087,248.51922412007252,236.70032049064233,260.55536994159564,9.640955452998375,1.0,430.0,1.0
pglib_case14_adapted,demand_surge,BUS2_MG,CMPO + QCi Dirac-3,30,127.63841150534093,142.3096115053409,133.6344515053409,146.84287910534093,5.944715310607296,0.0,31.0,1.0
pglib_case14_adapted,demand_surge,BUS2_MG,CMPO-V2 + QCi Dirac-3,30,134.2192105933409,148.98107669459088,135.72881150534087,179.33861630534088,17.55178846428271,1.0,30.0,1.0
pglib_case14_adapted,demand_surge,BUS3_MG,CMPO + QCi Dirac-3,30,30.378047665340898,30.3780476653409,30.378047665340898,30.3780476653409,1.0398390968909245e-14,0.0,32.0,1.0
pglib_case14_adapted,demand_surge,BUS3_MG,CMPO-V2 + QCi Dirac-3,30,30.378047665340898,30.3780476653409,30.3780476653409,113.7348618,31.006917039252063,1.0,30.0,1.0
pglib_case14_adapted,demand_surge,BUS3_MG-BUS4_MG,CMPO + QCi Dirac-3,30,114.1463044586818,189.59648741399997,129.2795799842682,247.52734191179997,45.305037373996626,0.9993558897551228,432.0,1.0
pglib_case14_adapted,demand_surge,BUS3_MG-BUS4_MG,CMPO-V2 + QCi Dirac-3,30,253.024738704,269.61436292467044,261.6647647645341,284.7254625248841,10.984666715299683,1.0,431.0,1.0
pglib_case14_adapted,demand_surge,BUS4_MG,CMPO + QCi Dirac-3,30,123.57030923534089,143.3959436653409,136.5974611476,154.86594026849093,8.543777201849295,0.0,30.0,1.0
pglib_case14_adapted,demand_surge,BUS4_MG,CMPO-V2 + QCi Dirac-3,30,135.8156126653409,151.7441057293409,141.25883707800682,227.35583759160681,34.025398150061264,1.0,30.0,1.0
pglib_case14_adapted,demand_surge,BUS4_MG-BUS9_MG,CMPO + QCi Dirac-3,30,173.5118033306818,235.49894397067047,179.78176305720308,285.35454652693414,41.65964338970724,1.0,434.0,1.0
pglib_case14_adapted,demand_surge,BUS4_MG-BUS9_MG,CMPO-V2 + QCi Dirac-3,30,268.756755576,307.93672539796637,296.5819608871568,328.8778373498909,14.143800516481582,1.0,433.0,1.0
