benchmark,payload_name,reason,status
pglib_case5_pjm,pglib_case5_pjm__hybrid__demand_surge_BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case5_pjm,pglib_case5_pjm__hybrid__demand_surge_BUS3_MG-BUS4_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case5_pjm,pglib_case5_pjm__hybrid__normal_BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case5_pjm,pglib_case5_pjm__hybrid__normal_BUS3_MG-BUS4_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case5_pjm,pglib_case5_pjm__hybrid__pcc_failure_BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case5_pjm,pglib_case5_pjm__hybrid__pcc_failure_BUS3_MG-BUS4_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case5_pjm,pglib_case5_pjm__hybrid__renewable_shortfall_BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case5_pjm,pglib_case5_pjm__hybrid__renewable_shortfall_BUS3_MG-BUS4_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
pglib_case14_ieee,pglib_case14_ieee__hybrid__demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,Hybrid dispatch projection must be run before comparing with baselines.,not_run_build_only
