lambda_index,cost_weight,method,gpu_model,gpu_backend,cuda_runtime,runtime_seconds,candidate_count,native_feasibility_rate,exact_optimum_hit_rate,best_hamiltonian_regret,median_hamiltonian_regret,portfolio_diversity,time_to_good_solution_seconds,best_candidate_recourse_feasible,best_candidate_recourse_solver,best_candidate_total_ens,best_candidate_critical_ens,best_candidate_upgrade_cost,projection_used
0,0.0,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,6.520684976130724,10000,0.1577,0.1514,0.0,0.009999999999999787,1577,6.520684976130724,True,SLSQP nonlinear recourse,230.625,50.625,4731688.0682368,False
0,0.0,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,2.9901011660695076,10000,1.0,1.0,0.0,0.0,9999,2.9901011660695076,True,SLSQP nonlinear recourse,230.625,50.625,4449453.832887772,False
0,0.0,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.27843714132905006,10000,1.0,1.0,0.0,0.0,9999,0.27843714132905006,True,SLSQP nonlinear recourse,230.625,50.625,4427439.016733867,False
1,1.2095947875386306,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.1473236046731472,10000,0.0385,0.0,0.009999999999999787,0.10999999999999988,385,1.1473236046731472,True,SLSQP nonlinear recourse,258.12500000000006,78.12499999999997,2211622.4,False
1,1.2095947875386306,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.1730664297938347,10000,1.0,0.2478,0.0,0.019999999999999796,5,0.1730664297938347,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
1,1.2095947875386306,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.5152283199131489,10000,1.0,0.4978,0.0,0.019999999999999796,2,0.5152283199131489,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
2,2.419189575077261,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.1521136686205864,10000,0.0181,0.0001,0.0,0.1399999999999999,179,1.1521136686205864,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
2,2.419189575077261,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.1733068972826004,10000,1.0,0.248,0.0,0.05999999999999983,5,0.1733068972826004,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
2,2.419189575077261,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.5089335329830647,10000,1.0,0.5601,0.0,0.0,2,0.5089335329830647,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
3,4.838379150154522,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.1349312514066696,10000,0.0142,0.0003,0.0,0.16000000000000014,132,1.1349312514066696,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
3,4.838379150154522,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.17402618750929832,10000,1.0,0.251,0.0,0.12500000000000022,5,0.17402618750929832,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
3,4.838379150154522,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.6870680041611195,10000,1.0,0.751,0.0,0.0,2,0.6870680041611195,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
4,9.676758300309045,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.124483585357666,10000,0.0109,0.0015,0.0,0.16999999999999993,62,1.124483585357666,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
4,9.676758300309045,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.17234580218791962,10000,1.0,0.252,0.0,0.24,6,0.17234580218791962,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
4,9.676758300309045,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.6855043210089207,10000,1.0,0.6319,0.0,0.0,2,0.6855043210089207,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
5,19.35351660061809,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.1382383331656456,10000,0.0176,0.004,0.0,0.20000000000000018,75,1.1382383331656456,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
5,19.35351660061809,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.16824079304933548,10000,1.0,0.2387,0.0,0.39500000000000013,5,0.16824079304933548,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
5,19.35351660061809,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.4985543303191662,10000,1.0,0.3129,0.0,0.17999999999999994,3,0.4985543303191662,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,False
