lambda_index,cost_weight,method,gpu_model,gpu_backend,cuda_runtime,runtime_seconds,candidate_count,native_feasibility_rate,exact_optimum_hit_rate,best_hamiltonian_regret,median_hamiltonian_regret,portfolio_diversity,time_to_good_solution_seconds,best_candidate_recourse_feasible,best_candidate_recourse_solver,best_candidate_total_ens,best_candidate_critical_ens,best_candidate_upgrade_cost,best_candidate_maximum_customers_unserved,best_candidate_critical_infrastructure_outage_hours,best_candidate_critical_load_served_fraction,best_candidate_heldout_critical_ens,best_candidate_heldout_total_ens,best_true_recourse_regret,median_true_recourse_regret,median_candidate_total_ens,median_candidate_critical_ens,median_candidate_upgrade_cost,projection_used
0,0.0,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.5158057697117329,10000,0.1577,0.1514,0.0,0.009999999999999787,1577,1.5158057697117329,True,SLSQP nonlinear recourse,230.625,50.625,4731688.0682368,0.17621776504297995,1.125,0.9726351351351351,104.24999921408416,306.24999902908417,0.0,0.0,230.625,50.625,5342797.378994286,False
0,0.0,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.2587861306965351,10000,1.0,1.0,0.0,0.0,9999,0.2587861306965351,True,SLSQP nonlinear recourse,230.625,50.625,4449453.832887772,0.17621776504297995,1.125,0.9726351351351351,115.2499993530088,317.2499991680088,0.0,0.0,230.625,50.625,4643277.212532724,False
0,0.0,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.2740975059568882,10000,1.0,1.0,0.0,0.0,9999,0.2740975059568882,True,SLSQP nonlinear recourse,230.625,50.625,4427439.016733867,0.17621776504297995,1.125,0.9726351351351351,115.12500000812577,317.1249998231258,0.0,0.0,230.625,50.625,5345277.174793143,False
1,1.2095947875386306,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.1367751471698284,10000,0.0385,0.0,0.009999999999999787,0.10999999999999988,385,1.1367751471698284,True,SLSQP nonlinear recourse,258.12500000000006,78.12499999999997,2211622.4,0.19723018147086918,1.875,0.9577702702702703,105.12499989059437,307.12499970559446,0.881029683533582,0.5449780895916899,230.625,50.625,3139444.917349181,False
1,1.2095947875386306,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.1688086800277233,10000,1.0,0.2478,0.0,0.019999999999999796,5,0.1688086800277233,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,1.1895410230625416,266.25,86.25,2362641.6,False
1,1.2095947875386306,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.5483624823391438,10000,1.0,0.4978,0.0,0.019999999999999796,2,0.5483624823391438,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,1.1895410230625416,266.25,86.25,2362641.6,False
2,2.419189575077261,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.1198120079934597,10000,0.0181,0.0001,0.0,0.1399999999999999,179,1.1198120079934597,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.3427932260816288,230.625,50.625,2728598.804781105,False
2,2.419189575077261,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.17183398827910423,10000,1.0,0.248,0.0,0.05999999999999983,5,0.17183398827910423,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.6761200178382581,266.25,86.25,2362641.6,False
2,2.419189575077261,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.5364676490426064,10000,1.0,0.5601,0.0,0.0,2,0.5364676490426064,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.0,230.625,50.625,2032032.0,False
3,4.838379150154522,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.1907034739851952,10000,0.0142,0.0003,0.0,0.16000000000000014,132,1.1907034739851952,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.17675942111147874,230.625,50.625,2391212.8000000003,False
3,4.838379150154522,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.17365894466638565,10000,1.0,0.251,0.0,0.12500000000000022,5,0.17365894466638565,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.41940951522611625,266.25,86.25,2362641.6,False
3,4.838379150154522,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.6718605197966099,10000,1.0,0.751,0.0,0.0,2,0.6718605197966099,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.0,230.625,50.625,2032032.0,False
4,9.676758300309045,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.128534246236086,10000,0.0109,0.0015,0.0,0.16999999999999993,62,1.128534246236086,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.17041905197997181,255.62499999999994,75.62500000000003,2195296.0,False
4,9.676758300309045,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.1769256442785263,10000,1.0,0.252,0.0,0.24,6,0.1769256442785263,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.2910542639200454,266.25,86.25,2362641.6,False
4,9.676758300309045,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.6758928671479225,10000,1.0,0.6319,0.0,0.0,2,0.6758928671479225,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.0,230.625,50.625,2032032.0,False
5,19.35351660061809,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,12.9,1.1209972985088825,10000,0.0176,0.004,0.0,0.20000000000000018,75,1.1209972985088825,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.09795015624184733,237.29166666666669,57.29166666666666,2206665.4562840383,False
5,19.35351660061809,gpu_random_restart,NVIDIA L4,cupy_cuda,12.9,0.17533769831061363,10000,1.0,0.2387,0.0,0.39500000000000013,5,0.17533769831061363,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.22687663826700996,266.25,86.25,2362641.6,False
5,19.35351660061809,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,12.9,0.5170189738273621,10000,1.0,0.3129,0.0,0.17999999999999994,3,0.5170189738273621,True,SLSQP nonlinear recourse,230.625,50.625,2032032.0,0.17621776504297995,1.125,0.9726351351351351,94.12499987736541,296.12499969236546,0.0,0.09421691204655244,260.625,80.625,2113664.0,False
