asset_key,anchor_node,technology,total_cost,capacity_kw,power_kw,energy_kwh,source_row
ieee123_opendss::100::bess,100,bess,231206.4,120.0,120.0,480.0,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72
ieee123_opendss::100::dispatchable_generation,100,dispatchable_generation,133248.0,120.0,120.0,0.0,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4
ieee123_opendss::100::pv,100,pv,163991.7844260572,120.0,120.0,0.0,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765
ieee123_opendss::113::bess,113,bess,154137.6,80.0,80.0,320.0,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72
ieee123_opendss::113::dispatchable_generation,113,dispatchable_generation,88832.0,80.0,80.0,0.0,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4
ieee123_opendss::113::pv,113,pv,109327.85628403812,80.0,80.0,0.0,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765
ieee123_opendss::16::bess,16,bess,154137.6,80.0,80.0,320.0,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72
ieee123_opendss::16::dispatchable_generation,16,dispatchable_generation,88832.0,80.0,80.0,0.0,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4
ieee123_opendss::16::pv,16,pv,109327.85628403812,80.0,80.0,0.0,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765
ieee123_opendss::28::bess,28,bess,231206.4,120.0,120.0,480.0,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72
ieee123_opendss::28::dispatchable_generation,28,dispatchable_generation,133248.0,120.0,120.0,0.0,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4
ieee123_opendss::28::pv,28,pv,163991.7844260572,120.0,120.0,0.0,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765
ieee123_opendss::48::bess,48,bess,876657.6,455.0,455.0,1820.0,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72
