portfolio_signature,upgrade_cost,critical_ens,total_ens,technology_mix,selected_asset_count,upgrade_cost_band,critical_ens_band,total_ens_band,selected_asset_count_band,split
0000c5a09df0187b82ea8b66632dc2c843305fac01f0a81c5f8b4b784b411f3e,5419068.580804876,50.625,230.625,bess+dispatchable_generation+pv,20,3,0,0,1,train
0017d702cffd97db7123fcd68398d991a6b4d95bf0327e10596deaff7d4c5edc,4472425.7023552,50.625,230.625,bess+dispatchable_generation+pv,21,1,0,0,2,train
001aca148248fb9a574a4cee99eccb3dbf98403e7213e56c8c7a1bad64cf3292,4265167.599349334,50.625,230.625,bess+dispatchable_generation+pv,20,0,0,0,1,train
0020c5576e51a7a7c6978ac3a5271f2068d88befa377afeaec6b6ce8dc4ca0e1,5612907.552047543,50.625,230.625,bess+dispatchable_generation+pv,21,3,0,0,2,validation
002c52d96a696c3cbd2fa716ba8ad69351d4558b4a9e52fede63cfaa71a8f9e9,5154392.518509105,50.625,230.625,bess+dispatchable_generation+pv,17,2,0,0,0,train
00668dad200d78d42fb8f51a45fbf88da72f5d98c3b487926162707150b58e05,5432052.5999292955,80.625,260.625,bess+dispatchable_generation+pv,23,3,4,4,4,train
00669150cefd5df9854674ae336491a0c8bcc85a823c98a3ecda69e155c9686a,5608775.599349334,50.625,230.625,bess+dispatchable_generation+pv,23,3,0,0,4,train
00a4fbf61524a23624950e70526bbb38c06f7cf8f2b13fbf4b733417dae1df44,7860644.456213334,50.625,230.625,bess+dispatchable_generation+pv,31,4,0,0,4,test
00b4f14a34a4c42a7803607141f8338780a78311e073aebc3c6c55d3df4c2304,4305769.717349181,50.625,230.625,bess+dispatchable_generation+pv,19,0,0,0,1,train
00c3115f662fe2d0eac0cd7066ee62aed34d8fb872db602aed3765f753cf2bb9,5078414.823905524,86.25,266.25,bess+dispatchable_generation+pv,20,2,4,4,1,validation
00e445d212b87dcc7ca7df6f202738d3f96c2e4add38f174a3aa1802ab013b8e,3954785.0933729527,157.5,337.5,bess+dispatchable_generation+pv,19,0,4,4,1,validation
010ce6026536eefad92f77085e54646ee343e3b07ab28c73709c814a48f6eb66,4721278.6951835435,50.625,230.625,bess+dispatchable_generation+pv,18,1,0,0,0,train
0113a9ef416f8e137417cb1717aae27424a2b479cb8d2465c58d947caf632bf1,6388244.244260572,50.625,230.625,bess+dispatchable_generation+pv,23,4,0,0,4,train
011d142af799e80b7e6fc4a09bd11f1c39908837c33b91972731ba385ca1ccad,5305287.30054461,50.625,230.625,bess+dispatchable_generation+pv,21,3,0,0,2,test
0121e0edb7da7e94b8dfb45893dacdba272245be58c0ebf49ba479070f2926a2,4841192.302935163,86.25,266.25,bess+dispatchable_generation+pv,19,2,4,4,1,train
01360c1e58620a6b7f668e0a6a96967a134ce390a3cb51571c24ba1775707d34,4070436.1873965715,80.625,260.625,bess+dispatchable_generation+pv,16,0,4,4,0,test
01361c415d89a48cc9782dea7c52beb021def9d6a777a844ddfc4aed35701beb,5310726.407751619,50.625,230.625,bess+dispatchable_generation+pv,22,3,0,0,3,validation
0136577e93821521152b975cbbd0cf48e57a1d094da88afa894cc1f94d6f5d01,5141848.722710248,50.625,230.625,bess+dispatchable_generation+pv,21,2,0,0,2,validation
013aea9cc234285e3ba6e295843cb47aa9419866fc757afbd80c0bfc85586c35,5016022.631077182,80.625,260.625,bess+dispatchable_generation+pv,20,2,4,4,1,train
013cf94d0ccab2ea3800fcfd486257432cb30f72e3cba85e37efb6e35ab6ce6a,5426753.392177677,50.625,230.625,bess+dispatchable_generation+pv,21,3,0,0,2,validation
013d48e02be23c66f6f20b53bc5a5ef5ae64a93fd233e74aa8bb40ac1dc30f4e,4182375.149077029,86.25,266.25,bess+dispatchable_generation+pv,17,0,4,4,0,train
01838b1ac06c606c1300d9dc422b982bffdabf37ca0e73d453fa93020966fcf1,4289329.392177677,50.625,230.625,bess+dispatchable_generation+pv,21,0,0,0,2,train
018399c0081d8bccfcf04a5be380c597aa3fe60abe30a6d7af29533a3e7696aa,7182146.712497372,50.625,230.625,bess+dispatchable_generation+pv,32,4,0,0,4,validation
019583a2fa97d7b3641db0cefb8791e257e5a9d36af3918c54b43286627e6f1c,5288243.601159924,50.625,230.625,bess+dispatchable_generation+pv,24,3,0,0,4,train
019e94765e71620a0fba91baf5ece6d1843e0a0d9db5ac61a685e837bb90c41a,4300260.701775238,50.625,230.625,bess+dispatchable_generation+pv,19,0,0,0,1,train
01ae01b2c2bfabb39e65432d7c7c193466a208bb9323c238c75ef2c927da6d10,4323784.548497067,50.625,230.625,bess+dispatchable_generation+pv,17,0,0,0,0,test
0220e76a2cb8843ffb3e6dc9616e55652b29366692f37400682beb03b6835c9d,3878963.461065143,50.625,230.625,bess+dispatchable_generation+pv,17,0,0,0,0,test
02237261c621cdc090509ad908c81fcaecdce4def2aeb30769cb51cafd356a37,5041884.758639239,50.625,230.625,bess+dispatchable_generation+pv,22,2,0,0,3,train
