lambda_index,cost_weight,method,upgrade_cost,critical_ens,total_ens,maximum_customers_unserved,critical_infrastructure_outage_hours,critical_load_served_fraction,heldout_critical_ens,heldout_total_ens,feasibility,projection_used,hamiltonian_regret,true_recourse_regret,trace,pareto_frontier
1,1.2095947875386306,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/qci/validations/lambda_01.json,True
1,1.2095947875386306,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json,True
1,1.2095947875386306,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
1,1.2095947875386306,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
2,2.419189575077261,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/qci/validations/lambda_02.json,True
2,2.419189575077261,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json,True
2,2.419189575077261,gpu_simulated_annealing,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
2,2.419189575077261,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
2,2.419189575077261,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
3,4.838379150154522,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,1.701491225479167e-16,0.0,results/phase3/irc_cmpo/qci/validations/lambda_03.json,True
3,4.838379150154522,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json,True
3,4.838379150154522,gpu_simulated_annealing,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
3,4.838379150154522,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
3,4.838379150154522,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
4,9.676758300309045,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/qci/validations/lambda_04.json,True
4,9.676758300309045,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json,True
4,9.676758300309045,gpu_simulated_annealing,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
4,9.676758300309045,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
4,9.676758300309045,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
5,19.35351660061809,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,1.7146301538612454e-16,0.0,results/phase3/irc_cmpo/qci/validations/lambda_05.json,True
5,19.35351660061809,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json,True
5,19.35351660061809,gpu_simulated_annealing,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
5,19.35351660061809,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
5,19.35351660061809,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv,True
