lambda_index,cost_weight,method,returned_sample_count,native_integer_rate,native_local_feasibility_rate,unique_feasible_portfolios,exact_optimum_hit_rate,best_hamiltonian_regret,median_hamiltonian_regret,projection_used
0,0.0,gpu_simulated_annealing,10000,1.0,0.1577,1577,0.1514,0.0,0.0099999999999997,False
0,0.0,gpu_random_restart,10000,1.0,1.0,9999,1.0,0.0,0.0,False
0,0.0,gpu_parallel_local_search,10000,1.0,1.0,9999,1.0,0.0,0.0,False
0,0.0,QCi IRC-CMPO,100,1.0,1.0,96,1.0,1.6508892559481878e-16,1.6508892559481878e-16,False
1,1.2095947875386306,gpu_simulated_annealing,10000,1.0,0.0385,385,0.0,0.0099999999999997,0.1099999999999998,False
1,1.2095947875386306,gpu_random_restart,10000,1.0,1.0,5,0.2478,0.0,0.0199999999999997,False
1,1.2095947875386306,gpu_parallel_local_search,10000,1.0,1.0,2,0.4978,0.0,0.0199999999999997,False
1,1.2095947875386306,QCi IRC-CMPO,100,1.0,1.0,2,0.83,0.0,0.0075757575757575,False
2,2.419189575077261,gpu_simulated_annealing,10000,1.0,0.0181,179,0.0001,0.0,0.1399999999999999,False
2,2.419189575077261,gpu_random_restart,10000,1.0,1.0,5,0.248,0.0,0.0599999999999998,False
2,2.419189575077261,gpu_parallel_local_search,10000,1.0,1.0,2,0.5601,0.0,0.0,False
2,2.419189575077261,QCi IRC-CMPO,100,1.0,1.0,2,0.94,0.0,0.022813688212927695,False
3,4.838379150154522,gpu_simulated_annealing,10000,1.0,0.0142,132,0.0003,0.0,0.1600000000000001,False
3,4.838379150154522,gpu_random_restart,10000,1.0,1.0,5,0.251,0.0,0.1250000000000002,False
3,4.838379150154522,gpu_parallel_local_search,10000,1.0,1.0,2,0.751,0.0,0.0,False
3,4.838379150154522,QCi IRC-CMPO,100,1.0,1.0,2,0.99,1.701491225479167e-16,0.04789272030651357,False
4,9.676758300309045,gpu_simulated_annealing,10000,1.0,0.0109,62,0.0015,0.0,0.1699999999999999,False
4,9.676758300309045,gpu_random_restart,10000,1.0,1.0,6,0.252,0.0,0.24,False
4,9.676758300309045,gpu_parallel_local_search,10000,1.0,1.0,2,0.6319,0.0,0.0,False
4,9.676758300309045,QCi IRC-CMPO,100,1.0,1.0,1,1.0,0.0,0.0,False
5,19.35351660061809,gpu_simulated_annealing,10000,1.0,0.0176,75,0.004,0.0,0.2000000000000001,False
5,19.35351660061809,gpu_random_restart,10000,1.0,1.0,5,0.2387,0.0,0.3950000000000001,False
5,19.35351660061809,gpu_parallel_local_search,10000,1.0,1.0,3,0.3129,0.0,0.1799999999999999,False
5,19.35351660061809,QCi IRC-CMPO,100,1.0,1.0,2,0.99,1.7146301538612454e-16,0.15250965250965262,False
