lambda_index,cost_weight,method,gpu_model,backend,runtime_seconds,device_usage_seconds,end_to_end_wall_clock_seconds,time_to_good_solution_seconds
0,0.0,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,1.5158057697117329,,1.5158057697117329,1.5158057697117329
0,0.0,gpu_random_restart,NVIDIA L4,cupy_cuda,0.2587861306965351,,0.2587861306965351,0.2587861306965351
0,0.0,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,0.2740975059568882,,0.2740975059568882,0.2740975059568882
0,0.0,QCi IRC-CMPO,,QCi Dirac-3 integer,94.0,94.0,106991.013,94.0
1,1.2095947875386306,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,1.1367751471698284,,1.1367751471698284,1.1367751471698284
1,1.2095947875386306,gpu_random_restart,NVIDIA L4,cupy_cuda,0.1688086800277233,,0.1688086800277233,0.1688086800277233
1,1.2095947875386306,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,0.5483624823391438,,0.5483624823391438,0.5483624823391438
1,1.2095947875386306,QCi IRC-CMPO,,QCi Dirac-3 integer,93.0,93.0,107121.592,93.0
2,2.419189575077261,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,1.1198120079934597,,1.1198120079934597,1.1198120079934597
2,2.419189575077261,gpu_random_restart,NVIDIA L4,cupy_cuda,0.1718339882791042,,0.1718339882791042,0.1718339882791042
2,2.419189575077261,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,0.5364676490426064,,0.5364676490426064,0.5364676490426064
2,2.419189575077261,QCi IRC-CMPO,,QCi Dirac-3 integer,94.0,94.0,107248.866,94.0
3,4.838379150154522,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,1.1907034739851952,,1.1907034739851952,1.1907034739851952
3,4.838379150154522,gpu_random_restart,NVIDIA L4,cupy_cuda,0.1736589446663856,,0.1736589446663856,0.1736589446663856
3,4.838379150154522,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,0.6718605197966099,,0.6718605197966099,0.6718605197966099
3,4.838379150154522,QCi IRC-CMPO,,QCi Dirac-3 integer,92.0,92.0,106862.372,92.0
4,9.676758300309045,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,1.128534246236086,,1.128534246236086,1.128534246236086
4,9.676758300309045,gpu_random_restart,NVIDIA L4,cupy_cuda,0.1769256442785263,,0.1769256442785263,0.1769256442785263
4,9.676758300309045,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,0.6758928671479225,,0.6758928671479225,0.6758928671479225
4,9.676758300309045,QCi IRC-CMPO,,QCi Dirac-3 integer,91.0,91.0,107376.218,91.0
5,19.35351660061809,gpu_simulated_annealing,NVIDIA L4,cupy_cuda,1.1209972985088823,,1.1209972985088823,1.1209972985088823
5,19.35351660061809,gpu_random_restart,NVIDIA L4,cupy_cuda,0.1753376983106136,,0.1753376983106136,0.1753376983106136
5,19.35351660061809,gpu_parallel_local_search,NVIDIA L4,cupy_cuda,0.5170189738273621,,0.5170189738273621,0.5170189738273621
5,19.35351660061809,QCi IRC-CMPO,,QCi Dirac-3 integer,92.0,92.0,107501.396,92.0
