actual_budget_valid,admission_status,budget,budget_id,coverage_repair_count,coverage_valid,critical_service_proxy,encoded_budget,encoded_budget_valid,encoded_upgrade_cost,estimated_recourse_score,global_sample_index,job_id,job_status,maximum_raw_one_hot_residual,minimum_pair_margin,native_qci_energy,one_hot_valid,payload_path,physical_asset_deduplication_valid,portfolio_signature,projection_rule,projection_solver,projection_solver_status,qci_effective_sum_constraint,qci_job_runtime_seconds,raw_coverage_valid,raw_one_hot_valid,raw_pairwise_actual_cost,raw_pairwise_budget_valid,raw_pairwise_encoded_cost,raw_pairwise_selected_asset_count,raw_sample_sum,rejection_reason,repeat_start,request_path,reserve_preparedness,response_path,retained,retained_rank,sample_index,selected_asset_count,selected_asset_keys,source,total_upgrade_cost,upgrade_utilization
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,10,True,1.0,2114027,True,2108892,8.733367639565769,0,6a5aad3008442f441bbb20a8,COMPLETED,420.666153,39.31919859999999,-9.4318647,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,383d8adf943eaa5a3f97,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,66624.0,True,66624,1,9999.9993516,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,0.0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,False,,0,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",QCi,2108891.461065143,0.9975703106062104
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,11,True,1.0,2114027,True,2083272,8.739694860262102,1,6a5aad3008442f441bbb20a8,COMPLETED,216.5847473,72.5281601,-8.0032473,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,6ebc485468816ce1fbe8,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,0.0,True,0,0,10000.0006969,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,0.0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,False,,1,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",QCi,2083271.6407100954,0.985451350185008
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,11,True,1.0,2114027,True,2110173,8.73304052118444,2,6a5aad3008442f441bbb20a8,COMPLETED,246.8228149,58.3111094,-7.4389272,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,a69d95b1674af11ff80e,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,0.0,True,0,0,9999.9997564,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,0.0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,False,,2,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::pv"", ""ieee123_opendss::87::dispatchable_generation""]",QCi,2110172.452082895,0.9981762586272704
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,11,True,1.0,2114027,True,2098644,8.735946763825563,3,6a5aad3008442f441bbb20a8,COMPLETED,174.86918889999998,43.9672966,-6.7904267,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,8ca6e87851894128b3b6,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,0.0,True,0,0,9999.9999955,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,1.0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,True,3,3,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",QCi,2098643.532923124,0.9927227264377294
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,11,True,1.0,2114027,True,2108892,8.733367639565769,4,6a5aad3008442f441bbb20a8,COMPLETED,237.9565735,59.7391434,-5.7308288,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,b1801d26df11409f0ff8,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,0.0,True,0,0,10000.0001276,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,0.5,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,False,,4,11,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",QCi,2108891.461065143,0.9975703106062104
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,11,True,1.0,2114027,True,2108892,8.733367639565769,5,6a5aad3008442f441bbb20a8,COMPLETED,205.8210754,44.3187027,-4.6163635,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,c139530c94db04803a91,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,0.0,True,0,0,9999.999709400001,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,0.0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,False,,5,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",QCi,2108891.461065143,0.9975703106062104
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,11,True,1.0,2114027,True,2113664,8.745645455517622,6,6a5aad3008442f441bbb20a8,COMPLETED,191.2864685,44.3738136,-4.4713469,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,7d496e4a22c43fcab561,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,0.0,True,0,0,10000.000471199999,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,0.0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,False,,6,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",QCi,2113664.0,0.9998278678278708
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,11,True,1.0,2114027,True,2098644,8.735946763825563,7,6a5aad3008442f441bbb20a8,COMPLETED,256.9339085,45.5177905,-4.3892374,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,cbb072cbfbf9298e5879,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,0.0,True,0,0,9999.9992383,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,0.0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,False,,7,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",QCi,2098643.532923124,0.9927227264377294
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,11,True,1.0,2114027,True,2097338,8.746794233228584,8,6a5aad3008442f441bbb20a8,COMPLETED,208.6952667,44.9345191,-3.9198263,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,5260258f7e4e2c4b3e30,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,0.0,True,0,0,9999.999427,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,0.0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,False,,8,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",QCi,2097337.6,0.9921049801308173
True,projected_feasible,2114027.8922130284,low_cost_catalog_step,11,True,1.0,2114027,True,2103768,8.734665516317653,9,6a5aad3008442f441bbb20a8,COMPLETED,213.78856620000002,46.025383,-2.6719224,True,results/phase3/sc_cmpo/budget_master_v2/qci_master_payloads/low_cost_catalog_step.json,True,111b7fda7f0eebca7ac2,pairwise_preference_then_hard_feasible_binary_milp_projection,scipy.optimize.milp (HiGHS),0,10000,751.0,False,False,0.0,True,0,0,9999.9999009,,0,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/request.json,0.5,results/phase3/sc_cmpo/budget_master_v2/qci/low_cost_catalog_step/repeat_000/response.json,False,,9,11,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",QCi,2103767.4969941336,0.99514651852197
