method,budget_id,budget,portfolio_rank,portfolio_signature,selected_asset_count,selected_asset_keys,total_upgrade_cost,reconstructed_upgrade_cost,budget_utilization,feasibility,native_master_energy,master_runtime_seconds,master_backend,recourse_evaluator,trace_path,system_trace_id,critical_ens,total_ens,critical_load_served_fraction,max_fraction_customers_unserved_per_hour,critical_infrastructure_outage_hours,runtime_seconds,heldout_critical_ens,heldout_total_ens,heldout_critical_load_served_fraction
GPU random portfolio search,low_cost_catalog_step,2114027.8922130284,1,dc9a6950e48e0da4f02b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2032032.0,2032032.0,0.9612134293426031,True,-1.0000637227011817,0.7719791671261191,NumPy vector search (no CUDA device available),ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__f5c9766df0__rank_01__dc9a6950e48e0da4f02b.json,system-bab1fc99833a69d0c67f,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.7994290001224726,135.0,773.0,0.927027027027027
GPU random portfolio search,minimum_feasible_islanding,2032032.0,1,dc9a6950e48e0da4f02b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2032032.0,2032032.0,1.0,True,-1.3058808939180302,0.8010256250854582,NumPy vector search (no CUDA device available),ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/minimum_feasible_islanding__f5c9766df0__rank_01__dc9a6950e48e0da4f02b.json,system-bab1fc99833a69d0c67f,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.8283790000714362,135.0,773.0,0.927027027027027
GPU random portfolio search,post_slsqp_catalog_step,5149457.112497372,1,a64eb0ab724181ac87ee,27,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::100::pv"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::bess"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess"", ""ieee123_opendss::87::dispatchable_generation"", ""ieee123_opendss::87::pv""]",5079141.942485333,5079141.942485333,0.9863451295008578,True,-1.0356310039867613,0.3348917078692466,NumPy vector search (no CUDA device available),ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/post_slsqp_catalog_step__f5c9766df0__rank_01__a64eb0ab724181ac87ee.json,system-0ac604da764f40b4fec9,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.36339983297511935,135.0,773.0,0.927027027027027
GPU random portfolio search,pv_catalog_midpoint,3097978.598769372,1,080ab2f10590d0e91d53,19,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation"", ""ieee123_opendss::87::pv""]",3085893.8251361526,3085893.8251361526,0.9960991423123389,True,-1.116527947792342,0.5864658749196678,NumPy vector search (no CUDA device available),ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__f5c9766df0__rank_01__080ab2f10590d0e91d53.json,system-2cbedea8a4ce30206701,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.614632667042315,135.0,773.0,0.927027027027027
GPU random portfolio search,qci_selected_cost,5602175.318543635,1,0244fc03097c70e0fae4,29,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::100::pv"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::bess"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess"", ""ieee123_opendss::87::dispatchable_generation"", ""ieee123_opendss::87::pv""]",5584783.27779901,5584783.27779901,0.9968954843867424,True,-1.0674132017223301,0.33025870798155665,NumPy vector search (no CUDA device available),ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/qci_selected_cost__f5c9766df0__rank_01__0244fc03097c70e0fae4.json,system-524ec565c810ea35b8d5,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.3589630408678204,135.0,773.0,0.927027027027027
GPU random portfolio search,slsqp_selected_cost,4532906.712497371,1,e252c630c695290d0185,25,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess"", ""ieee123_opendss::87::dispatchable_generation""]",4532490.288591848,4532490.288591848,0.9999081331401823,True,-1.005611199544851,0.3556629999075085,NumPy vector search (no CUDA device available),ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__f5c9766df0__rank_01__e252c630c695290d0185.json,system-61c6c51043ee5cc2b1bd,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.3844802079256624,135.0,773.0,0.927027027027027
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,1,d110be868f056d3c30f6,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2052527.8562840382,2052527.8562840382,0.970908597679565,True,-1.1732833,387.6376383751631,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_01__d110be868f056d3c30f6.json,system-9670686553210e5b122c,145.0,625.0,0.9216216216216216,0.1991404011461318,27.0,387.666679084301,135.0,773.0,0.927027027027027
QCi global budget master V2,minimum_feasible_islanding,2032032.0,1,dc9a6950e48e0da4f02b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2032032.0,2032032.0,1.0,True,-75.7527237,5664.027121500112,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/minimum_feasible_islanding__6cf4a5dde4__rank_01__dc9a6950e48e0da4f02b.json,system-4061b06420ea53395810,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,5664.056049125036,135.0,773.0,0.927027027027027
QCi global budget master V2,post_slsqp_catalog_step,5149457.112497372,6,45af5420f067276c191e,11,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::pv"", ""ieee123_opendss::87::dispatchable_generation""]",2271878.8616451053,2271878.8616451053,0.4411880343913176,True,-1.2629172,5791.399093708955,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/post_slsqp_catalog_step__6cf4a5dde4__rank_06__45af5420f067276c191e.json,system-f77222621d588d4d1658,264.375,696.875,0.8570945945945946,0.39255014326647564,47.0,5791.426262583816,195.0,833.0,0.8945945945945946
QCi global budget master V2,pv_catalog_midpoint,3097978.598769372,2,b2a2f5e90724df753e22,11,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2250403.555668724,2250403.555668724,0.7264102975284157,True,-14.181757,999.0010147080757,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__6cf4a5dde4__rank_02__b2a2f5e90724df753e22.json,system-4f44a5ee8b84430f7fdb,256.5625,689.0625,0.8613175675675676,0.3216332378223496,44.0,999.0279955409933,255.0,893.0,0.8621621621621621
