anchor_node,asset_key,benchmark,capacity_kw,deduplication_rule,energy_kwh,power_kw,source_patch_ids,source_payload_ids,source_row,technology,total_cost
100,ieee123_opendss::100::bess,ieee123_opendss,120.0,benchmark_anchor_technology_charge_once,480.0,120.0,"[""ieee123_opendss__patch_04__100-98-99""]","[""ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,231206.4
100,ieee123_opendss::100::dispatchable_generation,ieee123_opendss,120.0,benchmark_anchor_technology_charge_once,0.0,120.0,"[""ieee123_opendss__patch_04__100-98-99""]","[""ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,133248.0
100,ieee123_opendss::100::pv,ieee123_opendss,120.0,benchmark_anchor_technology_charge_once,0.0,120.0,"[""ieee123_opendss__patch_04__100-98-99""]","[""ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,163991.7844260572
113,ieee123_opendss::113::bess,ieee123_opendss,80.0,benchmark_anchor_technology_charge_once,320.0,80.0,"[""ieee123_opendss__patch_09__112-113-114""]","[""ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,154137.6
113,ieee123_opendss::113::dispatchable_generation,ieee123_opendss,80.0,benchmark_anchor_technology_charge_once,0.0,80.0,"[""ieee123_opendss__patch_09__112-113-114""]","[""ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,88832.0
113,ieee123_opendss::113::pv,ieee123_opendss,80.0,benchmark_anchor_technology_charge_once,0.0,80.0,"[""ieee123_opendss__patch_09__112-113-114""]","[""ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,109327.85628403812
16,ieee123_opendss::16::bess,ieee123_opendss,80.0,benchmark_anchor_technology_charge_once,320.0,80.0,"[""ieee123_opendss__patch_11__15-16-34""]","[""ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,154137.6
16,ieee123_opendss::16::dispatchable_generation,ieee123_opendss,80.0,benchmark_anchor_technology_charge_once,0.0,80.0,"[""ieee123_opendss__patch_11__15-16-34""]","[""ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,88832.0
16,ieee123_opendss::16::pv,ieee123_opendss,80.0,benchmark_anchor_technology_charge_once,0.0,80.0,"[""ieee123_opendss__patch_11__15-16-34""]","[""ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,109327.85628403812
28,ieee123_opendss::28::bess,ieee123_opendss,120.0,benchmark_anchor_technology_charge_once,480.0,120.0,"[""ieee123_opendss__patch_10__28-29-30""]","[""ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,231206.4
28,ieee123_opendss::28::dispatchable_generation,ieee123_opendss,120.0,benchmark_anchor_technology_charge_once,0.0,120.0,"[""ieee123_opendss__patch_10__28-29-30""]","[""ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,133248.0
28,ieee123_opendss::28::pv,ieee123_opendss,120.0,benchmark_anchor_technology_charge_once,0.0,120.0,"[""ieee123_opendss__patch_10__28-29-30""]","[""ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,163991.7844260572
48,ieee123_opendss::48::bess,ieee123_opendss,455.0,benchmark_anchor_technology_charge_once,1820.0,455.0,"[""ieee123_opendss__patch_02__47-48-49""]","[""ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,876657.6
48,ieee123_opendss::48::dispatchable_generation,ieee123_opendss,455.0,benchmark_anchor_technology_charge_once,0.0,455.0,"[""ieee123_opendss__patch_02__47-48-49""]","[""ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,505232.00000000006
48,ieee123_opendss::48::pv,ieee123_opendss,455.0,benchmark_anchor_technology_charge_once,0.0,455.0,"[""ieee123_opendss__patch_02__47-48-49""]","[""ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,621802.1826154668
65,ieee123_opendss::65::bess,ieee123_opendss,290.0,benchmark_anchor_technology_charge_once,1160.0,290.0,"[""ieee123_opendss__patch_03__64-65-66"", ""ieee123_opendss__patch_07__63-64-65""]","[""ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json"", ""ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,558748.8
65,ieee123_opendss::65::dispatchable_generation,ieee123_opendss,290.0,benchmark_anchor_technology_charge_once,0.0,290.0,"[""ieee123_opendss__patch_03__64-65-66"", ""ieee123_opendss__patch_07__63-64-65""]","[""ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json"", ""ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,322016.0
65,ieee123_opendss::65::pv,ieee123_opendss,290.0,benchmark_anchor_technology_charge_once,0.0,290.0,"[""ieee123_opendss__patch_03__64-65-66"", ""ieee123_opendss__patch_07__63-64-65""]","[""ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json"", ""ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,396313.47902963817
69,ieee123_opendss::69::bess,ieee123_opendss,100.0,benchmark_anchor_technology_charge_once,400.0,100.0,"[""ieee123_opendss__patch_08__69-70-71""]","[""ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,192672.0
69,ieee123_opendss::69::dispatchable_generation,ieee123_opendss,100.0,benchmark_anchor_technology_charge_once,0.0,100.0,"[""ieee123_opendss__patch_08__69-70-71""]","[""ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,111040.00000000001
69,ieee123_opendss::69::pv,ieee123_opendss,100.0,benchmark_anchor_technology_charge_once,0.0,100.0,"[""ieee123_opendss__patch_08__69-70-71""]","[""ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,136659.82035504765
6,ieee123_opendss::6::bess,ieee123_opendss,60.0,benchmark_anchor_technology_charge_once,240.0,60.0,"[""ieee123_opendss__patch_06__3-5-6""]","[""ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,115603.2
6,ieee123_opendss::6::dispatchable_generation,ieee123_opendss,60.0,benchmark_anchor_technology_charge_once,0.0,60.0,"[""ieee123_opendss__patch_06__3-5-6""]","[""ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,66624.0
6,ieee123_opendss::6::pv,ieee123_opendss,60.0,benchmark_anchor_technology_charge_once,0.0,60.0,"[""ieee123_opendss__patch_06__3-5-6""]","[""ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,81995.8922130286
73,ieee123_opendss::73::bess,ieee123_opendss,120.0,benchmark_anchor_technology_charge_once,480.0,120.0,"[""ieee123_opendss__patch_05__73-74-75""]","[""ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,231206.4
73,ieee123_opendss::73::dispatchable_generation,ieee123_opendss,120.0,benchmark_anchor_technology_charge_once,0.0,120.0,"[""ieee123_opendss__patch_05__73-74-75""]","[""ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,133248.0
73,ieee123_opendss::73::pv,ieee123_opendss,120.0,benchmark_anchor_technology_charge_once,0.0,120.0,"[""ieee123_opendss__patch_05__73-74-75""]","[""ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,163991.7844260572
76,ieee123_opendss::76::bess,ieee123_opendss,305.0,benchmark_anchor_technology_charge_once,1220.0,305.0,"[""ieee123_opendss__patch_01__76-77-86""]","[""ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,587649.6
76,ieee123_opendss::76::dispatchable_generation,ieee123_opendss,305.0,benchmark_anchor_technology_charge_once,0.0,305.0,"[""ieee123_opendss__patch_01__76-77-86""]","[""ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,338672.0
76,ieee123_opendss::76::pv,ieee123_opendss,305.0,benchmark_anchor_technology_charge_once,0.0,305.0,"[""ieee123_opendss__patch_01__76-77-86""]","[""ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,416812.4520828953
87,ieee123_opendss::87::bess,ieee123_opendss,100.0,benchmark_anchor_technology_charge_once,400.0,100.0,"[""ieee123_opendss__patch_12__86-87-88""]","[""ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json""]",ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,192672.0
87,ieee123_opendss::87::dispatchable_generation,ieee123_opendss,100.0,benchmark_anchor_technology_charge_once,0.0,100.0,"[""ieee123_opendss__patch_12__86-87-88""]","[""ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json""]",ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,111040.00000000001
87,ieee123_opendss::87::pv,ieee123_opendss,100.0,benchmark_anchor_technology_charge_once,0.0,100.0,"[""ieee123_opendss__patch_12__86-87-88""]","[""ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json""]",ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,136659.82035504765
