portfolio_signature,selected_asset_keys,upgrade_cost,budget,generation_method,candidate_provenance_sources,critical_ens,total_ens,maximum_customers_unserved,critical_infrastructure_outage_hours,critical_load_served,heldout_critical_ens,heldout_total_ens,feasibility,training_scenario_count,heldout_contingency_count,patch_count,consensus_algorithm,projection,recourse_evaluator,irc_config_sha256,patch_payload_bundle_sha256,system_trace_id,consensus_trace_id,full_trace_json_written,recourse_evaluated
0099865b2f43153091e5,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",2232118.256284038,5149457.112497372,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",300.0,780.0,0.2335243553008596,58.0,0.8378378378378378,335.0,973.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-02024b86ffb49cbd73f4,unavailable,False,True
012a3aa0d1084b24096c,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2304506.7197397337,3097978.598769372,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",296.5625,731.5625,0.32736389684813755,55.0,0.839695945945946,315.0,953.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-ad2972cd3b0e48639474,unavailable,False,True
0145af076913ae833a53,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::pv"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::pv"", ""ieee123_opendss::87::pv""]",2419192.828686629,5149457.112497372,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",330.0,757.5,0.5429799426934098,52.0,0.8216216216216217,195.0,833.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-fb1bc637f1ef2912b2cb,unavailable,False,True
033d303299e16d10fa65,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::bess"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::76::pv"", ""ieee123_opendss::87::pv""]",2661539.877219048,4532906.712497371,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",565.0,992.5,0.3438395415472779,64.0,0.6945945945945946,710.0,1348.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-5c2bf6a2f1c38ba19701,unavailable,False,True
03acc5509ed93b80a52a,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2114015.4251361527,2114027.8922130284,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",175.0,655.0,0.2679083094555874,33.0,0.9054054054054054,135.0,773.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-0cdb5a9abbaff2d1f35b,unavailable,False,True
03b6ff8c4e1b200d5dd8,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::pv"", ""ieee123_opendss::87::bess""]",2428762.8484617146,3097978.598769372,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",348.125,775.625,0.4512893982808023,64.0,0.8118243243243243,295.0,933.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-c41c6447fb58af99a3d0,unavailable,False,True
048df4af3ebc8e2fc3e5,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::pv"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::bess"", ""ieee123_opendss::87::pv""]",2574306.6592545523,5602175.318543635,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",558.75,986.25,0.4340974212034384,70.0,0.697972972972973,580.0,1218.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-02dcbae4f87b7b804126,unavailable,False,True
04c2f0f96171711d3bd6,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::bess"", ""ieee123_opendss::65::bess"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",2906888.1892071622,5602175.318543635,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",751.25,1231.25,0.42550143266475643,89.0,0.5939189189189189,1005.0,1643.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-6835f3dca60f02796f5e,unavailable,False,True
055bcbf979194443695e,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::bess"", ""ieee123_opendss::65::bess"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess""]",2936326.0407100953,3097978.598769372,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",783.75,1263.75,0.4484240687679083,96.0,0.5763513513513514,1085.0,1723.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-b34c4959dd2745b38f1d,unavailable,False,True
05f7ccf98fc73a8f2dbc,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2453654.876639086,5149457.112497372,historical_qci_projected_examples,"[""historical_qci_projected_examples""]",456.5625,891.5625,0.30802292263610315,90.0,0.7532094594594595,595.0,1233.0,True,8,10,12,overlap_consensus_admm,full_public_system_active_power,ieee123_global_master_shared_recourse_v2,67c71d9308eac0d2b1ff704029509bf50af21c879d12049265f34549eadab2df,cc3c8655f46a802a04bca1c9bf3df9a317fb981796e59bb292fa4b5be9888fcb,system-e504c09e6e93198a607f,unavailable,False,True
