method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,repeat,backend,dataset,payload,payload_name,qci_energy,decoded_objective,runtime,wall_clock_runtime_seconds,expected_operating_cost,risk_adjusted_cost,feasibility_after_repair,pre_repair_violation,post_repair_violation,pre_repair_violation_count,post_repair_violation_count,pre_repair_violation_magnitude,post_repair_violation_magnitude,time_to_good_solution,status,solver,breakpoints,piecewise_segments,piecewise_binary_variables,skip_reason,discrete_levels,binary_variable_count,auxiliary_variable_count,cubic_term_count,quadratized_term_count,variable_blowup,approximation_error,restart_count,gpu_backend,best_energy,median_energy,mean_energy,std_energy,reserve_fraction,stress_label,scenario_probability,scenario_total_load_kwh,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_critical_infrastructure_unserved_hours_proxy
GreedyCriticalLoadFirst,normal,MG1-MG2-MG3,21620.495912795774,21620.495912795774,21634.895912795357,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,21620.495912795774,0.0,0.0,21634.895912795357,21634.895912795357,True,False,False,0,0,0.0,0.0,0.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
SLSQPDispatchOptimizer,normal,MG1-MG2-MG3,18696.053879979965,16212.55665418578,16122.25560236539,0.999997999238195,0.9999998530986578,0.011141796006980885,0.010419547808178813,True,0.10179545893333852,1,SLSQP reported failure gracefully: Iteration limit reached,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,18696.053879979965,0.10179545893333852,0.10179545893333852,16122.25560236539,16122.258207252342,True,False,False,0,0,0.0,0.0,0.10179545893333852,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,1.100495706929416e-06,4,4
DifferentialEvolutionOptimizer,normal,MG1-MG2-MG3,22039074.149583023,15231776.077153599,8484.331949086156,0.7426094420028737,0.4714805074772269,3938.9300044519377,1340.4360367836725,True,0.041440832894295454,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,22039074.149583023,0.041440832894295454,0.041440832894295454,8484.331949086156,8819.440958282074,True,False,False,0,0,0.0,0.0,0.041440832894295454,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.38905536926711565,4,4
CMPO-local polynomial search,normal,MG1-MG2-MG3,21620.495912795774,21620.495912795774,21634.895912795357,1.0,1.0,0.0,0.0,True,0.3142245829803869,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=13066281.469848.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,21620.495912795774,0.3142245829803869,0.3142245829803869,21634.895912795357,21634.895912795357,True,False,False,0,0,0.0,0.0,0.3142245829803869,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
Piecewise-linear MILP baseline,normal,MG1-MG2-MG3,1070.3994303332847,1070.3994303332845,1084.7994303330013,1.0,1.0,0.0,0.0,True,0.02953449997585267,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,1070.3994303332847,0.02953449997585267,0.02953449997585267,1084.7994303330013,1084.7994303330013,True,False,False,0,0,0.0,0.0,0.02953449997585267,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
QUBO/quadratized local search baseline,normal,MG1-MG2-MG3,163472.4154471323,21625.659477795354,21640.05947779536,1.0,1.0,0.0,0.0,True,1.2041955000022426,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=141851.919534.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,163472.4154471323,1.2041955000022426,1.2041955000022426,21640.05947779536,21640.05947779536,True,False,False,0,0,0.0,0.0,1.2041955000022426,COMPLETED,,,,,,4.0,264.0,48.0,48.0,864.0,2.3636363636363638,141851.91953433654,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
GPU-parallel random restart baseline,normal,MG1-MG2-MG3,21620.495912795774,21620.495912795774,21634.895912795357,1.0,1.0,0.0,0.0,True,3.4641051250509918,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=20561589.044017, std_energy=5839790.424976.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,21620.495912795774,3.4641051250509918,3.4641051250509918,21634.895912795357,21634.895912795357,True,False,False,0,0,0.0,0.0,3.4641051250509918,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,21620.495912795774,20561589.044017307,19304844.588264275,5839790.424975943,,,0.375,10124.343,0.0,0.0,0,0
IPOPT/Pyomo nonlinear baseline,normal,MG1-MG2-MG3,18696.053879979965,16212.55665418578,16122.25560236539,0.999997999238195,0.9999998530986578,0.011141796006980885,0.010419547808178813,True,0.100393750006333,1,IPOPT/cyipopt unavailable; used SciPy SLSQP fallback with same repair and metrics.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,18696.053879979965,0.100393750006333,0.100393750006333,16122.25560236539,16122.258207252342,True,False,False,0,0,0.0,0.0,0.100393750006333,COMPLETED,scipy_slsqp_fallback,,,,IPOPT/cyipopt not available.,,,,,,,,,,,,,,,,0.375,10124.343,0.0,1.100495706929416e-06,4,4
Stress-only reserve heuristic baseline,normal,MG1-MG2-MG3,671832.7837441345,671832.7837441345,21602.483744134268,1.0,0.8110625379075638,928.921,0.0,True,4.800001624971628e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,671832.7837441345,4.800001624971628e-05,4.800001624971628e-05,21602.483744134268,21602.483744134268,True,False,False,0,0,0.0,0.0,4.800001624971628e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,low,0.375,10124.343,0.0,0.09175123758647845,0,0
GreedyCriticalLoadFirst,renewable_shortfall,MG1-MG2-MG3,22650.75263560349,22650.75263560349,22665.152635604645,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,22650.75263560349,0.0,0.0,22665.152635604645,22665.152635604645,True,False,False,0,0,0.0,0.0,0.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
