method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,repeat,backend,dataset,payload,payload_name,qci_energy,decoded_objective,runtime,wall_clock_runtime_seconds,expected_operating_cost,risk_adjusted_cost,feasibility_after_repair,pre_repair_violation,post_repair_violation,pre_repair_violation_count,post_repair_violation_count,pre_repair_violation_magnitude,post_repair_violation_magnitude,time_to_good_solution,status,solver,breakpoints,piecewise_segments,piecewise_binary_variables,skip_reason,discrete_levels,binary_variable_count,auxiliary_variable_count,cubic_term_count,quadratized_term_count,variable_blowup,approximation_error,restart_count,gpu_backend,best_energy,median_energy,mean_energy,std_energy,reserve_fraction,stress_label,scenario_probability,scenario_total_load_kwh,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_critical_infrastructure_unserved_hours_proxy
CMPO-local polynomial search,normal,MG1-MG2-MG3,21620.495912795774,21620.495912795774,21634.895912795357,1.0,1.0,0.0,0.0,True,0.3142245829803869,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=13066281.469848.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,21620.495912795774,0.3142245829803869,0.3142245829803869,21634.895912795357,21634.895912795357,True,False,False,0,0,0.0,0.0,0.3142245829803869,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
CMPO-local polynomial search,renewable_shortfall,MG1-MG2-MG3,22650.75263560349,22650.75263560349,22665.152635604645,1.0,1.0,0.0,0.0,True,0.3535839170217514,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=13497954.862675.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,22650.75263560349,0.3535839170217514,0.3535839170217514,22665.152635604645,22665.152635604645,True,False,False,0,0,0.0,0.0,0.3535839170217514,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
CMPO-local polynomial search,demand_surge,MG1-MG2-MG3,22725.277040168363,22725.277040168363,22739.677040168644,1.0,1.0,0.0,0.0,True,0.40143575007095933,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=15968063.257553.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/demand_surge_MG1-MG2-MG3.json,demand_surge_MG1-MG2-MG3.json,,22725.277040168363,0.40143575007095933,0.40143575007095933,22739.677040168644,22739.677040168644,True,False,False,0,0,0.0,0.0,0.40143575007095933,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,12372.342199800001,0.0,0.0,0,0
CMPO-local polynomial search,pcc_failure,MG1-MG2-MG3,42225.27255628079,74337.13526797302,22440.512233424328,1.0,0.9856348043586406,74.15860433507169,0.0,True,0.29204262502025813,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=14399480.673378.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/pcc_failure_MG1-MG2-MG3.json,pcc_failure_MG1-MG2-MG3.json,,42225.27255628079,0.29204262502025813,0.29204262502025813,22440.512233424328,22440.512233424328,True,False,False,0,0,0.0,0.0,0.29204262502025813,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.0625,10630.560150000001,0.0,0.006975982759955662,0,0
CMPO-local polynomial search,local_generator_failure,MG1-MG2-MG3,18141.210485775442,47892.84817926395,15242.71417926372,1.0,0.9908739176391357,46.66362000000004,0.0,True,0.30300624994561076,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=13816222.866033.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/local_generator_failure_MG1-MG2-MG3.json,local_generator_failure_MG1-MG2-MG3.json,,18141.210485775442,0.30300624994561076,0.30300624994561076,15242.71417926372,15242.71417926372,True,False,False,0,0,0.0,0.0,0.30300624994561076,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.0625,10529.31672,0.0,0.004431780450802132,0,0
CMPO-local polynomial search,storm_forced_islanding,MG1-MG2-MG3,1739484.7606913624,2138117.0134355724,22356.01930193228,0.9989538604180611,0.49484081743733,2937.1260192909167,6.428729099999941,True,0.262151625007391,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=15554219.476273.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding_MG1-MG2-MG3.json,,1739484.7606913624,0.262151625007391,0.262151625007391,22356.01930193228,22357.626484207278,True,False,False,0,0,0.0,0.0,0.262151625007391,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.0625,11946.724740000001,0.0,0.24585198731974103,4,4
CMPO-local polynomial search,restoration,MG1-MG2-MG3,22869.441727300695,35487.67347190255,22408.963534706505,1.0,0.9961503045831922,18.70444276742319,0.0,True,0.2751337919617072,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=13421262.736123.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/restoration_MG1-MG2-MG3.json,restoration_MG1-MG2-MG3.json,,22869.441727300695,0.2751337919617072,0.2751337919617072,22408.963534706505,22408.963534706505,True,False,False,0,0,0.0,0.0,0.2751337919617072,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10006.54084,0.0,0.0018692216487694053,0,0
CMPO-local polynomial search,combined_high_stress,MG1-MG2-MG3,10495645.039505068,15558069.274899306,16915.457694558812,0.8197331302785233,0.2608386485511962,5955.712336523494,1222.8139335094938,True,0.2620407500071451,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=21371325.723427.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/combined_high_stress_MG1-MG2-MG3.json,combined_high_stress_MG1-MG2-MG3.json,,10495645.039505068,0.2620407500071451,0.2620407500071451,16915.457694558812,17221.161177936185,True,False,False,0,0,0.0,0.0,0.2620407500071451,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.0625,13186.41898,0.0,0.4516550206357461,4,4
CMPO-local polynomial search,normal,MG1-MG2-MG3,21620.495912795774,21620.495912795774,21634.895912795357,1.0,1.0,0.0,0.0,True,0.31476929201744497,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=20956013.575426.",1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,21620.495912795774,0.31476929201744497,0.31476929201744497,21634.895912795357,21634.895912795357,True,False,False,0,0,0.0,0.0,0.31476929201744497,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
CMPO-local polynomial search,renewable_shortfall,MG1-MG2-MG3,22650.75263560349,22650.75263560349,22665.152635604645,1.0,1.0,0.0,0.0,True,0.31241291703190655,3,"Pre-QCi polynomial search proxy; best energy from 3 repeats, median_energy=20852142.555789.",1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,22650.75263560349,0.31241291703190655,0.31241291703190655,22665.152635604645,22665.152635604645,True,False,False,0,0,0.0,0.0,0.31241291703190655,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
