method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,repeat,backend,dataset,payload,payload_name,qci_energy,decoded_objective,runtime,wall_clock_runtime_seconds,expected_operating_cost,risk_adjusted_cost,feasibility_after_repair,pre_repair_violation,post_repair_violation,pre_repair_violation_count,post_repair_violation_count,pre_repair_violation_magnitude,post_repair_violation_magnitude,time_to_good_solution,status,solver,breakpoints,piecewise_segments,piecewise_binary_variables,skip_reason,discrete_levels,binary_variable_count,auxiliary_variable_count,cubic_term_count,quadratized_term_count,variable_blowup,approximation_error,restart_count,gpu_backend,best_energy,median_energy,mean_energy,std_energy,reserve_fraction,stress_label,scenario_probability,scenario_total_load_kwh,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_critical_infrastructure_unserved_hours_proxy
GPU-parallel random restart baseline,normal,MG1-MG2-MG3,21620.495912795774,21620.495912795774,21634.895912795357,1.0,1.0,0.0,0.0,True,3.4641051250509918,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=20561589.044017, std_energy=5839790.424976.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,21620.495912795774,3.4641051250509918,3.4641051250509918,21634.895912795357,21634.895912795357,True,False,False,0,0,0.0,0.0,3.4641051250509918,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,21620.495912795774,20561589.044017307,19304844.588264275,5839790.424975943,,,0.375,10124.343,0.0,0.0,0,0
GPU-parallel random restart baseline,renewable_shortfall,MG1-MG2-MG3,22650.75263560349,22650.75263560349,22665.152635604645,1.0,1.0,0.0,0.0,True,2.6671967080328614,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=20316016.497792, std_energy=5590204.567875.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,22650.75263560349,2.6671967080328614,2.6671967080328614,22665.152635604645,22665.152635604645,True,False,False,0,0,0.0,0.0,2.6671967080328614,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,22650.75263560349,20316016.49779165,19329358.859232657,5590204.567875251,,,0.125,10326.82986,0.0,0.0,0,0
GPU-parallel random restart baseline,demand_surge,MG1-MG2-MG3,22725.277040168363,22725.277040168363,22739.677040168644,1.0,1.0,0.0,0.0,True,2.8632625839672983,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=24617566.119908, std_energy=6825007.844486.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/demand_surge_MG1-MG2-MG3.json,demand_surge_MG1-MG2-MG3.json,,22725.277040168363,2.8632625839672983,2.8632625839672983,22739.677040168644,22739.677040168644,True,False,False,0,0,0.0,0.0,2.8632625839672983,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,22725.277040168363,24617566.119907998,23227495.32594419,6825007.844486202,,,0.125,12372.342199800001,0.0,0.0,0,0
GPU-parallel random restart baseline,pcc_failure,MG1-MG2-MG3,44424.106621125786,74337.13526797302,22440.512233424328,1.0,0.9856348043586406,74.15860433507169,0.0,True,2.478738958016038,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=21095974.386365, std_energy=5895859.899363.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/pcc_failure_MG1-MG2-MG3.json,pcc_failure_MG1-MG2-MG3.json,,44424.106621125786,2.478738958016038,2.478738958016038,22440.512233424328,22440.512233424328,True,False,False,0,0,0.0,0.0,2.478738958016038,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,44424.106621125786,21095974.38636546,20152805.4206273,5895859.899363011,,,0.0625,10630.560150000001,0.0,0.006975982759955662,0,0
GPU-parallel random restart baseline,local_generator_failure,MG1-MG2-MG3,23938.28790528148,47892.848179263834,15242.71417926372,1.0,0.9908739176391357,46.66362000000004,0.0,True,2.4471250420901924,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=21494444.580432, std_energy=6499487.803768.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/local_generator_failure_MG1-MG2-MG3.json,local_generator_failure_MG1-MG2-MG3.json,,23938.28790528148,2.4471250420901924,2.4471250420901924,15242.71417926372,15242.71417926372,True,False,False,0,0,0.0,0.0,2.4471250420901924,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,23938.28790528148,21494444.5804322,20093744.261854112,6499487.803767714,,,0.0625,10529.31672,0.0,0.004431780450802132,0,0
GPU-parallel random restart baseline,storm_forced_islanding,MG1-MG2-MG3,1759014.4607030947,2138117.0134355724,22356.01930193228,0.9989538604180611,0.49484081743733,2937.1260192909167,6.428729099999941,True,2.099134874995798,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=24104022.933753, std_energy=6389249.663402.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding_MG1-MG2-MG3.json,,1759014.4607030947,2.099134874995798,2.099134874995798,22356.01930193228,22357.626484207278,True,False,False,0,0,0.0,0.0,2.099134874995798,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,1759014.4607030947,24104022.93375349,24135138.121653367,6389249.663401729,,,0.0625,11946.724740000001,0.0,0.24585198731974103,4,4
GPU-parallel random restart baseline,restoration,MG1-MG2-MG3,28765.442269881776,35487.67347190255,22408.963534706505,1.0,0.9961503045831922,18.70444276742319,0.0,True,2.2351667920593172,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=19660904.779973, std_energy=5621326.653278.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/restoration_MG1-MG2-MG3.json,restoration_MG1-MG2-MG3.json,,28765.442269881776,2.2351667920593172,2.2351667920593172,22408.963534706505,22408.963534706505,True,False,False,0,0,0.0,0.0,2.2351667920593172,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,28765.442269881776,19660904.779972546,19019395.538790848,5621326.65327752,,,0.125,10006.54084,0.0,0.0018692216487694053,0,0
GPU-parallel random restart baseline,combined_high_stress,MG1-MG2-MG3,10662583.98571487,15558069.274899306,16915.457694558812,0.8197331302785233,0.2608386485511962,5955.712336523494,1222.8139335094938,True,2.1177754160016775,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=30176449.872929, std_energy=6216906.433842.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/combined_high_stress_MG1-MG2-MG3.json,combined_high_stress_MG1-MG2-MG3.json,,10662583.98571487,2.1177754160016775,2.1177754160016775,16915.457694558812,17221.161177936185,True,False,False,0,0,0.0,0.0,2.1177754160016775,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,10662583.98571487,30176449.872929417,29711094.96993315,6216906.4338422995,,,0.0625,13186.41898,0.0,0.4516550206357461,4,4
GPU-parallel random restart baseline,normal,MG1-MG2-MG3,21620.495912795774,21620.495912795774,21634.895912795357,1.0,1.0,0.0,0.0,True,2.4995563339907676,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=22203200.165376, std_energy=6078884.893339.",1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,21620.495912795774,2.4995563339907676,2.4995563339907676,21634.895912795357,21634.895912795357,True,False,False,0,0,0.0,0.0,2.4995563339907676,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,21620.495912795774,22203200.16537559,21217833.225978196,6078884.893338926,,,0.375,10124.343,0.0,0.0,0,0
GPU-parallel random restart baseline,renewable_shortfall,MG1-MG2-MG3,22650.75263560349,22650.75263560349,22665.152635604645,1.0,1.0,0.0,0.0,True,2.5251152500277385,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=21979767.211062, std_energy=5908788.327280.",1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,22650.75263560349,2.5251152500277385,2.5251152500277385,22665.152635604645,22665.152635604645,True,False,False,0,0,0.0,0.0,2.5251152500277385,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,22650.75263560349,21979767.21106232,21046112.68712676,5908788.32728007,,,0.125,10326.82986,0.0,0.0,0,0
GPU-parallel random restart baseline,demand_surge,MG1-MG2-MG3,22725.277040168363,22725.277040168363,22739.677040168644,1.0,1.0,0.0,0.0,True,2.492556415963918,24,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=24, median_energy=26654771.396621, std_energy=7196756.356764.",1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/demand_surge_MG1-MG2-MG3.json,demand_surge_MG1-MG2-MG3.json,,22725.277040168363,2.492556415963918,2.492556415963918,22739.677040168644,22739.677040168644,True,False,False,0,0,0.0,0.0,2.492556415963918,COMPLETED,,,,,,,,,,,,,24.0,numpy_cpu_fallback,22725.277040168363,26654771.396621235,25406971.678246543,7196756.356764289,,,0.125,12372.342199800001,0.0,0.0,0,0
