method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,repeat,backend,dataset,payload,payload_name,qci_energy,decoded_objective,runtime,wall_clock_runtime_seconds,expected_operating_cost,risk_adjusted_cost,feasibility_after_repair,pre_repair_violation,post_repair_violation,pre_repair_violation_count,post_repair_violation_count,pre_repair_violation_magnitude,post_repair_violation_magnitude,time_to_good_solution,status,solver,breakpoints,piecewise_segments,piecewise_binary_variables,skip_reason,discrete_levels,binary_variable_count,auxiliary_variable_count,cubic_term_count,quadratized_term_count,variable_blowup,approximation_error,restart_count,gpu_backend,best_energy,median_energy,mean_energy,std_energy,reserve_fraction,stress_label,scenario_probability,scenario_total_load_kwh,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_critical_infrastructure_unserved_hours_proxy
Piecewise-linear MILP baseline,normal,MG1-MG2-MG3,1070.3994303332847,1070.3994303332845,1084.7994303330013,1.0,1.0,0.0,0.0,True,0.02953449997585267,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,1070.3994303332847,0.02953449997585267,0.02953449997585267,1084.7994303330013,1084.7994303330013,True,False,False,0,0,0.0,0.0,0.02953449997585267,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
Piecewise-linear MILP baseline,renewable_shortfall,MG1-MG2-MG3,1522.7843847984993,1522.7843847984993,1537.1843847988093,1.0,1.0,0.0,0.0,True,0.016717083984985948,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,1522.7843847984993,0.016717083984985948,0.016717083984985948,1537.1843847988093,1537.1843847988093,True,False,False,0,0,0.0,0.0,0.016717083984985948,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
Piecewise-linear MILP baseline,demand_surge,MG1-MG2-MG3,1709.688625430627,1709.688625430627,1724.0886254299166,1.0,1.0,0.0,0.0,True,0.016094250022433698,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/demand_surge_MG1-MG2-MG3.json,demand_surge_MG1-MG2-MG3.json,,1709.688625430627,0.016094250022433698,0.016094250022433698,1724.0886254299166,1724.0886254299166,True,False,False,0,0,0.0,0.0,0.016094250022433698,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.125,12372.342199800001,0.0,0.0,0,0
Piecewise-linear MILP baseline,pcc_failure,MG1-MG2-MG3,60089.507461731155,60089.507461731155,8192.88442718149,1.0,0.9856348043586406,74.15860433507179,0.0,True,0.016045999946072698,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/pcc_failure_MG1-MG2-MG3.json,pcc_failure_MG1-MG2-MG3.json,,60089.507461731155,0.016045999946072698,0.016045999946072698,8192.88442718149,8192.88442718149,True,False,False,0,0,0.0,0.0,0.016045999946072698,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.0625,10630.560150000001,0.0,0.006975982759955672,0,0
Piecewise-linear MILP baseline,local_generator_failure,MG1-MG2-MG3,1198.703721933486,1198.703721933486,1213.1037219330015,1.0,1.0,0.0,0.0,True,0.017527000047266483,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/local_generator_failure_MG1-MG2-MG3.json,local_generator_failure_MG1-MG2-MG3.json,,1198.703721933486,0.017527000047266483,0.017527000047266483,1213.1037219330015,1213.1037219330015,True,False,False,0,0,0.0,0.0,0.017527000047266483,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.0625,10529.31672,0.0,0.0,0,0
Piecewise-linear MILP baseline,storm_forced_islanding,MG1-MG2-MG3,2078329.8328055753,2078329.8328055753,22356.01930193228,1.0,0.4937327086101432,2937.1260192909167,0.0,True,0.015620458056218922,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding_MG1-MG2-MG3.json,,2078329.8328055753,0.015620458056218922,0.015620458056218922,22356.01930193228,22356.01930193228,True,False,False,0,0,0.0,0.0,0.015620458056218922,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.0625,11946.724740000001,0.0,0.24585198731974103,0,0
Piecewise-linear MILP baseline,restoration,MG1-MG2-MG3,27214.606970895442,27214.60697089451,14135.897033697978,1.0,0.9961503045831922,18.704442767423267,0.0,True,0.025104374974034727,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/restoration_MG1-MG2-MG3.json,restoration_MG1-MG2-MG3.json,,27214.606970895442,0.025104374974034727,0.025104374974034727,14135.897033697978,14135.897033697978,True,False,False,0,0,0.0,0.0,0.025104374974034727,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.125,10006.54084,0.0,0.001869221648769413,0,0
Piecewise-linear MILP baseline,combined_high_stress,MG1-MG2-MG3,9191712.047362944,9191712.047362944,13887.560761776873,0.916036558116246,0.22307263350755901,5544.270385793629,569.5537222092061,True,0.021557166008278728,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/combined_high_stress_MG1-MG2-MG3.json,combined_high_stress_MG1-MG2-MG3.json,,9191712.047362944,0.021557166008278728,0.021557166008278728,13887.560761776873,14029.949192329173,True,False,False,0,0,0.0,0.0,0.021557166008278728,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.0625,13186.41898,0.0,0.4204530732871973,4,4
Piecewise-linear MILP baseline,normal,MG1-MG2-MG3,1070.3994303332847,1070.3994303332845,1084.7994303330013,1.0,1.0,0.0,0.0,True,0.018911040970124304,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,1070.3994303332847,0.018911040970124304,0.018911040970124304,1084.7994303330013,1084.7994303330013,True,False,False,0,0,0.0,0.0,0.018911040970124304,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
Piecewise-linear MILP baseline,renewable_shortfall,MG1-MG2-MG3,1522.7843847984993,1522.7843847984993,1537.1843847988093,1.0,1.0,0.0,0.0,True,0.015380125027149916,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,1522.7843847984993,0.015380125027149916,0.015380125027149916,1537.1843847988093,1537.1843847988093,True,False,False,0,0,0.0,0.0,0.015380125027149916,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
Piecewise-linear MILP baseline,demand_surge,MG1-MG2-MG3,1709.688625430627,1709.688625430627,1724.0886254299166,1.0,1.0,0.0,0.0,True,0.016038000001572073,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/demand_surge_MG1-MG2-MG3.json,demand_surge_MG1-MG2-MG3.json,,1709.688625430627,0.016038000001572073,0.016038000001572073,1724.0886254299166,1724.0886254299166,True,False,False,0,0,0.0,0.0,0.016038000001572073,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.125,12372.342199800001,0.0,0.0,0,0
Piecewise-linear MILP baseline,pcc_failure,MG1-MG2-MG3,60089.507461731155,60089.507461731155,8192.88442718149,1.0,0.9856348043586406,74.15860433507179,0.0,True,0.0161017500795424,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/pcc_failure_MG1-MG2-MG3.json,pcc_failure_MG1-MG2-MG3.json,,60089.507461731155,0.0161017500795424,0.0161017500795424,8192.88442718149,8192.88442718149,True,False,False,0,0,0.0,0.0,0.0161017500795424,COMPLETED,appsi_highs,5.0,4.0,48.0,,,,,,,,,,,,,,,,,0.0625,10630.560150000001,0.0,0.006975982759955672,0,0
