method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,repeat,backend,dataset,payload,payload_name,qci_energy,decoded_objective,runtime,wall_clock_runtime_seconds,expected_operating_cost,risk_adjusted_cost,feasibility_after_repair,pre_repair_violation,post_repair_violation,pre_repair_violation_count,post_repair_violation_count,pre_repair_violation_magnitude,post_repair_violation_magnitude,time_to_good_solution,status,solver,breakpoints,piecewise_segments,piecewise_binary_variables,skip_reason,discrete_levels,binary_variable_count,auxiliary_variable_count,cubic_term_count,quadratized_term_count,variable_blowup,approximation_error,restart_count,gpu_backend,best_energy,median_energy,mean_energy,std_energy,reserve_fraction,stress_label,scenario_probability,scenario_total_load_kwh,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_critical_infrastructure_unserved_hours_proxy
QUBO/quadratized local search baseline,normal,MG1-MG2-MG3,163472.4154471323,21625.659477795354,21640.05947779536,1.0,1.0,0.0,0.0,True,1.2041955000022426,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=141851.919534.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,163472.4154471323,1.2041955000022426,1.2041955000022426,21640.05947779536,21640.05947779536,True,False,False,0,0,0.0,0.0,1.2041955000022426,COMPLETED,,,,,,4.0,264.0,48.0,48.0,864.0,2.3636363636363638,141851.91953433654,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
QUBO/quadratized local search baseline,renewable_shortfall,MG1-MG2-MG3,200168.8637149309,22657.87578754425,22672.275787543553,1.0,1.0,0.0,0.0,True,1.2435911670327187,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=177518.111079.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,200168.8637149309,1.2435911670327187,1.2435911670327187,22672.275787543553,22672.275787543553,True,False,False,0,0,0.0,0.0,1.2435911670327187,COMPLETED,,,,,,4.0,264.0,48.0,48.0,864.0,2.3636363636363638,177518.1110793274,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
QUBO/quadratized local search baseline,demand_surge,MG1-MG2-MG3,208110.36515573127,22729.101406506914,22743.501406507556,1.0,1.0,0.0,0.0,True,1.303302792017348,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=185385.088116.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/demand_surge_MG1-MG2-MG3.json,demand_surge_MG1-MG2-MG3.json,,208110.36515573127,1.303302792017348,1.303302792017348,22743.501406507556,22743.501406507556,True,False,False,0,0,0.0,0.0,1.303302792017348,COMPLETED,,,,,,4.0,264.0,48.0,48.0,864.0,2.3636363636363638,185385.08811556292,,,,,,,,,0.125,12372.342199800001,0.0,0.0,0,0
QUBO/quadratized local search baseline,pcc_failure,MG1-MG2-MG3,302863.95009772485,106187.98697662036,22449.45197662164,1.0,0.9768232790170154,119.64705000000015,0.0,True,1.2648852500133216,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=228526.814830.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/pcc_failure_MG1-MG2-MG3.json,pcc_failure_MG1-MG2-MG3.json,,302863.95009772485,1.2648852500133216,1.2648852500133216,22449.45197662164,22449.45197662164,True,False,False,0,0,0.0,0.0,1.2648852500133216,COMPLETED,,,,,,4.0,264.0,48.0,48.0,872.0,2.3636363636363638,228526.81482975185,,,,,,,,,0.0625,10630.560150000001,0.0,0.011255008984639454,0,0
QUBO/quadratized local search baseline,local_generator_failure,MG1-MG2-MG3,219737.9554248483,47913.180166237355,15263.046166237345,1.0,0.9908739176391357,46.66362000000004,0.0,True,1.1673277919180691,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=171845.107246.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/local_generator_failure_MG1-MG2-MG3.json,local_generator_failure_MG1-MG2-MG3.json,,219737.9554248483,1.1673277919180691,1.1673277919180691,15263.046166237345,15263.046166237345,True,False,False,0,0,0.0,0.0,1.1673277919180691,COMPLETED,,,,,,4.0,264.0,48.0,48.0,867.0,2.3636363636363638,171845.10724558448,,,,,,,,,0.0625,10529.31672,0.0,0.004431780450802132,0,0
QUBO/quadratized local search baseline,storm_forced_islanding,MG1-MG2-MG3,2426564.3733549863,2416216.1470274166,20995.126424018006,0.9989538604180611,0.4260264780732539,3336.3546285334223,6.428729099999941,True,1.0101232499582693,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=288447.359919.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding_MG1-MG2-MG3.json,,2426564.3733549863,1.0101232499582693,1.0101232499582693,20995.126424018006,20996.733606293004,True,False,False,0,0,0.0,0.0,1.0101232499582693,COMPLETED,,,,,,4.0,264.0,48.0,48.0,888.0,2.3636363636363638,288447.3599194139,,,,,,,,,0.0625,11946.724740000001,0.0,0.2792693981943558,4,4
QUBO/quadratized local search baseline,restoration,MG1-MG2-MG3,213860.69694783096,75555.42228359867,22422.97328359802,1.0,0.9843735230213084,75.92407000000014,0.0,True,1.0614446660038084,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=178373.023476.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/restoration_MG1-MG2-MG3.json,restoration_MG1-MG2-MG3.json,,213860.69694783096,1.0614446660038084,1.0614446660038084,22422.97328359802,22422.97328359802,True,False,False,0,0,0.0,0.0,1.0614446660038084,COMPLETED,,,,,,4.0,264.0,48.0,48.0,880.0,2.3636363636363638,178373.0234759284,,,,,,,,,0.125,10006.54084,0.0,0.0075874441741648,0,0
QUBO/quadratized local search baseline,combined_high_stress,MG1-MG2-MG3,14332237.230884766,16537492.318445748,16204.43993362686,0.8066052916327221,0.24084234731273169,6172.800731723071,1311.8647060544047,True,1.0046870419755578,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=1225832.044015.",0,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/combined_high_stress_MG1-MG2-MG3.json,combined_high_stress_MG1-MG2-MG3.json,,14332237.230884766,1.0046870419755578,1.0046870419755578,16204.43993362686,16532.406110140462,True,False,False,0,0,0.0,0.0,1.0046870419755578,COMPLETED,,,,,,4.0,264.0,48.0,48.0,887.0,2.3636363636363638,1225832.0440145396,,,,,,,,,0.0625,13186.41898,0.0,0.4681180494177708,4,4
QUBO/quadratized local search baseline,normal,MG1-MG2-MG3,163472.4154471323,21625.659477795354,21640.05947779536,1.0,1.0,0.0,0.0,True,1.1875769579783082,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=141851.919534.",1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/normal_MG1-MG2-MG3.json,normal_MG1-MG2-MG3.json,,163472.4154471323,1.1875769579783082,1.1875769579783082,21640.05947779536,21640.05947779536,True,False,False,0,0,0.0,0.0,1.1875769579783082,COMPLETED,,,,,,4.0,264.0,48.0,48.0,864.0,2.3636363636363638,141851.91953433654,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
QUBO/quadratized local search baseline,renewable_shortfall,MG1-MG2-MG3,200168.8637149309,22657.87578754425,22672.275787543553,1.0,1.0,0.0,0.0,True,1.1956305829808116,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=264, auxiliary_variables=48, approximation_error=177518.111079.",1,classical,qci_small_synthetic,results/phase3/phase3_qci_small/qci_payloads/renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall_MG1-MG2-MG3.json,,200168.8637149309,1.1956305829808116,1.1956305829808116,22672.275787543553,22672.275787543553,True,False,False,0,0,0.0,0.0,1.1956305829808116,COMPLETED,,,,,,4.0,264.0,48.0,48.0,864.0,2.3636363636363638,177518.1110793274,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
