method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,repeat,backend,dataset,payload,payload_name,qci_energy,decoded_objective,runtime,wall_clock_runtime_seconds,expected_operating_cost,risk_adjusted_cost,feasibility_after_repair,pre_repair_violation,post_repair_violation,pre_repair_violation_count,post_repair_violation_count,pre_repair_violation_magnitude,post_repair_violation_magnitude,time_to_good_solution,status,solver,breakpoints,piecewise_segments,piecewise_binary_variables,skip_reason,discrete_levels,binary_variable_count,auxiliary_variable_count,cubic_term_count,quadratized_term_count,variable_blowup,approximation_error,restart_count,gpu_backend,best_energy,median_energy,mean_energy,std_energy,reserve_fraction,stress_label,scenario_probability,scenario_total_load_kwh,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_critical_infrastructure_unserved_hours_proxy
GreedyCriticalLoadFirst,normal,MG1,7087.2129276676615,7087.2129276676615,7092.012927667647,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,7087.2129276676615,0.0,0.0,7092.012927667647,7092.012927667647,True,False,False,0,0,0.0,0.0,0.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
SLSQPDispatchOptimizer,normal,MG1,6588.000404776813,6248.454016970235,6253.254016970484,1.0,1.0,0.0,0.0,True,0.009396250010468066,1,SLSQP reported failure gracefully: Iteration limit reached,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,6588.000404776813,0.009396250010468066,0.009396250010468066,6253.254016970484,6253.254016970484,True,False,False,0,0,0.0,0.0,0.009396250010468066,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
DifferentialEvolutionOptimizer,normal,MG1,5150634.742381528,3654695.0489991778,1827.461354446618,0.78829682547574,0.5977570580621379,1123.0579538054908,308.2507333312782,True,0.0058050419902428985,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,5150634.742381528,0.0058050419902428985,0.0058050419902428985,1827.461354446618,1904.5240377794375,True,False,False,0,0,0.0,0.0,0.0058050419902428985,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.11092650197701626,4,4
CMPO-local polynomial search,normal,MG1,7084.54654304381,7087.2129276676615,7092.012927667647,1.0,1.0,0.0,0.0,True,0.011570499977096915,2,"Pre-QCi polynomial search proxy; best energy from 2 repeats, median_energy=4945184.881940.",0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,7084.54654304381,0.011570499977096915,0.011570499977096915,7092.012927667647,7092.012927667647,True,False,False,0,0,0.0,0.0,0.011570499977096915,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
Piecewise-linear MILP baseline,normal,MG1,348.7095209645336,348.7095209646039,353.5095209652868,1.0,1.0,0.0,0.0,True,0.010544792050495744,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,348.7095209645336,0.010544792050495744,0.010544792050495744,353.5095209652868,353.5095209652868,True,False,False,0,0,0.0,0.0,0.010544792050495744,COMPLETED,appsi_highs,5.0,4.0,16.0,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
QUBO/quadratized local search baseline,normal,MG1,27323.048717049835,7087.410267667849,7092.210267667648,1.0,1.0,0.0,0.0,True,0.16004283307120204,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=88, auxiliary_variables=16, approximation_error=20235.835789.",0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,27323.048717049835,0.16004283307120204,0.16004283307120204,7092.210267667648,7092.210267667648,True,False,False,0,0,0.0,0.0,0.16004283307120204,COMPLETED,,,,,,4.0,88.0,16.0,16.0,288.0,2.3636363636363638,20235.835789382174,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
GPU-parallel random restart baseline,normal,MG1,7087.2129276676615,7087.2129276676615,7092.012927667647,1.0,1.0,0.0,0.0,True,0.826841083006002,16,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=16, median_energy=7651678.387911, std_energy=3110630.703724.",0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,7087.2129276676615,0.826841083006002,0.826841083006002,7092.012927667647,7092.012927667647,True,False,False,0,0,0.0,0.0,0.826841083006002,COMPLETED,,,,,,,,,,,,,16.0,numpy_cpu_fallback,7087.2129276676615,7651678.387910722,7141004.483319087,3110630.703723574,,,0.375,10124.343,0.0,0.0,0,0
IPOPT/Pyomo nonlinear baseline,normal,MG1,6588.000404776813,6248.454016970235,6253.254016970484,1.0,1.0,0.0,0.0,True,0.009577541961334646,1,IPOPT/cyipopt unavailable; used SciPy SLSQP fallback with same repair and metrics.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,6588.000404776813,0.009577541961334646,0.009577541961334646,6253.254016970484,6253.254016970484,True,False,False,0,0,0.0,0.0,0.009577541961334646,COMPLETED,scipy_slsqp_fallback,,,,IPOPT/cyipopt not available.,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
Stress-only reserve heuristic baseline,normal,MG1,161351.3071976676,161351.3071976676,7088.707197667648,1.0,0.8912048128653574,220.38200000000006,0.0,True,2.1541956812143326e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,161351.3071976676,2.1541956812143326e-05,2.1541956812143326e-05,7088.707197667648,7088.707197667648,True,False,False,0,0,0.0,0.0,2.1541956812143326e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,low,0.375,10124.343,0.0,0.021767535928010347,0,0
GreedyCriticalLoadFirst,renewable_shortfall,MG1,7456.732369992952,7456.732369992952,7461.532369994089,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,7456.732369992952,0.0,0.0,7461.532369994089,7461.532369994089,True,False,False,0,0,0.0,0.0,0.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
