benchmark,dataset,payload_name,scenario,patch,sample_count,energy_selector_critical_ENS,challenge_selector_critical_ENS,critical_ENS_delta_challenge_minus_energy,challenge_improves_critical_ENS,energy_selector_max_customers_unserved,challenge_selector_max_customers_unserved,max_customers_unserved_delta_challenge_minus_energy,challenge_reduces_max_customers_unserved,energy_selector_infra_hours,challenge_selector_infra_hours,infra_hours_delta_challenge_minus_energy,energy_selector_critical_load_served,challenge_selector_critical_load_served,critical_load_served_delta_challenge_minus_energy,energy_selector_risk_adjusted_cost,challenge_selector_risk_adjusted_cost,risk_adjusted_cost_delta_challenge_minus_energy,best_selector_still_fails,best_selector_failure_reasons
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS14_MG-BUS1_MG,30,81.8688552,0.0,-81.8688552,True,0.1069653622455698,0.0,-0.1069653622455698,True,6.0,0.0,-6.0,0.0,1.0,1.0,131.81006308582246,109.76302956458058,-22.047033521241886,False,
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS14_MG,30,59.3816256,59.3816256,0.0,False,0.0688727541539389,0.0688727541539389,0.0,False,6.0,6.0,0.0,0.0,0.0,0.0,89.52938006534092,89.52938006534092,0.0,True,critical_ENS_positive|critical_infra_unserved_hours_positive|max_customers_unserved_positive|critical_load_not_fully_served
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS1_MG-BUS2_MG,30,87.153924,0.0,-87.153924,True,0.1383972232017299,0.0,-0.1383972232017299,True,6.0,0.0,-6.0,0.0,1.0,1.0,157.90022215238017,149.22643030039683,-8.673791851983339,False,
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS1_MG,30,22.4872296,22.4872296,0.0,False,0.0380926080916309,0.0380926080916309,0.0,False,6.0,6.0,0.0,0.0,0.0,0.0,82.41198235470695,74.98805144646744,-7.423930908239512,True,critical_ENS_positive|critical_infra_unserved_hours_positive|max_customers_unserved_positive|critical_load_not_fully_served
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG.json,demand_surge,BUS2_MG,30,64.6666944,64.6666944,0.0,False,0.100304615110099,0.100304615110099,0.0,False,6.0,6.0,0.0,0.0,0.0,0.0,143.8050851053409,143.8050851053409,0.0,True,critical_ENS_positive|critical_infra_unserved_hours_positive|max_customers_unserved_positive|critical_load_not_fully_served
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS3_MG-BUS4_MG,30,458.3415088,0.3032899999999969,-458.0382188,True,0.6184942674657389,0.0263286946506775,-0.5921655728150613,True,6.0,6.0,0.0,0.0266000808775991,0.9993558897551228,0.9727558088775237,228.7316816586818,267.152204876,38.42052321731819,True,critical_ENS_positive|critical_infra_unserved_hours_positive|max_customers_unserved_positive|critical_load_not_fully_served
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS3_MG,30,304.394112,304.394112,0.0,False,0.4354237208926879,0.4354237208926879,0.0,False,6.0,6.0,0.0,0.0,0.0,0.0,106.4765756653409,106.4765756653409,0.0,True,critical_ENS_positive|critical_infra_unserved_hours_positive|max_customers_unserved_positive|critical_load_not_fully_served
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS4_MG-BUS9_MG,30,271.5068544,0.0,-271.5068544,True,0.354011097769207,0.0079577308395087,-0.3460533669296983,True,6.0,0.0,-6.0,0.0185055084114621,1.0,0.9814944915885379,244.7832472586818,308.3093235013409,63.52607624265909,True,max_customers_unserved_positive
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS4_MG,30,166.47248639999998,166.47248639999998,0.0,False,0.220947493191831,0.220947493191831,0.0,False,6.0,6.0,0.0,0.0,0.0,0.0,190.9763222653409,165.18843083534088,-25.78789143000003,True,critical_ENS_positive|critical_infra_unserved_hours_positive|max_customers_unserved_positive|critical_load_not_fully_served
pglib_case14_ieee,pglib_case14_adapted,demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG.json,demand_surge,BUS9_MG,30,110.153472,110.153472,0.0,False,0.136358808559812,0.136358808559812,0.0,False,6.0,6.0,0.0,0.0,0.0,0.0,158.6875556653409,147.5509556653409,-11.136600000000016,True,critical_ENS_positive|critical_infra_unserved_hours_positive|max_customers_unserved_positive|critical_load_not_fully_served
