response_path,request_path,job_id,status,request_mode,response_mode,effective_mode,problem_config,device_config,job_type,job_type_source,sum_constraint,request_sum_constraint,response_sum_constraint,num_levels,declared_upper_bounds,raw_sample_count,native_integral_sample_count,native_in_domain_sample_count,native_feasible_sample_count,raw_coordinate_count,integral_coordinate_count,fractional_or_invalid_coordinate_count,in_bounds_coordinate_count,bounds_check_available,all_raw_coordinates_integral,all_raw_coordinates_in_bounds,solution_minimum,solution_maximum,projected_sample_counted_native,nonzero_coefficient_count,maximum_nonzero_coefficient,minimum_nonzero_coefficient,coefficient_dynamic_range
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS14_MG-BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58134408442f441bbb1855,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1441,2519,0,False,False,False,0.0,406.6705017,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS14_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58134408442f441bbb1854,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,954,1026,0,False,False,False,0.0,722.4967041,False,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS1_MG-BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58134408442f441bbb1851,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1406,2554,0,False,False,False,0.0,384.3597412,False,874,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS1_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58134408442f441bbb1850,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,839,1141,0,False,False,False,0.0,723.6720581,False,437,25000.0,1.58e-06,15822784810.126583
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS2_MG__from__demand_surge_BUS14_MG-BUS1_MG-BUS2_MG/repeat_000/request.json,6a58134408442f441bbb1852,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,927,1053,0,False,False,False,0.0,678.3761597,False,437,25000.0,1.66e-06,15060240963.855421
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS3_MG-BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58134408442f441bbb1853,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1440,2520,0,False,False,False,0.0,384.9966736,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS3_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58138308442f441bbb1857,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,1250,730,0,False,False,False,0.0,710.3012695,False,437,25000.0,1.74e-06,14367816091.954023
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS4_MG-BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58180308442f441bbb185c,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,3960,1441,2519,0,False,False,False,0.0,432.877533,False,874,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS4_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58180208442f441bbb1859,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,1135,845,0,False,False,False,0.0,773.6074219,False,437,25000.0,1.5e-06,16666666666.666666
results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/response.json,results/phase3/cmpo_v2/qci/pglib_case14_ieee__demand_surge_BUS9_MG__from__demand_surge_BUS3_MG-BUS4_MG-BUS9_MG/repeat_000/request.json,6a58180208442f441bbb185a,COMPLETED,normalized_continuous_qudit,normalized_continuous_qudit,normalized_continuous_qudit,normalized_qudit_hamiltonian_optimization,dirac-3_normalized_qudit,sample-hamiltonian,inferred_from_normalized_problem_config,10000,,10000,[],[],30,0,0,0,1980,954,1026,0,False,False,False,0.0,642.0409546,False,437,25000.0,1.5e-06,16666666666.666666
