action,component_id,component_kind,contingency_id,source_record
REMOVE UNIT 1 FROM BUS      9,bus_9_unit_1,generator,G_000009EASTOVER22U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS      9
REMOVE UNIT 1 FROM BUS     17,bus_17_unit_1,generator,G_000017SENECA33U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS     17
REMOVE UNIT 1 FROM BUS     18,bus_18_unit_1,generator,G_000018SENECA34U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS     18
REMOVE UNIT 1 FROM BUS     49,bus_49_unit_1,generator,G_000049IVA1U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS     49
REMOVE UNIT 1 FROM BUS     50,bus_50_unit_1,generator,G_000050IVA2U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS     50
REMOVE UNIT 1 FROM BUS     63,bus_63_unit_1,generator,G_000063BELTON21U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS     63
REMOVE UNIT 1 FROM BUS     71,bus_71_unit_1,generator,G_000071HONEAPATH21U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS     71
REMOVE UNIT 1 FROM BUS     72,bus_72_unit_1,generator,G_000072HONEAPATH22U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS     72
REMOVE UNIT 1 FROM BUS     73,bus_73_unit_1,generator,G_000073HONEAPATH23U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS     73
REMOVE UNIT 1 FROM BUS     82,bus_82_unit_1,generator,G_000082CLARKSHILL12U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS     82
REMOVE UNIT 1 FROM BUS    125,bus_125_unit_1,generator,G_000125SALEM32U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    125
REMOVE UNIT 1 FROM BUS    126,bus_126_unit_1,generator,G_000126SALEM33U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    126
REMOVE UNIT 1 FROM BUS    127,bus_127_unit_1,generator,G_000127SALEM34U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    127
REMOVE UNIT 1 FROM BUS    128,bus_128_unit_1,generator,G_000128SALEM35U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    128
REMOVE UNIT 1 FROM BUS    144,bus_144_unit_1,generator,G_000144YORK21U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    144
REMOVE UNIT 1 FROM BUS    145,bus_145_unit_1,generator,G_000145YORK22U1,/Users/omtailor/QCI/data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con:REMOVE UNIT 1 FROM BUS    145
