active_power_kw,area,bus_id,in_service,load_id,reactive_power_kvar,source_record,zone
7009.0,1,427,True,1,1869.0,"427,'1',1,1,1,7.009,1.869,0.0,0.0,0.0,0.0,1,1,0",1
2164.0,1,290,True,1,577.0,"290,'1',1,1,1,2.164,0.577,0.0,0.0,0.0,0.0,1,1,0",1
46961.0,1,377,True,1,12523.0,"377,'1',1,1,1,46.961,12.523,0.0,0.0,0.0,0.0,1,1,0",1
6717.0,1,368,True,1,1791.0,"368,'1',1,1,1,6.717,1.791,0.0,0.0,0.0,0.0,1,1,0",1
1461.0,1,206,True,1,390.0,"206,'1',1,1,1,1.461,0.39,0.0,0.0,0.0,0.0,1,1,0",1
38220.0,1,138,True,1,10192.0,"138,'1',1,1,1,38.22,10.192,0.0,0.0,0.0,0.0,1,1,0",1
8543.0,1,86,True,1,2278.0,"86,'1',1,1,1,8.543,2.278,0.0,0.0,0.0,0.0,1,1,0",1
2538.0,1,420,True,1,677.0,"420,'1',1,1,1,2.538,0.677,0.0,0.0,0.0,0.0,1,1,0",1
34729.0,1,155,True,1,9261.0,"155,'1',1,1,1,34.729,9.261,0.0,0.0,0.0,0.0,1,1,0",1
19939.0,1,96,True,1,5317.0,"96,'1',1,1,1,19.939,5.317,0.0,0.0,0.0,0.0,1,1,0",1
18842.0,1,103,True,1,5025.0,"103,'1',1,1,1,18.842,5.025,0.0,0.0,0.0,0.0,1,1,0",1
53071.0,1,446,True,1,14152.0,"446,'1',1,1,1,53.071,14.152,0.0,0.0,0.0,0.0,1,1,0",1
4883.0,1,259,True,1,1302.0,"259,'1',1,1,1,4.883,1.302,0.0,0.0,0.0,0.0,1,1,0",1
22333.0,1,113,True,1,5955.0,"113,'1',1,1,1,22.333,5.955,0.0,0.0,0.0,0.0,1,1,0",1
2043.0000000000002,1,317,True,1,545.0,"317,'1',1,1,1,2.043,0.545,0.0,0.0,0.0,0.0,1,1,0",1
45865.0,1,148,True,1,12231.0,"148,'1',1,1,1,45.865,12.231,0.0,0.0,0.0,0.0,1,1,0",1
32974.0,1,217,True,1,8793.0,"217,'1',1,1,1,32.974,8.793,0.0,0.0,0.0,0.0,1,1,0",1
1219.0,1,343,True,1,325.0,"343,'1',1,1,1,1.219,0.325,0.0,0.0,0.0,0.0,1,1,0",1
59481.0,1,243,True,1,15862.0,"243,'1',1,1,1,59.481,15.862,0.0,0.0,0.0,0.0,1,1,0",1
47897.0,1,234,True,1,12773.0,"234,'1',1,1,1,47.897,12.773,0.0,0.0,0.0,0.0,1,1,0",1
48450.0,1,182,True,1,12920.0,"182,'1',1,1,1,48.45,12.92,0.0,0.0,0.0,0.0,1,1,0",1
1522.0,1,173,True,1,406.0,"173,'1',1,1,1,1.522,0.406,0.0,0.0,0.0,0.0,1,1,0",1
105987.0,1,4,True,1,28263.0,"4,'1',1,1,1,105.987,28.263,0.0,0.0,0.0,0.0,1,1,0",1
29905.0,1,448,True,1,7975.0,"448,'1',1,1,1,29.905,7.975,0.0,0.0,0.0,0.0,1,1,0",1
69009.0,1,199,True,1,18402.0,"199,'1',1,1,1,69.009,18.402,0.0,0.0,0.0,0.0,1,1,0",1
4849.0,1,286,True,1,1293.0,"286,'1',1,1,1,4.849,1.293,0.0,0.0,0.0,0.0,1,1,0",1
3181.0,1,227,True,1,848.0,"227,'1',1,1,1,3.181,0.848,0.0,0.0,0.0,0.0,1,1,0",1
100071.0,1,474,True,1,26686.0,"474,'1',1,1,1,100.071,26.686,0.0,0.0,0.0,0.0,1,1,0",1
6506.0,1,465,True,1,1735.0,"465,'1',1,1,1,6.506,1.735,0.0,0.0,0.0,0.0,1,1,0",1
4046.0000000000005,1,296,True,1,1079.0,"296,'1',1,1,1,4.046,1.079,0.0,0.0,0.0,0.0,1,1,0",1
95476.0,1,491,True,1,25460.0,"491,'1',1,1,1,95.476,25.46,0.0,0.0,0.0,0.0,1,1,0",1
473.0,1,467,True,1,126.0,"467,'1',1,1,1,0.473,0.126,0.0,0.0,0.0,0.0,1,1,0",1
10140.0,1,280,True,1,2704.0,"280,'1',1,1,1,10.14,2.704,0.0,0.0,0.0,0.0,1,1,0",1
2858.0,1,406,True,1,762.0,"406,'1',1,1,1,2.858,0.762,0.0,0.0,0.0,0.0,1,1,0",1
23432.0,1,397,True,1,6248.0,"397,'1',1,1,1,23.432,6.248,0.0,0.0,0.0,0.0,1,1,0",1
129.0,1,475,True,1,35.0,"475,'1',1,1,1,0.129,0.035,0.0,0.0,0.0,0.0,1,1,0",1
32415.999999999996,1,492,True,1,8644.0,"492,'1',1,1,1,32.416,8.644,0.0,0.0,0.0,0.0,1,1,0",1
27091.0,1,323,True,1,7224.0,"323,'1',1,1,1,27.091,7.224,0.0,0.0,0.0,0.0,1,1,0",1
26595.0,1,186,True,1,7092.0,"186,'1',1,1,1,26.595,7.092,0.0,0.0,0.0,0.0,1,1,0",1
4781.0,1,177,True,1,1275.0,"177,'1',1,1,1,4.781,1.275,0.0,0.0,0.0,0.0,1,1,0",1
5264.0,1,381,True,1,1404.0,"381,'1',1,1,1,5.264,1.404,0.0,0.0,0.0,0.0,1,1,0",1
2206.0,1,468,True,1,588.0,"468,'1',1,1,1,2.206,0.588,0.0,0.0,0.0,0.0,1,1,0",1
2277.0,1,203,True,1,607.0,"203,'1',1,1,1,2.277,0.607,0.0,0.0,0.0,0.0,1,1,0",1
13934.0,1,194,True,1,3716.0,"194,'1',1,1,1,13.934,3.716,0.0,0.0,0.0,0.0,1,1,0",1
1186.0,1,25,True,1,316.0,"25,'1',1,1,1,1.186,0.316,0.0,0.0,0.0,0.0,1,1,0",1
22269.0,1,485,True,1,5938.0,"485,'1',1,1,1,22.269,5.938,0.0,0.0,0.0,0.0,1,1,0",1
45507.0,1,307,True,1,12135.0,"307,'1',1,1,1,45.507,12.135,0.0,0.0,0.0,0.0,1,1,0",1
1317.0,1,237,True,1,351.0,"237,'1',1,1,1,1.317,0.351,0.0,0.0,0.0,0.0,1,1,0",1
47338.0,1,213,True,1,12623.0,"213,'1',1,1,1,47.338,12.623,0.0,0.0,0.0,0.0,1,1,0",1
22176.0,1,204,True,1,5914.0,"204,'1',1,1,1,22.176,5.914,0.0,0.0,0.0,0.0,1,1,0",1
11255.0,1,26,True,1,3001.0,"26,'1',1,1,1,11.255,3.001,0.0,0.0,0.0,0.0,1,1,0",1
4609.0,1,273,True,1,1229.0,"273,'1',1,1,1,4.609,1.229,0.0,0.0,0.0,0.0,1,1,0",1
39057.0,1,495,True,1,10415.0,"495,'1',1,1,1,39.057,10.415,0.0,0.0,0.0,0.0,1,1,0",1
11357.0,1,52,True,1,3029.0,"52,'1',1,1,1,11.357,3.029,0.0,0.0,0.0,0.0,1,1,0",1
2166.0,1,43,True,1,578.0,"43,'1',1,1,1,2.166,0.578,0.0,0.0,0.0,0.0,1,1,0",1
38069.0,1,418,True,1,10152.0,"418,'1',1,1,1,38.069,10.152,0.0,0.0,0.0,0.0,1,1,0",1
260.0,1,334,True,1,69.0,"334,'1',1,1,1,0.26,0.069,0.0,0.0,0.0,0.0,1,1,0",1
8813.0,1,69,True,1,2350.0,"69,'1',1,1,1,8.813,2.35,0.0,0.0,0.0,0.0,1,1,0",1
49350.0,1,266,True,1,13160.0,"266,'1',1,1,1,49.35,13.16,0.0,0.0,0.0,0.0,1,1,0",1
1180.0,1,344,True,1,315.0,"344,'1',1,1,1,1.18,0.315,0.0,0.0,0.0,0.0,1,1,0",1
54890.0,1,461,True,1,14637.0,"461,'1',1,1,1,54.89,14.637,0.0,0.0,0.0,0.0,1,1,0",1
21051.0,1,36,True,1,5614.0,"36,'1',1,1,1,21.051,5.614,0.0,0.0,0.0,0.0,1,1,0",1
9586.0,1,241,True,1,2556.0,"241,'1',1,1,1,9.586,2.556,0.0,0.0,0.0,0.0,1,1,0",1
223.0,1,79,True,1,60.0,"79,'1',1,1,1,0.223,0.06,0.0,0.0,0.0,0.0,1,1,0",1
34188.0,1,2,True,1,9117.0,"2,'1',1,1,1,34.188,9.117,0.0,0.0,0.0,0.0,1,1,0",1
15854.0,1,284,True,1,4228.0,"284,'1',1,1,1,15.854,4.228,0.0,0.0,0.0,0.0,1,1,0",1
1094.0,1,56,True,1,292.0,"56,'1',1,1,1,1.094,0.292,0.0,0.0,0.0,0.0,1,1,0",1
13094.0,1,132,True,1,3492.0,"132,'1',1,1,1,13.094,3.492,0.0,0.0,0.0,0.0,1,1,0",1
27778.0,1,64,True,1,7407.0,"64,'1',1,1,1,27.778,7.407,0.0,0.0,0.0,0.0,1,1,0",1
96705.0,1,327,True,1,25788.0,"327,'1',1,1,1,96.705,25.788,0.0,0.0,0.0,0.0,1,1,0",1
324.0,1,277,True,1,86.0,"277,'1',1,1,1,0.324,0.086,0.0,0.0,0.0,0.0,1,1,0",1
15947.0,1,355,True,1,4253.0,"355,'1',1,1,1,15.947,4.253,0.0,0.0,0.0,0.0,1,1,0",1
4714.0,1,90,True,1,1257.0,"90,'1',1,1,1,4.714,1.257,0.0,0.0,0.0,0.0,1,1,0",1
85526.0,1,424,True,1,22807.0,"424,'1',1,1,1,85.526,22.807,0.0,0.0,0.0,0.0,1,1,0",1
47232.0,1,303,True,1,12595.0,"303,'1',1,1,1,47.232,12.595,0.0,0.0,0.0,0.0,1,1,0",1
12434.0,1,294,True,1,3316.0,"294,'1',1,1,1,12.434,3.316,0.0,0.0,0.0,0.0,1,1,0",1
7772.0,1,107,True,1,2073.0,"107,'1',1,1,1,7.772,2.073,0.0,0.0,0.0,0.0,1,1,0",1
25705.0,1,311,True,1,6855.0,"311,'1',1,1,1,25.705,6.855,0.0,0.0,0.0,0.0,1,1,0",1
87839.0,1,142,True,1,23424.0,"142,'1',1,1,1,87.839,23.424,0.0,0.0,0.0,0.0,1,1,0",1
71024.0,1,252,True,1,18940.0,"252,'1',1,1,1,71.024,18.94,0.0,0.0,0.0,0.0,1,1,0",1
120153.0,1,321,True,1,32040.999999999996,"321,'1',1,1,1,120.153,32.041,0.0,0.0,0.0,0.0,1,1,0",1
18253.0,1,159,True,1,4867.0,"159,'1',1,1,1,18.253,4.867,0.0,0.0,0.0,0.0,1,1,0",1
118776.0,1,22,True,1,31673.0,"22,'1',1,1,1,118.776,31.673,0.0,0.0,0.0,0.0,1,1,0",1
22238.0,1,13,True,1,5930.0,"13,'1',1,1,1,22.238,5.93,0.0,0.0,0.0,0.0,1,1,0",1
7025.0,1,100,True,1,1873.0,"100,'1',1,1,1,7.025,1.873,0.0,0.0,0.0,0.0,1,1,0",1
46414.0,1,288,True,1,12377.0,"288,'1',1,1,1,46.414,12.377,0.0,0.0,0.0,0.0,1,1,0",1
1149.0,1,451,True,1,306.0,"451,'1',1,1,1,1.149,0.306,0.0,0.0,0.0,0.0,1,1,0",1
21373.0,1,136,True,1,5699.0,"136,'1',1,1,1,21.373,5.699,0.0,0.0,0.0,0.0,1,1,0",1
29820.0,1,84,True,1,7952.0,"84,'1',1,1,1,29.82,7.952,0.0,0.0,0.0,0.0,1,1,0",1
29705.0,1,331,True,1,7921.0,"331,'1',1,1,1,29.705,7.921,0.0,0.0,0.0,0.0,1,1,0",1
48398.0,1,153,True,1,12906.0,"153,'1',1,1,1,48.398,12.906,0.0,0.0,0.0,0.0,1,1,0",1
463.0,1,101,True,1,123.0,"101,'1',1,1,1,0.463,0.123,0.0,0.0,0.0,0.0,1,1,0",1
51703.0,1,348,True,1,13787.0,"348,'1',1,1,1,51.703,13.787,0.0,0.0,0.0,0.0,1,1,0",1
4289.0,1,118,True,1,1144.0,"118,'1',1,1,1,4.289,1.144,0.0,0.0,0.0,0.0,1,1,0",1
6077.0,1,452,True,1,1621.0,"452,'1',1,1,1,6.077,1.621,0.0,0.0,0.0,0.0,1,1,0",1
221.0,1,315,True,1,59.0,"315,'1',1,1,1,0.221,0.059,0.0,0.0,0.0,0.0,1,1,0",1
4985.0,1,478,True,1,1329.0,"478,'1',1,1,1,4.985,1.329,0.0,0.0,0.0,0.0,1,1,0",1
14495.0,1,341,True,1,3865.0,"341,'1',1,1,1,14.495,3.865,0.0,0.0,0.0,0.0,1,1,0",1
32363.0,1,111,True,1,8630.0,"111,'1',1,1,1,32.363,8.63,0.0,0.0,0.0,0.0,1,1,0",1
11291.0,1,180,True,1,3011.0,"180,'1',1,1,1,11.291,3.011,0.0,0.0,0.0,0.0,1,1,0",1
7258.0,1,171,True,1,1935.0,"171,'1',1,1,1,7.258,1.935,0.0,0.0,0.0,0.0,1,1,0",1
12140.0,1,34,True,1,3237.0,"34,'1',1,1,1,12.14,3.237,0.0,0.0,0.0,0.0,1,1,0",1
19782.0,1,375,True,1,5275.0,"375,'1',1,1,1,19.782,5.275,0.0,0.0,0.0,0.0,1,1,0",1
21915.0,1,385,True,1,5844.0,"385,'1',1,1,1,21.915,5.844,0.0,0.0,0.0,0.0,1,1,0",1
25829.0,1,472,True,1,6888.0,"472,'1',1,1,1,25.829,6.888,0.0,0.0,0.0,0.0,1,1,0",1
3784.0,1,77,True,1,1008.9999999999999,"77,'1',1,1,1,3.784,1.009,0.0,0.0,0.0,0.0,1,1,0",1
78400.0,1,164,True,1,20907.0,"164,'1',1,1,1,78.4,20.907,0.0,0.0,0.0,0.0,1,1,0",1
48098.0,1,402,True,1,12826.0,"402,'1',1,1,1,48.098,12.826,0.0,0.0,0.0,0.0,1,1,0",1
1787.0,1,489,True,1,477.0,"489,'1',1,1,1,1.787,0.477,0.0,0.0,0.0,0.0,1,1,0",1
7083.0,1,359,True,1,1889.0,"359,'1',1,1,1,7.083,1.889,0.0,0.0,0.0,0.0,1,1,0",1
6832.0,1,190,True,1,1822.0,"190,'1',1,1,1,6.832,1.822,0.0,0.0,0.0,0.0,1,1,0",1
42625.0,1,122,True,1,11367.0,"122,'1',1,1,1,42.625,11.367,0.0,0.0,0.0,0.0,1,1,0",1
10961.0,1,207,True,1,2923.0,"207,'1',1,1,1,10.961,2.923,0.0,0.0,0.0,0.0,1,1,0",1
106.0,1,61,True,1,28.0,"61,'1',1,1,1,0.106,0.028,0.0,0.0,0.0,0.0,1,1,0",1
9600.0,1,404,True,1,2560.0,"404,'1',1,1,1,9.6,2.56,0.0,0.0,0.0,0.0,1,1,0",1
61783.0,1,130,True,1,16476.0,"130,'1',1,1,1,61.783,16.476,0.0,0.0,0.0,0.0,1,1,0",1
586.0,1,473,True,1,156.0,"473,'1',1,1,1,0.586,0.156,0.0,0.0,0.0,0.0,1,1,0",1
3547.0,1,174,True,1,946.0,"174,'1',1,1,1,3.547,0.946,0.0,0.0,0.0,0.0,1,1,0",1
97709.0,1,499,True,1,26056.0,"499,'1',1,1,1,97.709,26.056,0.0,0.0,0.0,0.0,1,1,0",1
17483.0,1,490,True,1,4662.0,"490,'1',1,1,1,17.483,4.662,0.0,0.0,0.0,0.0,1,1,0",1
16429.0,1,184,True,1,4381.0,"184,'1',1,1,1,16.429,4.381,0.0,0.0,0.0,0.0,1,1,0",1
7083.0,1,379,True,1,1889.0,"379,'1',1,1,1,7.083,1.889,0.0,0.0,0.0,0.0,1,1,0",1
20881.0,1,370,True,1,5568.0,"370,'1',1,1,1,20.881,5.568,0.0,0.0,0.0,0.0,1,1,0",1
