circuit_id,from_bus_id,in_service,rating_a_mva,rating_b_mva,rating_c_mva,reactance_pu,resistance_pu,source_records,third_winding_bus_id,to_bus_id,winding1_nominal_kv,winding2_nominal_kv
1,222,True,228.0,228.0,228.0,0.02225,0.000484613,"[""222,220,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000484613,0.02225,228.0"", ""1.0,13.8,0.0,228.0,228.0,228.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,220,13.8,345.0
1,163,True,510.0,510.0,510.0,0.01982,0.000344643,"[""163,162,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000344643,0.01982,510.0"", ""1.0,138.0,0.0,510.0,510.0,510.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,162,138.0,345.0
1,298,True,348.0,348.0,348.0,0.03135,0.000587617,"[""298,297,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000587617,0.03135,348.0"", ""1.0,138.0,0.0,348.0,348.0,348.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,297,138.0,345.0
1,372,True,508.0,508.0,508.0,0.03602,0.00025,"[""372,371,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00025,0.03602,508.0"", ""1.0,138.0,0.0,508.0,508.0,508.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,371,138.0,345.0
1,393,True,283.0,283.0,283.0,0.03349,0.00024,"[""393,386,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00024,0.03349,283.0"", ""1.0,13.8,0.0,283.0,283.0,283.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,386,13.8,345.0
1,16,True,596.0,596.0,596.0,0.01202,0.000325948,"[""16,14,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000325948,0.01202,596.0"", ""1.0,13.8,0.0,596.0,596.0,596.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,14,13.8,345.0
1,302,True,75.0,75.0,75.0,0.07834,0.00367,"[""302,300,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00367,0.07834,75.0"", ""1.0,13.8,0.0,75.0,75.0,75.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,300,13.8,138.0
1,454,True,710.0,710.0,710.0,0.03057,0.0002,"[""454,453,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.0002,0.03057,710.0"", ""1.0,138.0,0.0,710.0,710.0,710.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,453,138.0,345.0
2,163,True,510.0,510.0,510.0,0.01982,0.000365564,"[""163,162,0,'2',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000365564,0.01982,510.0"", ""1.0,138.0,0.0,510.0,510.0,510.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,162,138.0,345.0
1,441,True,649.0,649.0,649.0,0.02873,0.00058,"[""441,440,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00058,0.02873,649.0"", ""1.0,138.0,0.0,649.0,649.0,649.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,440,138.0,345.0
1,497,True,204.0,204.0,204.0,0.0647,0.00147,"[""497,496,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00147,0.0647,204.0"", ""1.0,13.8,0.0,204.0,204.0,204.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,496,13.8,138.0
1,63,True,70.0,70.0,70.0,0.16353,0.0032,"[""63,62,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.0032,0.16353,70.0"", ""1.0,13.8,0.0,70.0,70.0,70.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,138.0""]",,62,13.8,138.0
1,24,True,626.0,626.0,626.0,0.01764,0.00033,"[""24,23,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.00033,0.01764,626.0"", ""1.0,138.0,0.0,626.0,626.0,626.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,23,138.0,345.0
1,15,True,682.0,682.0,682.0,0.01122,0.000207947,"[""15,14,0,'1',1,1,1,0.0,0.0,2,'            ',1,1,1.0,0,1.0,0,1.0,0,1.0,'            '"", ""0.000207947,0.01122,682.0"", ""1.0,138.0,0.0,682.0,682.0,682.0,0,0,1.5,0.51,1.5,0.51,159,0,0.0,0.0,0.0"", ""1.0,345.0""]",,14,138.0,345.0
