benchmark,capacity_kw,energy_kwh,islanded_deficit_kw,maximum_upgrade_cost,minimum_resilient_upgrade_cost,patch_id,payload_name,power_kw,sizing_rule,source_row,technology,total_cost,unit_cost_per_kw,unit_cost_per_kwh
arpae_go_network_01o_020,120153.0,0.0,120153.0,529119953.3112004,133417891.20000002,arpae_go_network_01o_020__patch_01__320-321,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_01__320-321.json,120153.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,164200873.9512004,1366.5982035504765,
arpae_go_network_01o_020,120153.0,480612.0,120153.0,529119953.3112004,133417891.20000002,arpae_go_network_01o_020__patch_01__320-321,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_01__320-321.json,120153.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,231501188.16,1926.72,481.68
arpae_go_network_01o_020,120153.0,0.0,120153.0,529119953.3112004,133417891.20000002,arpae_go_network_01o_020__patch_01__320-321,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_01__320-321.json,120153.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,133417891.20000002,1110.4,
arpae_go_network_01o_020,118776.0,0.0,118776.0,523056033.34491134,131888870.4,arpae_go_network_01o_020__patch_02__21-22,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_02__21-22.json,118776.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,162319068.2249114,1366.5982035504765,
arpae_go_network_01o_020,118776.0,475104.0,118776.0,523056033.34491134,131888870.4,arpae_go_network_01o_020__patch_02__21-22,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_02__21-22.json,118776.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,228848094.72,1926.72,481.68
arpae_go_network_01o_020,118776.0,0.0,118776.0,523056033.34491134,131888870.4,arpae_go_network_01o_020__patch_02__21-22,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_02__21-22.json,118776.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,131888870.4,1110.4,
arpae_go_network_01o_020,105987.0,0.0,105987.0,466736881.2397044,117687964.80000001,arpae_go_network_01o_020__patch_03__3-4,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_03__3-4.json,105987.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,144841643.79970434,1366.5982035504765,
arpae_go_network_01o_020,105987.0,423948.0,105987.0,466736881.2397044,117687964.80000001,arpae_go_network_01o_020__patch_03__3-4,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_03__3-4.json,105987.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,204207272.64000002,1926.72,481.68
arpae_go_network_01o_020,105987.0,0.0,105987.0,466736881.2397044,117687964.80000001,arpae_go_network_01o_020__patch_03__3-4,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_03__3-4.json,105987.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,117687964.80000001,1110.4,
arpae_go_network_01o_020,100071.0,0.0,100071.0,440684484.3474997,111118838.4,arpae_go_network_01o_020__patch_04__228-474,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_04__228-474.json,100071.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,136756848.82749972,1366.5982035504765,
arpae_go_network_01o_020,100071.0,400284.0,100071.0,440684484.3474997,111118838.4,arpae_go_network_01o_020__patch_04__228-474,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_04__228-474.json,100071.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,192808797.12,1926.72,481.68
