benchmark,bess_energy_fraction,bess_power_fraction,critical_energy_not_served_kwh,critical_load_served_fraction,dispatchable_capacity_fraction,failure_reason,feasibility_after_projection,max_fraction_customers_unserved_per_hour,method,payload_name,post_repair_violation,pre_repair_violation,pv_capacity_fraction,runtime_seconds,scenario_critical_ens_json,status,total_hours_critical_infrastructure_unserved,upgrade_cost
arpae_go_network_01o_020,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_01__320-321.json,0.0,0.0,0.0,0.0011884169653058052,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,133417891.20000002
arpae_go_network_01o_020,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_02__21-22.json,0.0,0.0,0.0,0.0007095411419868469,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,131888870.4
arpae_go_network_01o_020,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_03__3-4.json,0.0,0.0,0.0,0.0008745829109102488,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,117687964.80000001
arpae_go_network_01o_020,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_04__228-474.json,0.0,0.0,0.0,0.000757457921281457,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,111118838.4
arpae_go_network_01o_020,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_05__485-499.json,0.0,0.0,0.0,0.000654707895591855,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,133223571.20000002
arpae_go_network_01o_020,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_06__326-327.json,0.0,0.0,0.0,0.0006035410333424807,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,107381232.00000001
arpae_go_network_01o_020,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_07__263-491.json,0.0,0.0,0.0,0.0005239578895270824,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,106016550.4
arpae_go_network_01o_020,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_08__141-142.json,0.0,0.0,0.0,0.0005737498868256807,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,97536425.60000001
ieee123_opendss,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,0.0,0.0,0.0,0.0005359160713851452,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,338672.0
ieee123_opendss,0.0,0.0,0.0,1.0,1.0,,True,0.0,SC-CMPO robust LP metadata baseline,ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,0.0,0.0,0.0,0.0005276249721646309,"{""combined_high_stress"": 0.0, ""demand_surge"": 0.0, ""forced_islanding"": 0.0, ""local_generator_loss"": 0.0, ""normal"": 0.0, ""pcc_loss"": 0.0, ""renewable_shortfall"": 0.0, ""restoration"": 0.0}",completed,0,505232.00000000006
