budget_id,budget,metric,qci_value,best_classical_value,best_classical_methods,outcome
low_cost_catalog_step,2114027.8922130284,total_ens,625.0,615.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
minimum_feasible_islanding,2032032.0,total_ens,615.0,615.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,tie
post_slsqp_catalog_step,5149457.112497372,total_ens,696.875,615.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
pv_catalog_midpoint,3097978.598769372,total_ens,689.0625,615.0,GPU random portfolio search;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
qci_selected_cost,5602175.318543635,total_ens,627.5,615.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
slsqp_selected_cost,4532906.712497371,total_ens,652.5,615.0,GPU random portfolio search;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
low_cost_catalog_step,2114027.8922130284,critical_ens,145.0,135.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
minimum_feasible_islanding,2032032.0,critical_ens,135.0,135.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,tie
post_slsqp_catalog_step,5149457.112497372,critical_ens,264.375,135.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
pv_catalog_midpoint,3097978.598769372,critical_ens,256.5625,135.0,GPU random portfolio search;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
qci_selected_cost,5602175.318543635,critical_ens,147.5,135.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
slsqp_selected_cost,4532906.712497371,critical_ens,180.0,135.0,GPU random portfolio search;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
low_cost_catalog_step,2114027.8922130284,heldout_total_ens,773.0,773.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,tie
minimum_feasible_islanding,2032032.0,heldout_total_ens,773.0,773.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,tie
post_slsqp_catalog_step,5149457.112497372,heldout_total_ens,833.0,773.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
pv_catalog_midpoint,3097978.598769372,heldout_total_ens,893.0,773.0,GPU random portfolio search;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,loss
qci_selected_cost,5602175.318543635,heldout_total_ens,773.0,773.0,GPU random portfolio search;QUBO/quadratized upgrade master;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,tie
slsqp_selected_cost,4532906.712497371,heldout_total_ens,773.0,773.0,GPU random portfolio search;SLSQP/IPOPT relaxation;classical Benders master;exact MILP or CP-SAT upgrade master;greedy cost-benefit portfolio selection,tie
