benchmark,consensus_replicate,consensus_run_id,critical_energy_not_served_kwh,critical_load_served_fraction,full_system_feasibility,headline_selection,heldout_count,heldout_data_available,heldout_probability_sum,heldout_rule,heldout_trace_id,max_fraction_customers_unserved_per_hour,method,projection_scope,total_energy_not_served_kwh,total_hours_critical_infrastructure_unserved,trace_source
arpae_go_network_01o_020,baseline_repeat_018,consensus::arpae_go_network_01o_020::CMPO-local polynomial search::baseline_repeat_018,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-c74dc04a4202d0effc9c,0.0169813383737779,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0,heldout_summary.csv; heldout_contingencies.csv
ieee123_opendss,baseline_repeat_021,consensus::ieee123_opendss::CMPO-local polynomial search::baseline_repeat_021,135.0,0.927027027027027,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-cff60d8e25773d10c1b6,0.4512893982808023,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",773.0,30,heldout_summary.csv; heldout_contingencies.csv
pglib_case14_ieee,baseline_repeat_008,consensus::pglib_case14_ieee::CMPO-local polynomial search::baseline_repeat_008,26200.0,0.889591234723978,True,False,5,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-30a151e6b58a467e9b7f,0.1011583011583011,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",26200.0,20,heldout_summary.csv; heldout_contingencies.csv
pglib_case30_ieee,baseline_repeat_006,consensus::pglib_case30_ieee::CMPO-local polynomial search::baseline_repeat_006,34340.0,0.8687810470003822,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-e9145b4a14b2a0583500,0.1916019760056457,CMPO-local polynomial search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",34340.0,73,heldout_summary.csv; heldout_contingencies.csv
arpae_go_network_01o_020,deterministic,consensus::arpae_go_network_01o_020::IPOPT/Pyomo nonlinear::deterministic,0.0,1.0,True,True,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-685250c2f3bfe4a71846,0.0,IPOPT/Pyomo nonlinear,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",0.0,0,heldout_summary.csv; heldout_contingencies.csv
ieee123_opendss,deterministic,consensus::ieee123_opendss::IPOPT/Pyomo nonlinear::deterministic,5.500004269654642,0.9970270247191056,True,True,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-40f476def81cb0b11470,0.4169054544077121,IPOPT/Pyomo nonlinear,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",304.0998498277194,5,heldout_summary.csv; heldout_contingencies.csv
pglib_case14_ieee,deterministic,consensus::pglib_case14_ieee::IPOPT/Pyomo nonlinear::deterministic,0.0,1.0,True,True,5,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-742bdb09f9819cf58c34,0.0,IPOPT/Pyomo nonlinear,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",0.0,0,heldout_summary.csv; heldout_contingencies.csv
pglib_case30_ieee,deterministic,consensus::pglib_case30_ieee::IPOPT/Pyomo nonlinear::deterministic,390.6652140889812,0.9985072020860184,True,True,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-b12f6a1b6b77256e49a1,0.0137849402558346,IPOPT/Pyomo nonlinear,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",390.6652140889841,2,heldout_summary.csv; heldout_contingencies.csv
arpae_go_network_01o_020,qci_sample_028,consensus::arpae_go_network_01o_020::QCi SC-CMPO::qci_sample_028,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-b1ea9a2decfc571f38d4,0.0,QCi SC-CMPO,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",0.0,0,heldout_summary.csv; heldout_contingencies.csv
ieee123_opendss,qci_sample_029,consensus::ieee123_opendss::QCi SC-CMPO::qci_sample_029,5.500000184999999,0.997027026927027,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-f3d975b06ba0cb1468c5,0.4169054441260745,QCi SC-CMPO,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",207.5,2,heldout_summary.csv; heldout_contingencies.csv
pglib_case14_ieee,qci_sample_028,consensus::pglib_case14_ieee::QCi SC-CMPO::qci_sample_028,0.0,1.0,True,False,5,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-d00012869e59410f2589,0.0,QCi SC-CMPO,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",0.0,0,heldout_summary.csv; heldout_contingencies.csv
pglib_case30_ieee,qci_sample_029,consensus::pglib_case30_ieee::QCi SC-CMPO::qci_sample_029,36401.545384807665,0.8609035331111667,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-313a206dec56c2baa082,0.1946997148770424,QCi SC-CMPO,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",36401.545384807665,120,heldout_summary.csv; heldout_contingencies.csv
arpae_go_network_01o_020,baseline_repeat_012,consensus::arpae_go_network_01o_020::QUBO/quadratized search::baseline_repeat_012,0.0,1.0,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-2813f6ea51a42a9b144a,0.0169813383737779,QUBO/quadratized search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",81072.0,0,heldout_summary.csv; heldout_contingencies.csv
ieee123_opendss,baseline_repeat_021,consensus::ieee123_opendss::QUBO/quadratized search::baseline_repeat_021,135.0,0.927027027027027,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-ef0e096a72742a84794f,0.4512893982808023,QUBO/quadratized search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",773.0,30,heldout_summary.csv; heldout_contingencies.csv
pglib_case14_ieee,baseline_repeat_041,consensus::pglib_case14_ieee::QUBO/quadratized search::baseline_repeat_041,26200.0,0.889591234723978,True,False,5,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-e0bc7e8f29e539a062a4,0.1011583011583011,QUBO/quadratized search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",26200.0,20,heldout_summary.csv; heldout_contingencies.csv
pglib_case30_ieee,baseline_repeat_032,consensus::pglib_case30_ieee::QUBO/quadratized search::baseline_repeat_032,34340.0,0.8687810470003822,True,False,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-777425581ac334f51dd9,0.1916019760056457,QUBO/quadratized search,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",34340.0,73,heldout_summary.csv; heldout_contingencies.csv
arpae_go_network_01o_020,deterministic,consensus::arpae_go_network_01o_020::SLSQP::deterministic,0.0,1.0,True,True,10,True,1.0,"deterministic unused public N-1 records, equal weighted, projected over the complete public topology using the normal recourse block and the reconstructed consensus upgrade plan",heldout-72f0af94f68e100df0bb,0.0,SLSQP,"lossless capacitated active-power network flow over the complete public benchmark; not AC OPF; voltage, reactive power, and losses are not modeled",0.0,0,heldout_summary.csv; heldout_contingencies.csv
