dataset,payload_name,scenario,patch,sample_count,repeat_count,job_count,qci_energy_best,qci_energy_median,decoded_objective_best,runtime_seconds_total,runtime_seconds_median,projection_status
arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_01__320-321.json,scenario_coupled_8,arpae_go_network_01o_020__patch_01__320-321,30,1,1,-4569721856.0,-4564237312.0,-4569721917.105528,4230.0,141.0,pending_classical_projection
arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_02__21-22.json,scenario_coupled_8,arpae_go_network_01o_020__patch_02__21-22,30,1,1,-4569722880.0,-4566926592.0,-4569722521.713545,4230.0,141.0,pending_classical_projection
arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_03__3-4.json,scenario_coupled_8,arpae_go_network_01o_020__patch_03__3-4,30,1,1,-4569731584.0,-4565780992.0,-4569731513.812654,4230.0,141.0,pending_classical_projection
arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_04__228-474.json,scenario_coupled_8,arpae_go_network_01o_020__patch_04__228-474,30,1,1,-4569731072.0,-4569317632.0,-4569730404.62248,4200.0,140.0,pending_classical_projection
arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_05__485-499.json,scenario_coupled_8,arpae_go_network_01o_020__patch_05__485-499,30,1,1,-4569731072.0,-4563782400.0,-4569730703.507129,4200.0,140.0,pending_classical_projection
arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_06__326-327.json,scenario_coupled_8,arpae_go_network_01o_020__patch_06__326-327,30,1,1,-4569707520.0,-4551671040.0,-4569707145.959267,4200.0,140.0,pending_classical_projection
arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_07__263-491.json,scenario_coupled_8,arpae_go_network_01o_020__patch_07__263-491,30,1,1,-4569721344.0,-4565735168.0,-4569720764.878429,4230.0,141.0,pending_classical_projection
arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_08__141-142.json,scenario_coupled_8,arpae_go_network_01o_020__patch_08__141-142,30,1,1,-4569692672.0,-4560010496.0,-4569692624.07542,4260.0,142.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,scenario_coupled_8,ieee123_opendss__patch_01__76-77-86,30,1,1,-4569727488.0,-4555236864.0,-4569727217.881901,4230.0,141.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,scenario_coupled_8,ieee123_opendss__patch_02__47-48-49,30,1,1,-4569717248.0,-4559034880.0,-4569716832.381088,4230.0,141.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_03__64-65-66.json,scenario_coupled_8,ieee123_opendss__patch_03__64-65-66,30,1,1,-4569638400.0,-4555542784.0,-4569638512.762605,4230.0,141.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_04__100-98-99.json,scenario_coupled_8,ieee123_opendss__patch_04__100-98-99,30,1,1,-4569730048.0,-4561148416.0,-4569729985.387551,4230.0,141.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_05__73-74-75.json,scenario_coupled_8,ieee123_opendss__patch_05__73-74-75,30,1,1,-4569722880.0,-4563542784.0,-4569722946.420356,4230.0,141.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_06__3-5-6.json,scenario_coupled_8,ieee123_opendss__patch_06__3-5-6,30,1,1,-4569715712.0,-4562184704.0,-4569715671.023355,4230.0,141.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_07__63-64-65.json,scenario_coupled_8,ieee123_opendss__patch_07__63-64-65,30,1,1,-4569656320.0,-4555357696.0,-4569655698.082687,4200.0,140.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_08__69-70-71.json,scenario_coupled_8,ieee123_opendss__patch_08__69-70-71,30,1,1,-4569724928.0,-4558744064.0,-4569724619.033434,4230.0,141.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_09__112-113-114.json,scenario_coupled_8,ieee123_opendss__patch_09__112-113-114,30,1,1,-4568823808.0,-4547143168.0,-4568823716.659447,4200.0,140.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_10__28-29-30.json,scenario_coupled_8,ieee123_opendss__patch_10__28-29-30,30,1,1,-4569730048.0,-4554443520.0,-4569729798.40817,4230.0,141.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_11__15-16-34.json,scenario_coupled_8,ieee123_opendss__patch_11__15-16-34,30,1,1,-4569677312.0,-4553794048.0,-4569677370.928884,4230.0,141.0,pending_classical_projection
ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_12__86-87-88.json,scenario_coupled_8,ieee123_opendss__patch_12__86-87-88,30,1,1,-4569718784.0,-4550564864.0,-4569718100.484708,4230.0,141.0,pending_classical_projection
pglib_case14_ieee,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,scenario_coupled_8,pglib_case14_ieee__patch_01__3-4,30,1,1,-4569582592.0,-4557516032.0,-4569582462.558447,4260.0,142.0,pending_classical_projection
pglib_case14_ieee,pglib_case14_ieee__pglib_case14_ieee__patch_02__4-9.json,scenario_coupled_8,pglib_case14_ieee__patch_02__4-9,30,1,1,-4569306112.0,-4545964800.0,-4569305750.841012,4260.0,142.0,pending_classical_projection
pglib_case14_ieee,pglib_case14_ieee__pglib_case14_ieee__patch_03__14-9.json,scenario_coupled_8,pglib_case14_ieee__patch_03__14-9,30,1,1,-4569724928.0,-4566373376.0,-4569724696.1766815,4290.0,143.0,pending_classical_projection
pglib_case14_ieee,pglib_case14_ieee__pglib_case14_ieee__patch_04__13-14.json,scenario_coupled_8,pglib_case14_ieee__patch_04__13-14,30,1,1,-4569731072.0,-4563375872.0,-4569730738.465276,4260.0,142.0,pending_classical_projection
pglib_case14_ieee,pglib_case14_ieee__pglib_case14_ieee__patch_05__13-6.json,scenario_coupled_8,pglib_case14_ieee__patch_05__13-6,30,1,1,-4569724928.0,-4567340032.0,-4569725178.055978,4260.0,142.0,pending_classical_projection
pglib_case14_ieee,pglib_case14_ieee__pglib_case14_ieee__patch_06__10-9.json,scenario_coupled_8,pglib_case14_ieee__patch_06__10-9,30,1,1,-4569730048.0,-4568024064.0,-4569729987.268972,4260.0,142.0,pending_classical_projection
