benchmark,method,system_repeat_count,derived_headline_candidate_count,budget_basis,runtime_accounting_basis,end_to_end_runtime_seconds_mean,end_to_end_runtime_seconds_total,wall_clock_runtime_seconds_mean,patch_runtime_seconds_mean,consensus_runtime_seconds_mean,time_to_good_solution_mean,consensus_iterations_mean,wall_clock_budget_seconds_per_patch,runtime_seconds_ci_low,runtime_seconds_ci_high,runtime_seconds_ci_method,trace_source
arpae_go_network_01o_020,CMPO-local polynomial search,50,0,50 matched stochastic repeats; common per-patch wall-clock cap,independent stochastic repeats; measured runtimes summed,1.0052256447449326,50.26128223724663,1.0052256447449326,0.9043964881682769,0.013491398287005671,1.0052256447449326,1.0,30.0,1.0008279886259697,1.0097221632220317,deterministic_bootstrap_mean_95,baseline_system_metrics.csv
arpae_go_network_01o_020,IPOPT/Pyomo nonlinear,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,2.253298751078546,2.253298751078546,2.253298751078546,2.151287792949006,0.0132118749897927,2.253298751078546,1.0,30.0,2.253298751078546,2.253298751078546,degenerate_single_repeat,baseline_system_metrics.csv
arpae_go_network_01o_020,QCi SC-CMPO,30,1,30 completed Dirac-3 samples per payload,batched QCi samples share the same device jobs; shared end-to-end runtime counted once,1126.1473649680925,1126.1473649680925,1126.1473649680925,1126.0,0.05998588194294518,1126.1473649680925,28.733333333333334,,1126.1451296702307,1126.1496671888794,deterministic_bootstrap_mean_95,qci_system_metrics.csv
arpae_go_network_01o_020,QUBO/quadratized search,50,0,50 matched stochastic repeats; common per-patch wall-clock cap,independent stochastic repeats; measured runtimes summed,0.24201160088181495,12.100580044090748,0.24201160088181495,0.13843649748712775,0.015162414177320846,0.24201160088181495,1.0,30.0,0.24040357089950704,0.24385855118511246,deterministic_bootstrap_mean_95,baseline_system_metrics.csv
arpae_go_network_01o_020,SLSQP,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.378456664038822,0.378456664038822,0.378456664038822,0.2536870820913464,0.0198067910969257,0.378456664038822,5.0,30.0,0.378456664038822,0.378456664038822,degenerate_single_repeat,baseline_system_metrics.csv
arpae_go_network_01o_020,differential evolution,50,0,50 matched stochastic repeats; common per-patch wall-clock cap,independent stochastic repeats; measured runtimes summed,0.22597636389080436,11.298818194540218,0.22597636389080436,0.12077331488020715,0.014825557437725323,0.22597636389080436,1.0,30.0,0.22345343303401022,0.22921628739219158,deterministic_bootstrap_mean_95,baseline_system_metrics.csv
arpae_go_network_01o_020,greedy resilience heuristic,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.1061485430691391,0.1061485430691391,0.1061485430691391,0.0013184600975364,0.0140123330056667,0.1061485430691391,1.0,30.0,0.1061485430691391,0.1061485430691391,degenerate_single_repeat,baseline_system_metrics.csv
arpae_go_network_01o_020,piecewise-linear MILP,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.2964370409026742,0.2964370409026742,0.2964370409026742,0.1914799169171601,0.0140503330621868,0.2964370409026742,1.0,30.0,0.2964370409026742,0.2964370409026742,degenerate_single_repeat,baseline_system_metrics.csv
ieee123_opendss,CMPO-local polynomial search,50,0,50 matched stochastic repeats; common per-patch wall-clock cap,independent stochastic repeats; measured runtimes summed,1.4248277310049162,71.2413865502458,1.4248277310049162,1.3687094384804368,0.02534531913697715,1.4248277310049162,1.0,30.0,1.4164961062872317,1.4337892017135163,deterministic_bootstrap_mean_95,baseline_system_metrics.csv
ieee123_opendss,IPOPT/Pyomo nonlinear,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.3096557089593261,0.3096557089593261,0.3096557089593261,0.2546510840766132,0.0229279999621212,0.3096557089593261,1.0,30.0,0.3096557089593261,0.3096557089593261,degenerate_single_repeat,baseline_system_metrics.csv
