benchmark	payload_name	variable_count	degree	sha256
pglib_case14_ieee	pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json	103	3	b8e91b837c82af59cdac3e7f449b468e7fd960a1d49fed25b36e857435126e01
pglib_case14_ieee	pglib_case14_ieee__pglib_case14_ieee__patch_02__4-9.json	103	3	3f6707547234589bad43ea6e46496286061266a509a14fbfd857b917e0423ff7
pglib_case14_ieee	pglib_case14_ieee__pglib_case14_ieee__patch_03__14-9.json	103	3	2b92708cda626e5a108b1de1035694819c49efc8911095d9cb8e0bf42aa10506
pglib_case14_ieee	pglib_case14_ieee__pglib_case14_ieee__patch_04__13-14.json	103	3	58b645d5e31ccd3118312dade9f4583c782e4c24e3b7fd678326d136608d547f
pglib_case14_ieee	pglib_case14_ieee__pglib_case14_ieee__patch_05__13-6.json	103	3	5fd6f1de34a9c63006a3f2575efca6fe34b4ac7f2e78122e498daf54f8d938fc
pglib_case14_ieee	pglib_case14_ieee__pglib_case14_ieee__patch_06__10-9.json	103	3	7dc6197136bb5474fc7b5e0ef859bf30a739b2bee078a1fb0290dbb17415c430
pglib_case14_ieee	pglib_case14_ieee__pglib_case14_ieee__patch_07__4-5.json	103	3	f7a01185288482db710412778a42e0541e60d3458a8d8d280643f818c5fe194f
pglib_case14_ieee	pglib_case14_ieee__pglib_case14_ieee__patch_08__12-13.json	103	3	f6a8d0914b2a9200285e58be8fbde9e5710af7cf01d1d3292f743fbdbe0e1b65
pglib_case14_ieee	pglib_case14_ieee__pglib_case14_ieee__patch_09__11-6.json	103	3	dec15bfd776e515fe1b9ac63ee4f69deeb201b0d66cc53a2a519982fbc431096
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_01__5-7.json	103	3	64b2f5111c558eb0c5d409ad036e147f3542f10cef1fa026395a4c6095b63f77
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_02__6-8.json	103	3	59f126915abeca7ca7df468b06ce001839dd7f6e57d1107b9cc94088710159c0
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_03__10-21.json	103	3	0ab17b32df1b9c4103d8e6ff9f8570d013e1ee046ee807316e8e0261e7d80f19
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_04__12-15.json	103	3	6f59139aa2146d067823106016beaebca8d8a6b077d661462c3d9244132ddb33
pglib_case30_ieee	pglib_case30_ieee__pglib_case30_ieee__patch_05__29-30.json	103	3	2b35c7d6860293e6bf073df99f4f7f8b649ba256c1c6e6dfec4856ace558ab0e
