benchmark,dataset,payload_name,scenario,patch,sample_count,energy_selector_critical_ENS,challenge_selector_critical_ENS,critical_ENS_delta_challenge_minus_energy,challenge_improves_critical_ENS,energy_selector_max_customers_unserved,challenge_selector_max_customers_unserved,max_customers_unserved_delta_challenge_minus_energy,challenge_reduces_max_customers_unserved,energy_selector_infra_hours,challenge_selector_infra_hours,infra_hours_delta_challenge_minus_energy,energy_selector_critical_load_served,challenge_selector_critical_load_served,critical_load_served_delta_challenge_minus_energy,energy_selector_risk_adjusted_cost,challenge_selector_risk_adjusted_cost,risk_adjusted_cost_delta_challenge_minus_energy,best_selector_still_fails,best_selector_failure_reasons
final_public_experiment,arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_01__320-321.json,scenario_coupled_8,arpae_go_network_01o_020__patch_01__320-321,30,360459.0,0.0,-360459.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,387591872.470064,387591872.470064,False,
final_public_experiment,arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_02__21-22.json,scenario_coupled_8,arpae_go_network_01o_020__patch_02__21-22,30,356328.0,0.0,-356328.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,354118470.4945017,354118470.4945017,False,
final_public_experiment,arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_03__3-4.json,scenario_coupled_8,arpae_go_network_01o_020__patch_03__3-4,30,317961.0,0.0,-317961.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,117687964.80000001,117687964.80000001,False,
final_public_experiment,arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_04__228-474.json,scenario_coupled_8,arpae_go_network_01o_020__patch_04__228-474,30,300213.0,0.0,-300213.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,308131159.78202343,308131159.78202343,False,
final_public_experiment,arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_05__485-499.json,scenario_coupled_8,arpae_go_network_01o_020__patch_05__485-499,30,359934.0,0.0,-359934.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,367480830.84271055,367480830.84271055,False,
final_public_experiment,arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_06__326-327.json,scenario_coupled_8,arpae_go_network_01o_020__patch_06__326-327,30,290115.0,0.0,-290115.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,178794436.1988839,178794436.1988839,False,
final_public_experiment,arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_07__263-491.json,scenario_coupled_8,arpae_go_network_01o_020__patch_07__263-491,30,286428.0,0.0,-286428.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,310333035.88885224,310333035.88885224,False,
final_public_experiment,arpae_go_network_01o_020,arpae_go_network_01o_020__arpae_go_network_01o_020__patch_08__141-142.json,scenario_coupled_8,arpae_go_network_01o_020__patch_08__141-142,30,263517.0,0.0,-263517.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,267635431.23049828,267635431.23049828,False,
final_public_experiment,ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,scenario_coupled_8,ieee123_opendss__patch_01__76-77-86,30,915.0,0.0,-915.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,338672.0,338672.0,False,
final_public_experiment,ieee123_opendss,ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,scenario_coupled_8,ieee123_opendss__patch_02__47-48-49,30,1365.0,0.0,-1365.0,True,1.0,0.0,-1.0,True,3.0,0.0,-3.0,0.625,1.0,0.375,0.0,505232.00000000006,505232.00000000006,False,
