benchmark,consensus_replicate,converged,convergence_tolerance,dual_residual,final_status,iteration,iteration_count,maximum_iterations,method,primal_residual,raw_conflict_count,rho,unresolved_conflict_count
arpae_go_network_01o_020,baseline_repeat_000,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_001,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_002,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_003,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_004,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_005,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_006,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_007,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_008,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_009,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_010,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_011,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_012,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_013,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_014,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_015,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_016,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
arpae_go_network_01o_020,baseline_repeat_017,True,1e-06,0.0,completed,1,1,200,CMPO-local polynomial search,0.0,0,1.0,0
