capacitance_matrix,enabled,from_bus,in_service,is_switch,length,linecode_id,name,normal_amps,phases,reactance_matrix,resistance_matrix,source_record,to_bus,units
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""149"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""149""}",True,False,0.4,1,L115,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=50: line.L115,"{""bus_id"": ""1"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""1""}",kft
[[2.270366128]],True,"{""bus_id"": ""1"", ""phases"": [""2""], ""raw_bus"": ""1.2""}",True,False,0.175,10,L1,,"[""2""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=52: line.L1,"{""bus_id"": ""2"", ""phases"": [""2""], ""raw_bus"": ""2.2""}",kft
[[2.270366128]],True,"{""bus_id"": ""1"", ""phases"": [""3""], ""raw_bus"": ""1.3""}",True,False,0.25,11,L2,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=53: line.L2,"{""bus_id"": ""3"", ""phases"": [""3""], ""raw_bus"": ""3.3""}",kft
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""1"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""1.1.2.3""}",True,False,0.3,1,L3,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=54: line.L3,"{""bus_id"": ""7"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""7.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""3"", ""phases"": [""3""], ""raw_bus"": ""3.3""}",True,False,0.2,11,L4,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=55: line.L4,"{""bus_id"": ""4"", ""phases"": [""3""], ""raw_bus"": ""4.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""3"", ""phases"": [""3""], ""raw_bus"": ""3.3""}",True,False,0.325,11,L5,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=56: line.L5,"{""bus_id"": ""5"", ""phases"": [""3""], ""raw_bus"": ""5.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""5"", ""phases"": [""3""], ""raw_bus"": ""5.3""}",True,False,0.25,11,L6,,"[""3""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=57: line.L6,"{""bus_id"": ""6"", ""phases"": [""3""], ""raw_bus"": ""6.3""}",kft
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",True,"{""bus_id"": ""7"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""7.1.2.3""}",True,False,0.2,1,L7,,"[""1"", ""2"", ""3""]","[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEE123Master.dss line=58: line.L7,"{""bus_id"": ""8"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""8.1.2.3""}",kft
[[2.270366128]],True,"{""bus_id"": ""8"", ""phases"": [""2""], ""raw_bus"": ""8.2""}",True,False,0.225,10,L8,,"[""2""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=59: line.L8,"{""bus_id"": ""12"", ""phases"": [""2""], ""raw_bus"": ""12.2""}",kft
[[2.270366128]],True,"{""bus_id"": ""8"", ""phases"": [""1""], ""raw_bus"": ""8.1""}",True,False,0.225,9,L9,,"[""1""]",[[0.255208333]],[[0.251742424]],IEEE123Master.dss line=60: line.L9,"{""bus_id"": ""9"", ""phases"": [""1""], ""raw_bus"": ""9.1""}",kft
