active_power_kw,bus,connection,declared_phase_count,model,name,nominal_kv,reactive_power_kvar,source_record
40.0,"{""bus_id"": ""1"", ""phases"": [""1""], ""raw_bus"": ""1.1""}",Wye,1,1,S1a,2.4,20.0,IEEE123Loads.DSS line=10: load.S1a
20.0,"{""bus_id"": ""2"", ""phases"": [""2""], ""raw_bus"": ""2.2""}",Wye,1,1,S2b,2.4,10.0,IEEE123Loads.DSS line=11: load.S2b
40.0,"{""bus_id"": ""4"", ""phases"": [""3""], ""raw_bus"": ""4.3""}",Wye,1,1,S4c,2.4,20.0,IEEE123Loads.DSS line=12: load.S4c
20.0,"{""bus_id"": ""5"", ""phases"": [""3""], ""raw_bus"": ""5.3""}",Wye,1,5,S5c,2.4,10.0,IEEE123Loads.DSS line=13: load.S5c
40.0,"{""bus_id"": ""6"", ""phases"": [""3""], ""raw_bus"": ""6.3""}",Wye,1,2,S6c,2.4,20.0,IEEE123Loads.DSS line=14: load.S6c
20.0,"{""bus_id"": ""7"", ""phases"": [""1""], ""raw_bus"": ""7.1""}",Wye,1,1,S7a,2.4,10.0,IEEE123Loads.DSS line=15: load.S7a
40.0,"{""bus_id"": ""9"", ""phases"": [""1""], ""raw_bus"": ""9.1""}",Wye,1,1,S9a,2.4,20.0,IEEE123Loads.DSS line=16: load.S9a
20.0,"{""bus_id"": ""10"", ""phases"": [""1""], ""raw_bus"": ""10.1""}",Wye,1,5,S10a,2.4,10.0,IEEE123Loads.DSS line=17: load.S10a
40.0,"{""bus_id"": ""11"", ""phases"": [""1""], ""raw_bus"": ""11.1""}",Wye,1,2,S11a,2.4,20.0,IEEE123Loads.DSS line=18: load.S11a
20.0,"{""bus_id"": ""12"", ""phases"": [""2""], ""raw_bus"": ""12.2""}",Wye,1,1,S12b,2.4,10.0,IEEE123Loads.DSS line=19: load.S12b
40.0,"{""bus_id"": ""16"", ""phases"": [""3""], ""raw_bus"": ""16.3""}",Wye,1,1,S16c,2.4,20.0,IEEE123Loads.DSS line=20: load.S16c
20.0,"{""bus_id"": ""17"", ""phases"": [""3""], ""raw_bus"": ""17.3""}",Wye,1,1,S17c,2.4,10.0,IEEE123Loads.DSS line=21: load.S17c
40.0,"{""bus_id"": ""19"", ""phases"": [""1""], ""raw_bus"": ""19.1""}",Wye,1,1,S19a,2.4,20.0,IEEE123Loads.DSS line=22: load.S19a
40.0,"{""bus_id"": ""20"", ""phases"": [""1""], ""raw_bus"": ""20.1""}",Wye,1,5,S20a,2.4,20.0,IEEE123Loads.DSS line=23: load.S20a
40.0,"{""bus_id"": ""22"", ""phases"": [""2""], ""raw_bus"": ""22.2""}",Wye,1,2,S22b,2.4,20.0,IEEE123Loads.DSS line=24: load.S22b
40.0,"{""bus_id"": ""24"", ""phases"": [""3""], ""raw_bus"": ""24.3""}",Wye,1,1,S24c,2.4,20.0,IEEE123Loads.DSS line=25: load.S24c
40.0,"{""bus_id"": ""28"", ""phases"": [""1""], ""raw_bus"": ""28.1""}",Wye,1,5,S28a,2.4,20.0,IEEE123Loads.DSS line=26: load.S28a
40.0,"{""bus_id"": ""29"", ""phases"": [""1""], ""raw_bus"": ""29.1""}",Wye,1,2,S29a,2.4,20.0,IEEE123Loads.DSS line=27: load.S29a
40.0,"{""bus_id"": ""30"", ""phases"": [""3""], ""raw_bus"": ""30.3""}",Wye,1,1,S30c,2.4,20.0,IEEE123Loads.DSS line=28: load.S30c
20.0,"{""bus_id"": ""31"", ""phases"": [""3""], ""raw_bus"": ""31.3""}",Wye,1,1,S31c,2.4,10.0,IEEE123Loads.DSS line=29: load.S31c
20.0,"{""bus_id"": ""32"", ""phases"": [""3""], ""raw_bus"": ""32.3""}",Wye,1,1,S32c,2.4,10.0,IEEE123Loads.DSS line=30: load.S32c
40.0,"{""bus_id"": ""33"", ""phases"": [""1""], ""raw_bus"": ""33.1""}",Wye,1,5,S33a,2.4,20.0,IEEE123Loads.DSS line=31: load.S33a
40.0,"{""bus_id"": ""34"", ""phases"": [""3""], ""raw_bus"": ""34.3""}",Wye,1,2,S34c,2.4,20.0,IEEE123Loads.DSS line=32: load.S34c
40.0,"{""bus_id"": ""35"", ""phases"": [""1"", ""2""], ""raw_bus"": ""35.1.2""}",Delta,1,1,S35a,4.16,20.0,IEEE123Loads.DSS line=33: load.S35a
40.0,"{""bus_id"": ""37"", ""phases"": [""1""], ""raw_bus"": ""37.1""}",Wye,1,2,S37a,2.4,20.0,IEEE123Loads.DSS line=34: load.S37a
20.0,"{""bus_id"": ""38"", ""phases"": [""2""], ""raw_bus"": ""38.2""}",Wye,1,5,S38b,2.4,10.0,IEEE123Loads.DSS line=35: load.S38b
20.0,"{""bus_id"": ""39"", ""phases"": [""2""], ""raw_bus"": ""39.2""}",Wye,1,1,S39b,2.4,10.0,IEEE123Loads.DSS line=36: load.S39b
20.0,"{""bus_id"": ""41"", ""phases"": [""3""], ""raw_bus"": ""41.3""}",Wye,1,1,S41c,2.4,10.0,IEEE123Loads.DSS line=37: load.S41c
20.0,"{""bus_id"": ""42"", ""phases"": [""1""], ""raw_bus"": ""42.1""}",Wye,1,1,S42a,2.4,10.0,IEEE123Loads.DSS line=38: load.S42a
40.0,"{""bus_id"": ""43"", ""phases"": [""2""], ""raw_bus"": ""43.2""}",Wye,1,2,S43b,2.4,20.0,IEEE123Loads.DSS line=39: load.S43b
20.0,"{""bus_id"": ""45"", ""phases"": [""1""], ""raw_bus"": ""45.1""}",Wye,1,5,S45a,2.4,10.0,IEEE123Loads.DSS line=40: load.S45a
20.0,"{""bus_id"": ""46"", ""phases"": [""1""], ""raw_bus"": ""46.1""}",Wye,1,1,S46a,2.4,10.0,IEEE123Loads.DSS line=41: load.S46a
105.0,"{""bus_id"": ""47"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""47""}",Wye,3,5,S47,4.16,75.0,IEEE123Loads.DSS line=42: load.S47
210.0,"{""bus_id"": ""48"", ""phases"": [""1"", ""2"", ""3""], ""raw_bus"": ""48""}",Wye,3,2,S48,4.16,150.0,IEEE123Loads.DSS line=43: load.S48
35.0,"{""bus_id"": ""49"", ""phases"": [""1""], ""raw_bus"": ""49.1""}",Wye,1,1,S49a,2.4,25.0,IEEE123Loads.DSS line=44: load.S49a
70.0,"{""bus_id"": ""49"", ""phases"": [""2""], ""raw_bus"": ""49.2""}",Wye,1,1,S49b,2.4,50.0,IEEE123Loads.DSS line=45: load.S49b
35.0,"{""bus_id"": ""49"", ""phases"": [""3""], ""raw_bus"": ""49.3""}",Wye,1,1,S49c,2.4,20.0,IEEE123Loads.DSS line=46: load.S49c
40.0,"{""bus_id"": ""50"", ""phases"": [""3""], ""raw_bus"": ""50.3""}",Wye,1,1,S50c,2.4,20.0,IEEE123Loads.DSS line=47: load.S50c
20.0,"{""bus_id"": ""51"", ""phases"": [""1""], ""raw_bus"": ""51.1""}",Wye,1,1,S51a,2.4,10.0,IEEE123Loads.DSS line=48: load.S51a
40.0,"{""bus_id"": ""52"", ""phases"": [""1""], ""raw_bus"": ""52.1""}",Wye,1,1,S52a,2.4,20.0,IEEE123Loads.DSS line=49: load.S52a
40.0,"{""bus_id"": ""53"", ""phases"": [""1""], ""raw_bus"": ""53.1""}",Wye,1,1,S53a,2.4,20.0,IEEE123Loads.DSS line=50: load.S53a
20.0,"{""bus_id"": ""55"", ""phases"": [""1""], ""raw_bus"": ""55.1""}",Wye,1,2,S55a,2.4,10.0,IEEE123Loads.DSS line=51: load.S55a
20.0,"{""bus_id"": ""56"", ""phases"": [""2""], ""raw_bus"": ""56.2""}",Wye,1,1,S56b,2.4,10.0,IEEE123Loads.DSS line=52: load.S56b
20.0,"{""bus_id"": ""58"", ""phases"": [""2""], ""raw_bus"": ""58.2""}",Wye,1,5,S58b,2.4,10.0,IEEE123Loads.DSS line=53: load.S58b
20.0,"{""bus_id"": ""59"", ""phases"": [""2""], ""raw_bus"": ""59.2""}",Wye,1,1,S59b,2.4,10.0,IEEE123Loads.DSS line=54: load.S59b
20.0,"{""bus_id"": ""60"", ""phases"": [""1""], ""raw_bus"": ""60.1""}",Wye,1,1,S60a,2.4,10.0,IEEE123Loads.DSS line=55: load.S60a
40.0,"{""bus_id"": ""62"", ""phases"": [""3""], ""raw_bus"": ""62.3""}",Wye,1,2,S62c,2.4,20.0,IEEE123Loads.DSS line=56: load.S62c
40.0,"{""bus_id"": ""63"", ""phases"": [""1""], ""raw_bus"": ""63.1""}",Wye,1,1,S63a,2.4,20.0,IEEE123Loads.DSS line=57: load.S63a
75.0,"{""bus_id"": ""64"", ""phases"": [""2""], ""raw_bus"": ""64.2""}",Wye,1,5,S64b,2.4,35.0,IEEE123Loads.DSS line=58: load.S64b
35.0,"{""bus_id"": ""65"", ""phases"": [""1"", ""2""], ""raw_bus"": ""65.1.2""}",Delta,1,2,S65a,4.16,25.0,IEEE123Loads.DSS line=59: load.S65a
35.0,"{""bus_id"": ""65"", ""phases"": [""2"", ""3""], ""raw_bus"": ""65.2.3""}",Delta,1,2,S65b,4.16,25.0,IEEE123Loads.DSS line=60: load.S65b
70.0,"{""bus_id"": ""65"", ""phases"": [""3"", ""1""], ""raw_bus"": ""65.3.1""}",Delta,1,2,S65c,4.16,50.0,IEEE123Loads.DSS line=61: load.S65c
75.0,"{""bus_id"": ""66"", ""phases"": [""3""], ""raw_bus"": ""66.3""}",Wye,1,1,S66c,2.4,35.0,IEEE123Loads.DSS line=62: load.S66c
20.0,"{""bus_id"": ""68"", ""phases"": [""1""], ""raw_bus"": ""68.1""}",Wye,1,1,S68a,2.4,10.0,IEEE123Loads.DSS line=63: load.S68a
40.0,"{""bus_id"": ""69"", ""phases"": [""1""], ""raw_bus"": ""69.1""}",Wye,1,1,S69a,2.4,20.0,IEEE123Loads.DSS line=64: load.S69a
20.0,"{""bus_id"": ""70"", ""phases"": [""1""], ""raw_bus"": ""70.1""}",Wye,1,1,S70a,2.4,10.0,IEEE123Loads.DSS line=65: load.S70a
40.0,"{""bus_id"": ""71"", ""phases"": [""1""], ""raw_bus"": ""71.1""}",Wye,1,1,S71a,2.4,20.0,IEEE123Loads.DSS line=66: load.S71a
40.0,"{""bus_id"": ""73"", ""phases"": [""3""], ""raw_bus"": ""73.3""}",Wye,1,1,S73c,2.4,20.0,IEEE123Loads.DSS line=67: load.S73c
40.0,"{""bus_id"": ""74"", ""phases"": [""3""], ""raw_bus"": ""74.3""}",Wye,1,2,S74c,2.4,20.0,IEEE123Loads.DSS line=68: load.S74c
40.0,"{""bus_id"": ""75"", ""phases"": [""3""], ""raw_bus"": ""75.3""}",Wye,1,1,S75c,2.4,20.0,IEEE123Loads.DSS line=69: load.S75c
105.0,"{""bus_id"": ""76"", ""phases"": [""1"", ""2""], ""raw_bus"": ""76.1.2""}",Delta,1,5,S76a,4.16,80.0,IEEE123Loads.DSS line=70: load.S76a
70.0,"{""bus_id"": ""76"", ""phases"": [""2"", ""3""], ""raw_bus"": ""76.2.3""}",Delta,1,5,S76b,4.16,50.0,IEEE123Loads.DSS line=71: load.S76b
70.0,"{""bus_id"": ""76"", ""phases"": [""3"", ""1""], ""raw_bus"": ""76.3.1""}",Delta,1,5,S76c,4.16,50.0,IEEE123Loads.DSS line=72: load.S76c
40.0,"{""bus_id"": ""77"", ""phases"": [""2""], ""raw_bus"": ""77.2""}",Wye,1,1,S77b,2.4,20.0,IEEE123Loads.DSS line=73: load.S77b
40.0,"{""bus_id"": ""79"", ""phases"": [""1""], ""raw_bus"": ""79.1""}",Wye,1,2,S79a,2.4,20.0,IEEE123Loads.DSS line=74: load.S79a
40.0,"{""bus_id"": ""80"", ""phases"": [""2""], ""raw_bus"": ""80.2""}",Wye,1,1,S80b,2.4,20.0,IEEE123Loads.DSS line=75: load.S80b
40.0,"{""bus_id"": ""82"", ""phases"": [""1""], ""raw_bus"": ""82.1""}",Wye,1,1,S82a,2.4,20.0,IEEE123Loads.DSS line=76: load.S82a
20.0,"{""bus_id"": ""83"", ""phases"": [""3""], ""raw_bus"": ""83.3""}",Wye,1,1,S83c,2.4,10.0,IEEE123Loads.DSS line=77: load.S83c
20.0,"{""bus_id"": ""84"", ""phases"": [""3""], ""raw_bus"": ""84.3""}",Wye,1,1,S84c,2.4,10.0,IEEE123Loads.DSS line=78: load.S84c
40.0,"{""bus_id"": ""85"", ""phases"": [""3""], ""raw_bus"": ""85.3""}",Wye,1,1,S85c,2.4,20.0,IEEE123Loads.DSS line=79: load.S85c
20.0,"{""bus_id"": ""86"", ""phases"": [""2""], ""raw_bus"": ""86.2""}",Wye,1,1,S86b,2.4,10.0,IEEE123Loads.DSS line=80: load.S86b
40.0,"{""bus_id"": ""87"", ""phases"": [""2""], ""raw_bus"": ""87.2""}",Wye,1,1,S87b,2.4,20.0,IEEE123Loads.DSS line=81: load.S87b
40.0,"{""bus_id"": ""88"", ""phases"": [""1""], ""raw_bus"": ""88.1""}",Wye,1,1,S88a,2.4,20.0,IEEE123Loads.DSS line=82: load.S88a
40.0,"{""bus_id"": ""90"", ""phases"": [""2""], ""raw_bus"": ""90.2""}",Wye,1,5,S90b,2.4,20.0,IEEE123Loads.DSS line=83: load.S90b
40.0,"{""bus_id"": ""92"", ""phases"": [""3""], ""raw_bus"": ""92.3""}",Wye,1,1,S92c,2.4,20.0,IEEE123Loads.DSS line=84: load.S92c
