capacitance_matrix,code_id,phase_count,reactance_matrix,resistance_matrix,source_record,units
"[[2.851710072, -0.920293787, -0.350755566], [-0.920293787, 3.004631862, -0.585011253], [-0.350755566, -0.585011253, 2.71134756]]",1,3,"[[0.204166667, 0.095018939, 0.072897727], [0.095018939, 0.198522727, 0.080227273], [0.072897727, 0.080227273, 0.201723485]]","[[0.086666667, 0.029545455, 0.02907197], [0.029545455, 0.088371212, 0.029924242], [0.02907197, 0.029924242, 0.087405303]]",IEEELineCodes.DSS line=7: linecode.1,kft
"[[3.004631862, -0.585011253, -0.920293787], [-0.585011253, 2.71134756, -0.350755566], [-0.920293787, -0.350755566, 2.851710072]]",2,3,"[[0.198522727, 0.080227273, 0.095018939], [0.080227273, 0.201723485, 0.072897727], [0.095018939, 0.072897727, 0.204166667]]","[[0.088371212, 0.02992424, 0.029545455], [0.02992424, 0.087405303, 0.02907197], [0.029545455, 0.02907197, 0.086666667]]",IEEELineCodes.DSS line=15: linecode.2,kft
"[[2.71134756, -0.350755566, -0.585011253], [-0.350755566, 2.851710072, -0.920293787], [-0.585011253, -0.920293787, 3.004631862]]",3,3,"[[0.201723485, 0.072897727, 0.080227273], [0.072897727, 0.204166667, 0.095018939], [0.080227273, 0.095018939, 0.198522727]]","[[0.087405303, 0.02907197, 0.029924242], [0.02907197, 0.086666667, 0.029545455], [0.029924242, 0.029545455, 0.088371212]]",IEEELineCodes.DSS line=23: linecode.3,kft
"[[2.71134756, -0.585011253, -0.350755566], [-0.585011253, 3.004631862, -0.920293787], [-0.350755566, -0.920293787, 2.851710072]]",4,3,"[[0.201723485, 0.080227273, 0.072897727], [0.080227273, 0.198522727, 0.095018939], [0.072897727, 0.095018939, 0.204166667]]","[[0.087405303, 0.029924242, 0.02907197], [0.029924242, 0.088371212, 0.029545455], [0.02907197, 0.029545455, 0.086666667]]",IEEELineCodes.DSS line=32: linecode.4,kft
"[[3.004631862, -0.920293787, -0.585011253], [-0.920293787, 2.851710072, -0.350755566], [-0.585011253, -0.350755566, 2.71134756]]",5,3,"[[0.198522727, 0.095018939, 0.080227273], [0.095018939, 0.204166667, 0.072897727], [0.080227273, 0.072897727, 0.201723485]]","[[0.088371212, 0.029545455, 0.029924242], [0.029545455, 0.086666667, 0.02907197], [0.029924242, 0.02907197, 0.087405303]]",IEEELineCodes.DSS line=40: linecode.5,kft
"[[2.851710072, -0.350755566, -0.920293787], [-0.350755566, 2.71134756, -0.585011253], [-0.920293787, -0.585011253, 3.004631862]]",6,3,"[[0.204166667, 0.072897727, 0.095018939], [0.072897727, 0.201723485, 0.080227273], [0.095018939, 0.080227273, 0.198522727]]","[[0.086666667, 0.02907197, 0.029545455], [0.02907197, 0.087405303, 0.029924242], [0.029545455, 0.029924242, 0.088371212]]",IEEELineCodes.DSS line=49: linecode.6,kft
"[[2.569829596, -0.52995137], [-0.52995137, 2.597460011]]",7,2,"[[0.204166667, 0.072897727], [0.072897727, 0.201723485]]","[[0.086666667, 0.02907197], [0.02907197, 0.087405303]]",IEEELineCodes.DSS line=56: linecode.7,kft
"[[2.569829596, -0.52995137], [-0.52995137, 2.597460011]]",8,2,"[[0.204166667, 0.072897727], [0.072897727, 0.201723485]]","[[0.086666667, 0.02907197], [0.02907197, 0.087405303]]",IEEELineCodes.DSS line=63: linecode.8,kft
[[2.270366128]],9,1,[[0.255208333]],[[0.251742424]],IEEELineCodes.DSS line=70: linecode.9,kft
[[2.270366128]],10,1,[[0.255208333]],[[0.251742424]],IEEELineCodes.DSS line=77: linecode.10,kft
[[2.270366128]],11,1,[[0.255208333]],[[0.251742424]],IEEELineCodes.DSS line=84: linecode.11,kft
"[[33.77150149, 0.0, 0.0], [0.0, 33.77150149, 0.0], [0.0, 0.0, 33.77150149]]",12,3,"[[0.142443182, 0.052556818, 0.040852273], [0.052556818, 0.135643939, 0.052556818], [0.040852273, 0.052556818, 0.142443182]]","[[0.288049242, 0.09844697, 0.093257576], [0.09844697, 0.29032197, 0.09844697], [0.093257576, 0.09844697, 0.288049242]]",IEEELineCodes.DSS line=91: linecode.12,kft
"[[2.680150309, -0.769281006, -0.499507676], [-0.769281006, 2.5610381, -0.312072984], [-0.499507676, -0.312072984, 2.455590387]]",300,3,"[[0.252708333, 0.109450758, 0.094981061], [0.109450758, 0.256988636, 0.086950758], [0.094981061, 0.086950758, 0.255132576]]","[[0.253181818, 0.039791667, 0.040340909], [0.039791667, 0.250719697, 0.039128788], [0.040340909, 0.039128788, 0.251780303]]",IEEELineCodes.DSS line=101: linecode.300,kft
"[[2.572492163, -0.72160598, -0.472329395], [-0.72160598, 2.464381882, -0.298961096], [-0.472329395, -0.298961096, 2.368881119]]",301,3,"[[0.267329545, 0.122007576, 0.107784091], [0.122007576, 0.270473485, 0.099204545], [0.107784091, 0.099204545, 0.269109848]]","[[0.365530303, 0.04407197, 0.04467803], [0.04407197, 0.36282197, 0.043333333], [0.04467803, 0.043333333, 0.363996212]]",IEEELineCodes.DSS line=105: linecode.301,kft
[[2.12257]],302,1,[[0.281345]],[[0.530208]],IEEELineCodes.DSS line=109: linecode.302,kft
[[2.12257]],303,1,[[0.281345]],[[0.530208]],IEEELineCodes.DSS line=113: linecode.303,kft
[[2.1922]],304,1,[[0.269167]],[[0.363958]],IEEELineCodes.DSS line=117: linecode.304,kft
