boundary_edge_ids,existing_generation_kw,islanded_deficit_kw,load_kw,node_ids,patch_id,selection_rule
"[""line_L73"", ""line_L78"", ""line_L86""]",0.0,305.0,305.0,"[""76"", ""77"", ""86""]",ieee123_opendss__patch_01__76-77-86,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L45"", ""line_L49""]",0.0,455.0,455.0,"[""47"", ""48"", ""49""]",ieee123_opendss__patch_02__47-48-49,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L63""]",0.0,290.0,290.0,"[""64"", ""65"", ""66""]",ieee123_opendss__patch_03__64-65-66,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L96"", ""line_L99""]",0.0,120.0,120.0,"[""100"", ""98"", ""99""]",ieee123_opendss__patch_04__100-98-99,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L72""]",0.0,120.0,120.0,"[""73"", ""74"", ""75""]",ieee123_opendss__patch_05__73-74-75,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L2"", ""line_L4""]",0.0,60.0,60.0,"[""3"", ""5"", ""6""]",ieee123_opendss__patch_06__3-5-6,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L62"", ""line_L65""]",0.0,255.0,255.0,"[""63"", ""64"", ""65""]",ieee123_opendss__patch_07__63-64-65,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L69""]",0.0,100.0,100.0,"[""69"", ""70"", ""71""]",ieee123_opendss__patch_08__69-70-71,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L111""]",0.0,80.0,80.0,"[""112"", ""113"", ""114""]",ieee123_opendss__patch_09__112-113-114,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L26"", ""line_L32""]",0.0,120.0,120.0,"[""28"", ""29"", ""30""]",ieee123_opendss__patch_10__28-29-30,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L12"", ""line_L17""]",0.0,80.0,80.0,"[""15"", ""16"", ""34""]",ieee123_opendss__patch_11__15-16-34,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
"[""line_L77"", ""line_L88""]",0.0,100.0,100.0,"[""86"", ""87"", ""88""]",ieee123_opendss__patch_12__86-87-88,highest public nominal active-load deficit anchor; expand through in-service public topology; SHA-256 seed=123 used only for deterministic tie-breaking
