benchmark,construction_rule,existing_generation_available,forced_islanding,load_requirement_kw,name,patch_id,payload_name,pcc_available,pv_available,restoration_mode,shared_first_stage_variables,source_contingency
ieee123_opendss,Published nominal active load and all listed components in service.,True,False,305.0,normal,ieee123_opendss__patch_01__76-77-86,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,True,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",none
ieee123_opendss,Candidate PV availability is set to its exact lower bound zero; no weather multiplier is invented.,True,False,305.0,renewable_shortfall,ieee123_opendss__patch_01__76-77-86,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,True,False,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",candidate_pv_binary_availability_lower_bound
ieee123_opendss,The full published nominal patch load is treated as simultaneously non-sheddable; no load multiplier or synthetic profile is added.,True,False,305.0,demand_surge,ieee123_opendss__patch_01__76-77-86,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,True,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",published_peak_patch_load=305_kw
ieee123_opendss,Deterministic loss of the lexicographically first public patch-boundary/PCC supply indicator.,True,True,305.0,pcc_loss,ieee123_opendss__patch_01__76-77-86,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,False,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",line_L73
ieee123_opendss,Published generator contingency when available; otherwise the patch's zero native generation is retained.,False,False,305.0,local_generator_loss,ieee123_opendss__patch_01__76-77-86,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,True,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",no_local_public_generator
ieee123_opendss,"All public boundary branches are unavailable, yielding a deterministic island.",True,True,305.0,forced_islanding,ieee123_opendss__patch_01__76-77-86,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,False,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]","line_L73,line_L78,line_L86"
ieee123_opendss,The lexicographically first public N-1 boundary outage is returned to service in restoration mode.,True,False,305.0,restoration,ieee123_opendss__patch_01__76-77-86,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,True,True,True,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",deterministic_n_1_line_L115
ieee123_opendss,"PCC loss, candidate-PV lower-bound availability, and published generator N-1 are combined.",False,True,305.0,combined_high_stress,ieee123_opendss__patch_01__76-77-86,ieee123_opendss__ieee123_opendss__patch_01__76-77-86.json,False,False,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]","line_L73,line_L78,line_L86"
ieee123_opendss,Published nominal active load and all listed components in service.,True,False,455.0,normal,ieee123_opendss__patch_02__47-48-49,ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,True,True,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",none
ieee123_opendss,Candidate PV availability is set to its exact lower bound zero; no weather multiplier is invented.,True,False,455.0,renewable_shortfall,ieee123_opendss__patch_02__47-48-49,ieee123_opendss__ieee123_opendss__patch_02__47-48-49.json,True,False,False,"[""upgrade_select_pv"", ""upgrade_select_bess"", ""upgrade_select_dispatchable"", ""pv_capacity_fraction"", ""bess_energy_fraction"", ""bess_power_fraction"", ""dispatchable_capacity_fraction"", ""islanding_eligibility"", ""base_mode_connected"", ""base_mode_islanded"", ""base_mode_restoration"", ""bess_reserve_target"", ""bess_soc_target"", ""critical_load_priority"", ""tie_pcc_reserve_target""]",candidate_pv_binary_availability_lower_bound
