benchmark,config_path,license,local_path,local_sha256,sha256,source_name,source_role,source_url,transformation,version
pglib_case14_ieee,configs/phase3_sc_cmpo_case14.yaml,Creative Commons Attribution 4.0 International,data/upstream/pglib-opf/v23.07/pglib_opf_case14_ieee.m,bd5c568621de65e4b0922317010868bc7fa94173807faa10ea8fdbbe77c28106,bd5c568621de65e4b0922317010868bc7fa94173807faa10ea8fdbbe77c28106,pglib_case14_ieee,grid_topology_load_generation,https://raw.githubusercontent.com/power-grid-lib/pglib-opf/v23.07/pglib_opf_case14_ieee.m,"Parse MATPOWER buses, active loads, generators, generator limits/cost rows, and branches; convert only active MW load/generation values to kW; retain MVA branch ratings as provenance rather than assuming a power factor; form connected load-deficit islands and deterministic N-1 outages. Treat all selected-island active load as critical instead of inventing a critical-load fraction. No Phase 2 DER overlay is reused.",v23.07 commit dc6be4b2f85ca0e776952ec22cbd4c22396ea5a3
pglib_case14_ieee,configs/phase3_sc_cmpo_case14.yaml,Creative Commons Attribution 4.0,data/upstream/nrel-atb/ATBe_2024_v3_selected_costs.csv,1c18aaf4d16374be5dd371cdbcb8d1fa9e92811b18047556a29136a4d40adae8,beb07e64aa4d43a9388fc75d19912bc13e1a30e0effa8bd593c0a3e5bba59302,NREL 2024 Electricity ATB selected SC-CMPO upgrade costs,upgrade_costs,https://oedi-data-lake.s3.amazonaws.com/ATB/electricity/csv/2024/v3.0.0/ATBe.csv,Keep only three explicitly identified OCC rows needed by SC-CMPO. The BESS energy cost is the exact four-hour OCC divided by four; no interpolation or sampled cost is used.,"2024 ATB v3.0.0, corrected 2025-04-02"
pglib_case30_ieee,configs/phase3_sc_cmpo_case30.yaml,Creative Commons Attribution 4.0 International,data/upstream/pglib-opf/v23.07/pglib_opf_case30_ieee.m,cae3290639d989731d32428aacf30c0b918bc91db73bc54791f3aa62d3f76c70,cae3290639d989731d32428aacf30c0b918bc91db73bc54791f3aa62d3f76c70,pglib_case30_ieee,grid_topology_load_generation,https://raw.githubusercontent.com/power-grid-lib/pglib-opf/v23.07/pglib_opf_case30_ieee.m,"Parse MATPOWER buses, active loads, generators, generator limits/cost rows, and branches; convert only active MW load/generation values to kW; retain MVA branch ratings as provenance rather than assuming a power factor; form connected load-deficit islands and deterministic N-1 outages. Treat all selected-island active load as critical instead of inventing a critical-load fraction. No Phase 2 DER overlay is reused.",v23.07 commit dc6be4b2f85ca0e776952ec22cbd4c22396ea5a3
pglib_case30_ieee,configs/phase3_sc_cmpo_case30.yaml,Creative Commons Attribution 4.0,data/upstream/nrel-atb/ATBe_2024_v3_selected_costs.csv,1c18aaf4d16374be5dd371cdbcb8d1fa9e92811b18047556a29136a4d40adae8,beb07e64aa4d43a9388fc75d19912bc13e1a30e0effa8bd593c0a3e5bba59302,NREL 2024 Electricity ATB selected SC-CMPO upgrade costs,upgrade_costs,https://oedi-data-lake.s3.amazonaws.com/ATB/electricity/csv/2024/v3.0.0/ATBe.csv,Keep only three explicitly identified OCC rows needed by SC-CMPO. The BESS energy cost is the exact four-hour OCC divided by four; no interpolation or sampled cost is used.,"2024 ATB v3.0.0, corrected 2025-04-02"
arpae_go_network_01o_020,configs/phase3_sc_cmpo_arpae.yaml,Creative Commons Attribution 4.0 via OEDI unless otherwise noted,data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.raw,e25cda2e8a51cc1b5ce0edde5d5230fb6298f3aa017daee9cc6082a24f41bc23,e25cda2e8a51cc1b5ce0edde5d5230fb6298f3aa017daee9cc6082a24f41bc23,arpae_go_network_01o_020,grid_topology_load_generation,https://data.openei.org/files/6153/Challenge_1_Original_Dataset_2_Scenarios.zip,"Parse PSS/E RAW buses, active loads, in-service generator PT limits, branches, two-winding transformers, and published CON outages; convert only active MW load/generation values to kW; retain MVA ratings as provenance rather than assuming a power factor; select connected load-deficit islands. Treat all selected-island active load as critical instead of inventing a critical-load fraction. No synthetic grid values are added.",ARPA-E GO Challenge 1 Original Dataset 2 Offline Edition 2 Network_01O-020 scenario_1 (2019-03-25 public snapshot)
arpae_go_network_01o_020,configs/phase3_sc_cmpo_arpae.yaml,Creative Commons Attribution 4.0 via OEDI unless otherwise noted,data/public_benchmarks/arpae_go/extracted/Challenge_1_Original_Dataset_2_Scenarios/Original_Dataset_Offline_Edition_2/Network_01O-020/scenario_1/case.con,2025cb345d9ef97ffb0bd8669c7816336439efa682599577324bff528eb3ebc4,2025cb345d9ef97ffb0bd8669c7816336439efa682599577324bff528eb3ebc4,case.con,published_contingencies,https://data.openei.org/files/6153/Challenge_1_Original_Dataset_2_Scenarios.zip,"Parse PSS/E RAW buses, active loads, in-service generator PT limits, branches, two-winding transformers, and published CON outages; convert only active MW load/generation values to kW; retain MVA ratings as provenance rather than assuming a power factor; select connected load-deficit islands. Treat all selected-island active load as critical instead of inventing a critical-load fraction. No synthetic grid values are added.",ARPA-E GO Challenge 1 Original Dataset 2 Offline Edition 2 Network_01O-020 scenario_1 (2019-03-25 public snapshot)
arpae_go_network_01o_020,configs/phase3_sc_cmpo_arpae.yaml,Creative Commons Attribution 4.0,data/upstream/nrel-atb/ATBe_2024_v3_selected_costs.csv,1c18aaf4d16374be5dd371cdbcb8d1fa9e92811b18047556a29136a4d40adae8,beb07e64aa4d43a9388fc75d19912bc13e1a30e0effa8bd593c0a3e5bba59302,NREL 2024 Electricity ATB selected SC-CMPO upgrade costs,upgrade_costs,https://oedi-data-lake.s3.amazonaws.com/ATB/electricity/csv/2024/v3.0.0/ATBe.csv,Keep only three explicitly identified OCC rows needed by SC-CMPO. The BESS energy cost is the exact four-hour OCC divided by four; no interpolation or sampled cost is used.,"2024 ATB v3.0.0, corrected 2025-04-02"
ieee123_opendss,configs/phase3_sc_cmpo_ieee123.yaml,EPRI/DSS-Extensions 3-clause redistribution license,data/upstream/ieee123/opendss/IEEE123Master.dss,c92a69d9b218b1b2646ec7911783826229309038e72f16b848304c0457c0a54d,c92a69d9b218b1b2646ec7911783826229309038e72f16b848304c0457c0a54d,ieee123_opendss,grid_topology_load_generation,https://github.com/dss-extensions/electricdss-tst/tree/3b208397160213cae4a9e2d0a7d1aa3528ce26e1/Version8/Distrib/IEEETestCases/123Bus,"Parse OpenDSS New Line, Transformer, regulator, and New Load records; aggregate phase load by bus; preserve listed switch status; and construct deterministic line/transformer N-1 contingencies. Treat all selected-island active load as critical instead of inventing a critical-load fraction. No line rating, DER, or load value is invented.",DSS-Extensions filtered OpenDSS archive commit 3b208397160213cae4a9e2d0a7d1aa3528ce26e1
ieee123_opendss,configs/phase3_sc_cmpo_ieee123.yaml,EPRI/DSS-Extensions 3-clause redistribution license,data/upstream/ieee123/opendss/IEEE123Loads.DSS,fd28f52836205506a1980b52c5a7e12ca585aa626c52a6249502c1c3b2fc2255,fd28f52836205506a1980b52c5a7e12ca585aa626c52a6249502c1c3b2fc2255,IEEE123Loads.DSS,published_feeder_loads,https://github.com/dss-extensions/electricdss-tst/tree/3b208397160213cae4a9e2d0a7d1aa3528ce26e1/Version8/Distrib/IEEETestCases/123Bus,"Parse OpenDSS New Line, Transformer, regulator, and New Load records; aggregate phase load by bus; preserve listed switch status; and construct deterministic line/transformer N-1 contingencies. Treat all selected-island active load as critical instead of inventing a critical-load fraction. No line rating, DER, or load value is invented.",DSS-Extensions filtered OpenDSS archive commit 3b208397160213cae4a9e2d0a7d1aa3528ce26e1
ieee123_opendss,configs/phase3_sc_cmpo_ieee123.yaml,EPRI/DSS-Extensions 3-clause redistribution license,data/upstream/ieee123/opendss/IEEE123Regulators.DSS,cd6ad77980dc018631ce39faab528afce40b0b9a50a6bc1c9ac8049ffb8207d7,cd6ad77980dc018631ce39faab528afce40b0b9a50a6bc1c9ac8049ffb8207d7,IEEE123Regulators.DSS,published_feeder_regulators,https://github.com/dss-extensions/electricdss-tst/tree/3b208397160213cae4a9e2d0a7d1aa3528ce26e1/Version8/Distrib/IEEETestCases/123Bus,"Parse OpenDSS New Line, Transformer, regulator, and New Load records; aggregate phase load by bus; preserve listed switch status; and construct deterministic line/transformer N-1 contingencies. Treat all selected-island active load as critical instead of inventing a critical-load fraction. No line rating, DER, or load value is invented.",DSS-Extensions filtered OpenDSS archive commit 3b208397160213cae4a9e2d0a7d1aa3528ce26e1
