benchmark,capacity_kw,energy_kwh,islanded_deficit_kw,maximum_upgrade_cost,minimum_resilient_upgrade_cost,patch_id,payload_name,power_kw,sizing_rule,source_row,technology,total_cost,unit_cost_per_kw,unit_cost_per_kwh
pglib_case14_ieee,142000.0,0.0,142000.0,625327984.9041677,157676800.0,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,142000.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,194056944.90416765,1366.5982035504765,
pglib_case14_ieee,142000.0,568000.0,142000.0,625327984.9041677,157676800.0,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,142000.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,273594240.0,1926.72,481.68
pglib_case14_ieee,142000.0,0.0,142000.0,625327984.9041677,157676800.0,pglib_case14_ieee__patch_01__3-4,pglib_case14_ieee__pglib_case14_ieee__patch_01__3-4.json,142000.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,157676800.0,1110.4,
pglib_case14_ieee,77300.0,0.0,77300.0,340407417.13445187,85833920.0,pglib_case14_ieee__patch_02__4-9,pglib_case14_ieee__pglib_case14_ieee__patch_02__4-9.json,77300.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,105638041.13445184,1366.5982035504765,
pglib_case14_ieee,77300.0,309200.0,77300.0,340407417.13445187,85833920.0,pglib_case14_ieee__patch_02__4-9,pglib_case14_ieee__pglib_case14_ieee__patch_02__4-9.json,77300.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,148935456.0,1926.72,481.68
pglib_case14_ieee,77300.0,0.0,77300.0,340407417.13445187,85833920.0,pglib_case14_ieee__patch_02__4-9,pglib_case14_ieee__pglib_case14_ieee__patch_02__4-9.json,77300.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,85833920.0,1110.4,
pglib_case14_ieee,44400.0,0.0,44400.0,195525088.23764116,49301760.00000001,pglib_case14_ieee__patch_03__14-9,pglib_case14_ieee__pglib_case14_ieee__patch_03__14-9.json,44400.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,60676960.237641156,1366.5982035504765,
pglib_case14_ieee,44400.0,177600.0,44400.0,195525088.23764116,49301760.00000001,pglib_case14_ieee__patch_03__14-9,pglib_case14_ieee__pglib_case14_ieee__patch_03__14-9.json,44400.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,85546368.0,1926.72,481.68
pglib_case14_ieee,44400.0,0.0,44400.0,195525088.23764116,49301760.00000001,pglib_case14_ieee__patch_03__14-9,pglib_case14_ieee__pglib_case14_ieee__patch_03__14-9.json,44400.0,Dispatchable nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 60391: NaturalGas_FE; NG Combustion Turbine (F-Frame); Moderate; OCC; 2022; value=1110.4,dispatchable_generation,49301760.00000001,1110.4,
pglib_case14_ieee,28400.0,0.0,28400.0,125065596.98083353,31535360.000000004,pglib_case14_ieee__patch_04__13-14,pglib_case14_ieee__pglib_case14_ieee__patch_04__13-14.json,28400.0,PV nameplate upper bound equals the benchmark-derived islanded active-power deficit.,ATBe.csv row 434241: UtilityPV; Class5; Moderate; OCC; 2022; value=1366.5982035504765,pv,38811388.98083353,1366.5982035504765,
pglib_case14_ieee,28400.0,113600.0,28400.0,125065596.98083353,31535360.000000004,pglib_case14_ieee__patch_04__13-14,pglib_case14_ieee__pglib_case14_ieee__patch_04__13-14.json,28400.0,BESS power equals the benchmark deficit and energy equals the published 4-hour duration.,ATBe.csv row 78747: Utility-Scale Battery Storage; 4Hr Battery Storage; Moderate; OCC; 2022; value=1926.72,bess,54718848.0,1926.72,481.68
