dataset,method_name,expected_operating_cost,best_cost_by_method,median_cost_by_method,risk_adjusted_cost,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,critical_load_served_fraction,critical_energy_not_served_kwh,energy_not_served_kwh,feasibility_after_repair,wall_clock_runtime_seconds,median_runtime_seconds,time_to_good_solution,repeat_count,scenario_count
qci_small_synthetic,Piecewise-linear MILP baseline,10869.088110334384,1084.7994303330013,4958.486526305704,16458.092935817454,0.0,0.4204530732871973,8,0.9895045697645307,1139.1074444184121,17148.518904374083,1.0,0.30231087200809204,0.01640941703226415,0.0153801250271499,2,8
qci_small_synthetic,DifferentialEvolutionOptimizer,18108.040979809855,5317.642117610237,9568.122710898831,21976.821666706193,0.0,0.5682209591235549,64,0.7178109035061734,26201.04813192932,71901.3536180617,1.0,0.5966842918423929,0.03739533352199935,0.0321998329600319,2,8
qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,36216.84238218816,14769.63025990368,18345.37296981008,41805.83280628863,0.0,0.4531718423290208,56,0.9773341233111831,2458.641283397053,18283.093630293326,1.0,1.503739874227903,0.09737852046964685,0.0833488339558243,2,8
qci_small_synthetic,SLSQPDispatchOptimizer,36216.84238218816,14769.63025990368,18345.37296981008,41805.83280628863,0.0,0.4531718423290208,56,0.9773341233111831,2458.641283397053,18283.093630293326,1.0,1.4979103759396815,0.0961873125052079,0.0825900830095633,2,8
qci_small_synthetic,Stress-only reserve heuristic baseline,36954.39064153937,9506.064910473258,15550.35793973337,42539.22519225728,0.0,0.5306930425966999,8,0.9864625376000925,1469.2703254941432,56433.123915988144,1.0,0.00056012615095824,3.354198997840285e-05,3.0542025342583656e-05,2,8
qci_small_synthetic,QUBO/quadratized local search baseline,42410.292525434415,13909.275695429033,22031.51638069669,48096.16787706131,0.0,0.509070419250226,16,0.9736560222812778,2857.8730785094767,20042.795307347653,1.0,18.20641366392374,1.1678959999699146,1.0005872909678146,2,8
qci_small_synthetic,CMPO-local polynomial search,42798.95816336386,15242.71417926372,22382.49141831939,48483.87742340602,0.0,0.4516550206357461,16,0.9773358738370731,2458.485325218988,18064.730045833814,1.0,4.798718708916567,0.30069899995578453,0.2594185000052675,2,8
qci_small_synthetic,GPU-parallel random restart baseline,42798.95816336386,15242.71417926372,22382.49141831939,48483.87742340602,0.0,0.4516550206357461,16,0.9773358738370731,2458.485325218988,18064.730045833814,1.0,39.190941040054895,2.4482302500400692,2.099134874995798,2,8
qci_small_synthetic,GreedyCriticalLoadFirst,42798.95816336386,15242.71417926372,22382.49141831939,48483.87742340602,0.0,0.4516550206357461,16,0.9773358738370731,2458.485325218988,18064.730045833814,1.0,0.0,0.0,0.0,2,8
qci_small_synthetic,qBraid GPU-parallel random restart baseline,1069973.9540840965,15242.71417926372,22382.49141831939,1075658.8733441387,0.0,0.4516550206357461,400,0.977335873837073,61462.133130474715,451618.2511458452,1.0,4.445983905345182,0.0079626273363828,0.0055606178939342,50,8
synthetic_smoke,Piecewise-linear MILP baseline,386.7888740652868,353.5095209652868,420.06822716528677,508.4456074066085,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0393033759901298,0.0096139379893429,0.0095307079609483,2,2
synthetic_smoke,DifferentialEvolutionOptimizer,2543.7182267904623,1530.5585862749836,2451.713736351211,3398.78798066155,0.0,0.1109265019770162,16,0.8740593852520958,738.9435518180765,3721.5643505436155,1.0,0.0211612501880152,0.005183729052077949,0.0049887500936165,2,2
synthetic_smoke,IPOPT/Pyomo nonlinear baseline,6419.646250269683,6253.254016970484,6586.038483568882,8149.351987811503,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0375372510170561,0.00939639599528155,0.0091669170651584,2,2
synthetic_smoke,SLSQPDispatchOptimizer,6419.646250269683,6253.254016970484,6586.038483568882,8149.351987811503,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0372775411233304,0.00932027056114745,0.0092407499905675,2,2
synthetic_smoke,Stress-only reserve heuristic baseline,7156.844397407936,7088.707197667648,7224.981597148225,8997.158396565137,0.0,0.0890736259307365,0,1.0,0.0,2280.4603600000005,1.0,8.766609244048595e-05,1.9312486983835697e-05,1.4541088603436949e-05,2,2
synthetic_smoke,CMPO-local polynomial search,7183.95056056929,7090.833653854403,7276.772648830867,9049.333653067813,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0468661659397183,0.011699270457029301,0.0115674169501289,2,2
synthetic_smoke,GPU-parallel random restart baseline,7184.392788249259,7092.012927667647,7276.772648830868,9049.77588074778,0.0,0.0,0,1.0,0.0,0.0,1.0,1.1126292920671403,0.09562202100642025,0.0945441670482978,2,2
synthetic_smoke,GreedyCriticalLoadFirst,7184.392788249259,7092.012927667647,7276.772648830868,9049.77588074778,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2
synthetic_smoke,QUBO/quadratized local search baseline,7185.088040499258,7092.210267667648,7277.9658133308685,9051.01838024778,0.0,0.0,0,1.0,0.0,0.0,1.0,0.5901452919933944,0.1440229794825427,0.142056499957107,2,2
