dataset,left_method,right_method,metric,paired_count,median_delta_left_minus_right,mean_delta_left_minus_right,left_better_fraction
qci_small_synthetic,CMPO-local polynomial search,DifferentialEvolutionOptimizer,expected_cost_component,16,12409.823914255574,11198.402696135408,0.0
qci_small_synthetic,CMPO-local polynomial search,GPU-parallel random restart baseline,expected_cost_component,16,0.0,0.0,0.0
qci_small_synthetic,CMPO-local polynomial search,GreedyCriticalLoadFirst,expected_cost_component,16,0.0,0.0,0.0
qci_small_synthetic,CMPO-local polynomial search,IPOPT/Pyomo nonlinear baseline,expected_cost_component,16,568.0413482098947,2007.0117761497845,0.0
qci_small_synthetic,CMPO-local polynomial search,Piecewise-linear MILP baseline,expected_cost_component,16,14138.619131786778,12783.981855671367,0.0
qci_small_synthetic,CMPO-local polynomial search,QUBO/quadratized local search baseline,expected_cost_component,16,-6.143358469455052,395.0125244506082,0.75
qci_small_synthetic,CMPO-local polynomial search,SLSQPDispatchOptimizer,expected_cost_component,16,568.0413482098947,2007.0117761497845,0.0
qci_small_synthetic,CMPO-local polynomial search,Stress-only reserve heuristic baseline,expected_cost_component,16,920.7555117681295,4120.678429628394,0.0
qci_small_synthetic,CMPO-local polynomial search,qBraid GPU-parallel random restart baseline,expected_cost_component,16,0.0,0.0,0.0
qci_small_synthetic,DifferentialEvolutionOptimizer,GPU-parallel random restart baseline,expected_cost_component,16,-12409.823914255574,-11198.402696135408,1.0
qci_small_synthetic,DifferentialEvolutionOptimizer,GreedyCriticalLoadFirst,expected_cost_component,16,-12409.823914255574,-11198.402696135408,1.0
qci_small_synthetic,DifferentialEvolutionOptimizer,IPOPT/Pyomo nonlinear baseline,expected_cost_component,16,-8616.345707080356,-9191.390919985624,1.0
qci_small_synthetic,DifferentialEvolutionOptimizer,Piecewise-linear MILP baseline,expected_cost_component,16,3119.0369300821603,1585.5791595359583,0.375
qci_small_synthetic,DifferentialEvolutionOptimizer,QUBO/quadratized local search baseline,expected_cost_component,16,-12417.855361823684,-10803.390171684801,1.0
qci_small_synthetic,DifferentialEvolutionOptimizer,SLSQPDispatchOptimizer,expected_cost_component,16,-8616.345707080356,-9191.390919985624,1.0
qci_small_synthetic,DifferentialEvolutionOptimizer,Stress-only reserve heuristic baseline,expected_cost_component,16,-7273.707793659962,-7077.724266507014,0.875
qci_small_synthetic,DifferentialEvolutionOptimizer,qBraid GPU-parallel random restart baseline,expected_cost_component,16,-12409.823914255574,-11198.402696135408,1.0
qci_small_synthetic,GPU-parallel random restart baseline,GreedyCriticalLoadFirst,expected_cost_component,16,0.0,0.0,0.0
