method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,scenario_probability,scenario_total_load_kwh,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_upgrade_cost
GreedyCriticalLoadFirst,normal,MG1-MG2-MG3,21620.495912795774,21620.495912795774,21634.895912795357,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.375,10124.343,0.0,0,0.0
SLSQPDispatchOptimizer,normal,MG1-MG2-MG3,18696.053879979965,16923.840835481238,15980.863082270405,0.999997999238195,0.9999998530986578,0.011141796006980885,0.010419547808178813,False,0.11004829220473766,1,SLSQP reported failure gracefully: Iteration limit reached,0.375,10124.343,1.100495706929416e-06,4,0.0
CMPO-local polynomial search,normal,MG1-MG2-MG3,21620.495912795774,21620.495912795774,21634.895912795357,1.0,1.0,0.0,0.0,True,0.10506416717544198,2,"Pre-QCi polynomial search proxy; best energy from 2 repeats, median_energy=10470852.162009.",0.375,10124.343,0.0,0,0.0
GreedyCriticalLoadFirst,renewable_shortfall,MG1-MG2-MG3,22650.75263560349,22650.75263560349,22665.152635604645,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.125,10326.82986,0.0,0,0.0
SLSQPDispatchOptimizer,renewable_shortfall,MG1-MG2-MG3,20746.289604122016,26014.63474263483,19028.822619637245,0.9999970457120874,0.9999997827637453,0.016782432580794635,0.01569301800389683,False,0.0989510421641171,1,SLSQP reported failure gracefully: Iteration limit reached,0.125,10326.82986,1.6251291837197593e-06,4,0.0
CMPO-local polynomial search,renewable_shortfall,MG1-MG2-MG3,22650.75263560349,22650.75263560349,22665.152635604645,1.0,1.0,0.0,0.0,True,0.10245358385145664,2,"Pre-QCi polynomial search proxy; best energy from 2 repeats, median_energy=9817060.242368.",0.125,10326.82986,0.0,0,0.0
GreedyCriticalLoadFirst,demand_surge,MG1-MG2-MG3,22725.277040168363,22725.277040168363,22739.677040168644,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.125,12372.342199800001,0.0,0,0.0
SLSQPDispatchOptimizer,demand_surge,MG1-MG2-MG3,18455.162677987923,144943.7731189399,15459.929498526059,0.9999990800700772,0.9999999324118756,0.0062609748011495875,0.005854917761268534,False,0.09850508300587535,1,SLSQP reported failure gracefully: Iteration limit reached,0.125,12372.342199800001,5.06046042054252e-07,4,0.0
CMPO-local polynomial search,demand_surge,MG1-MG2-MG3,22725.277040168363,22725.277040168363,22739.677040168644,1.0,1.0,0.0,0.0,True,0.10125029133632779,2,"Pre-QCi polynomial search proxy; best energy from 2 repeats, median_energy=9983683.425240.",0.125,12372.342199800001,0.0,0,0.0
GreedyCriticalLoadFirst,pcc_failure,MG1-MG2-MG3,74337.13526797302,74337.13526797302,22440.512233424328,1.0,0.9856348043586406,74.15860433507169,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.0625,10630.560150000001,0.006975982759955662,0,0.0
SLSQPDispatchOptimizer,pcc_failure,MG1-MG2-MG3,30721.58079182247,71578.35767401315,21601.772742537327,0.9999997904516378,0.9999997099994905,0.0026429410567292287,0.0011458481121105913,False,0.10070925019681454,1,SLSQP reported failure gracefully: Iteration limit reached,0.0625,10630.560150000001,2.486172900991702e-07,4,0.0
CMPO-local polynomial search,pcc_failure,MG1-MG2-MG3,48907.56570927061,48907.56570927061,22440.512233424328,1.0,0.9956031385173142,22.698271513394985,0.0,False,0.10191299999132752,2,"Pre-QCi polynomial search proxy; best energy from 2 repeats, median_energy=597594202.318818.",0.0625,10630.560150000001,0.002135190544347278,0,0.0
GreedyCriticalLoadFirst,local_generator_failure,MG1-MG2-MG3,47892.848179263834,23347179.951440036,15319.151072029208,1.0,0.9908739176391357,46.66362000000004,0.0,False,0.0,1,Deterministic critical-load-first heuristic.,0.0625,10529.31672,0.004431780450802132,0,0.0
