n_scenarios,n_microgrids,horizon,method,expected_cost,critical_load_served_fraction,critical_energy_not_served_kwh,feasibility_rate,median_runtime_seconds,variable_count_per_hamiltonian,term_count_per_hamiltonian,payload_count
2,3,4,CMPO-local polynomial search,7272.121427741584,1.0,0.0,0.0,0.01765602082014084,44,272,2
2,3,4,DifferentialEvolutionOptimizer,3066.261982080011,0.8209786465693949,525.5901928116693,1.0,0.005923332879319787,44,272,2
2,3,4,GreedyCriticalLoadFirst,7276.772648830868,1.0,0.0,1.0,0.0,44,272,2
2,3,4,SLSQPDispatchOptimizer,2860.8723596969935,0.9999999186121225,0.00024089813016506714,0.0,0.021570249926298857,44,272,2
4,3,4,CMPO-local polynomial search,7344.919756270116,1.0,0.0,0.25,0.01758214575238526,44,280,4
4,3,4,GreedyCriticalLoadFirst,7349.5709773594,1.0,0.0,1.0,0.0,44,280,4
4,3,4,SLSQPDispatchOptimizer,3895.478462753431,0.9999995585272522,0.0028914939450962692,0.0,0.021397020667791367,44,280,4
8,3,4,CMPO-local polynomial search,6690.34714371629,0.9456530499849274,824.0158554022983,0.375,0.018416479229927063,44,283,8
8,3,4,GreedyCriticalLoadFirst,6694.998364805575,0.9390249083983928,924.5126405510716,1.0,0.0,44,283,8
8,3,4,SLSQPDispatchOptimizer,4224.94756552629,0.9999420922474247,0.8772870122931028,0.125,0.02309508342295885,44,283,8
8,3,4,CMPO-local polynomial search,6690.34714371629,0.9456530499849274,824.0158554022983,0.375,0.017984124831855297,44,283,8
8,3,4,GreedyCriticalLoadFirst,6694.998364805575,0.9390249083983928,924.5126405510716,1.0,0.0,44,283,8
8,3,4,SLSQPDispatchOptimizer,4224.94756552629,0.9999420922474247,0.8772870122931028,0.125,0.022135228849947453,44,283,8
2,3,6,CMPO-local polynomial search,14362.02357820234,1.0,0.0,1.0,0.039958145935088396,66,408,2
2,3,6,GreedyCriticalLoadFirst,14362.02357820234,1.0,0.0,1.0,0.0,66,408,2
2,3,6,SLSQPDispatchOptimizer,4372.590656564872,0.999999174045249,0.0047300122977476395,0.0,0.046362083638086915,66,408,2
4,3,6,CMPO-local polynomial search,14570.864575342543,1.0,0.0,1.0,0.04033216694369912,66,420,4
4,3,6,GreedyCriticalLoadFirst,14570.864575342543,1.0,0.0,1.0,0.0,66,420,4
4,3,6,SLSQPDispatchOptimizer,6967.830889146516,0.9999992780638586,0.008694618184269393,0.0,0.047138874884694815,66,420,4
8,3,6,CMPO-local polynomial search,13421.435716258195,0.9383888177650687,1819.5695710204777,1.0,0.04119912511669099,66,424,8
8,3,6,GreedyCriticalLoadFirst,13421.435716258195,0.9350062346960268,1919.467755093759,1.0,0.0,66,424,8
8,3,6,SLSQPDispatchOptimizer,8063.157226327379,0.999999360922859,0.015495288887711282,0.25,0.04733520862646401,66,424,8
8,3,6,CMPO-local polynomial search,13421.435716258195,0.9383888177650687,1819.5695710204777,1.0,0.041496603982523084,66,424,8
8,3,6,GreedyCriticalLoadFirst,13421.435716258195,0.9350062346960268,1919.467755093759,1.0,0.0,66,424,8
8,3,6,SLSQPDispatchOptimizer,8063.157226327379,0.999999360922859,0.015495288887711282,0.25,0.048066333401948214,66,424,8
2,4,4,CMPO-local polynomial search,7272.121427741584,1.0,0.0,0.0,0.01787256239913404,44,272,2
2,4,4,GreedyCriticalLoadFirst,7276.772648830868,1.0,0.0,1.0,0.0,44,272,2
2,4,4,SLSQPDispatchOptimizer,2860.8723596969935,0.9999999186121225,0.00024089813016506714,0.0,0.021430396009236574,44,272,2
4,4,4,CMPO-local polynomial search,7344.919756270116,1.0,0.0,0.25,0.01792216720059514,44,280,4
4,4,4,GreedyCriticalLoadFirst,7349.5709773594,1.0,0.0,1.0,0.0,44,280,4
4,4,4,SLSQPDispatchOptimizer,3895.478462753431,0.9999995585272522,0.0028914939450962692,0.0,0.02154231257736683,44,280,4
8,4,4,CMPO-local polynomial search,6690.34714371629,0.9456530499849274,824.0158554022983,0.375,0.01815018756315112,44,283,8
8,4,4,GreedyCriticalLoadFirst,6694.998364805575,0.9390249083983928,924.5126405510716,1.0,0.0,44,283,8
8,4,4,SLSQPDispatchOptimizer,4224.94756552629,0.9999420922474247,0.8772870122931028,0.125,0.02172085433267057,44,283,8
8,4,4,CMPO-local polynomial search,6690.34714371629,0.9456530499849274,824.0158554022983,0.375,0.01820795820094645,44,283,8
8,4,4,GreedyCriticalLoadFirst,6694.998364805575,0.9390249083983928,924.5126405510716,1.0,0.0,44,283,8
8,4,4,SLSQPDispatchOptimizer,4224.94756552629,0.9999420922474247,0.8772870122931028,0.125,0.022327249869704247,44,283,8
2,4,6,CMPO-local polynomial search,14362.02357820234,1.0,0.0,1.0,0.04032277059741318,66,408,2
2,4,6,GreedyCriticalLoadFirst,14362.02357820234,1.0,0.0,1.0,0.0,66,408,2
