method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,scenario_probability,scenario_total_load_kwh,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_upgrade_cost
GreedyCriticalLoadFirst,normal,MG1-MG2-MG3,23009.443778175082,23009.443778175082,23031.04377817433,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.375,15398.061999999998,0.0,0,0.0
SLSQPDispatchOptimizer,normal,MG1-MG2-MG3,3733.2088921060613,39671.986641948926,3374.9424026824395,0.9999956630272286,0.9999997218588335,0.028080702869907992,0.026246912602576944,False,1.212942791171372,1,SLSQP reported failure gracefully: Iteration limit reached,0.375,15398.061999999998,1.8236517601960554e-06,6,0.0
DifferentialEvolutionOptimizer,normal,MG1-MG2-MG3,24280532.39595539,21518260.73103438,7398.676455639839,0.7283542306767168,0.5607065411031233,4540.242773000953,1643.9722225966286,True,0.25414275005459785,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.375,15398.061999999998,0.2948580654501166,6,0.0
CMPO-local polynomial search,normal,MG1-MG2-MG3,23007.727652762238,23007.727652762238,23028.466291076573,1.0,1.0,0.0,0.0,False,1.7246360420249403,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=19581001.495292.",0.375,15398.061999999998,0.0,0,0.0
GreedyCriticalLoadFirst,renewable_shortfall,MG1-MG2-MG3,24215.90733408341,24215.90733408341,24237.50733408308,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.125,15706.02324,0.0,0,0.0
SLSQPDispatchOptimizer,renewable_shortfall,MG1-MG2-MG3,4844.336154731982,40870.71460169516,4506.468702160565,0.9999980078998016,0.9999998723219293,0.013155724716322063,0.012297104964637155,False,1.1628307080827653,1,SLSQP reported failure gracefully: Iteration limit reached,0.125,15706.02324,8.376228988899715e-07,6,0.0
DifferentialEvolutionOptimizer,renewable_shortfall,MG1-MG2-MG3,23299713.572098203,21927150.651210874,8493.438605623238,0.7111558040825829,0.5816848307265148,4596.135909067001,1783.0164358827271,True,0.25681395875290036,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.125,15706.02324,0.2926352418326742,6,0.0
CMPO-local polynomial search,renewable_shortfall,MG1-MG2-MG3,24214.191208671033,24214.191208671033,24234.92984698532,1.0,1.0,0.0,0.0,False,1.742331916000694,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=18534644.488882.",0.125,15706.02324,0.0,0,0.0
GreedyCriticalLoadFirst,demand_surge,MG1-MG2-MG3,24347.488237683614,24347.488237683614,24369.08823768309,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.125,18813.009719999995,0.0,0,0.0
SLSQPDispatchOptimizer,demand_surge,MG1-MG2-MG3,5608.18988876158,42666.20824007252,5178.675192607174,0.9999953817044649,0.9999997043129041,0.03653166755895434,0.03414979223727787,False,1.2033330420963466,1,SLSQP reported failure gracefully: Iteration limit reached,0.125,18813.009719999995,1.9418300475398014e-06,6,0.0
DifferentialEvolutionOptimizer,demand_surge,MG1-MG2-MG3,20859157.647037,19833107.147663463,7628.49840966613,0.8239758307161962,0.5985914672506025,4535.10620773387,1301.6033218562807,True,0.2645824169740081,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.125,18813.009719999995,0.24106223699616902,6,0.0
CMPO-local polynomial search,demand_surge,MG1-MG2-MG3,24345.772112271236,24345.772112271236,24366.51075058533,1.0,1.0,0.0,0.0,False,1.7268532495945692,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=18670906.951397.",0.125,18813.009719999995,0.0,0,0.0
GreedyCriticalLoadFirst,pcc_failure,MG1-MG2-MG3,312965.4568313655,312965.4568313655,23926.452839935147,1.0,0.9403490760416696,412.94371998775915,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.0625,16167.9651,0.025540859188752155,0,0.0
SLSQPDispatchOptimizer,pcc_failure,MG1-MG2-MG3,66723.80378872449,247290.1926752887,22780.106206492113,0.9999967207696098,0.9996431885801749,2.4909259028550452,0.020837842867257057,False,1.279585334006697,1,SLSQP reported failure gracefully: Iteration limit reached,0.0625,16167.9651,0.0001540655170547743,6,0.0
DifferentialEvolutionOptimizer,pcc_failure,MG1-MG2-MG3,444844874.561726,31531375.98685783,9080.131622518256,0.5935072778955517,0.5841676464790143,5461.725264055896,2583.054699385785,True,0.25384991616010666,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.0625,16167.9651,0.3378115446362447,6,0.0
CMPO-local polynomial search,pcc_failure,MG1-MG2-MG3,219038.02679633687,228293.75419780205,23923.87535283739,1.0,0.9654983829065787,238.84334328338542,0.0,True,1.7194537911564112,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=1755212724.650896.",0.0625,16167.9651,0.014772628577939312,0,0.0
GreedyCriticalLoadFirst,local_generator_failure,MG1-MG2-MG3,93553.78803990137,18116947.49531496,22233.14091493717,1.0,0.9851281587965095,101.97236000000021,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.0625,16013.984479999996,0.006367706933109269,0,0.0
SLSQPDispatchOptimizer,local_generator_failure,MG1-MG2-MG3,18105366.251002252,18103581.006309584,22131.609176588125,1.0,0.9866153429168585,91.77512400000018,0.0,True,0.12948395777493715,1,SLSQP completed.,0.0625,16013.984479999996,0.005730936239798342,0,0.0
DifferentialEvolutionOptimizer,local_generator_failure,MG1-MG2-MG3,85384502.98465976,81096217.7608826,6482.686019823821,0.5803814380367279,0.5700496391693517,5589.126029779749,2641.067858847788,True,0.2511313329450786,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.0625,16013.984479999996,0.349015326994981,6,0.0
CMPO-local polynomial search,local_generator_failure,MG1-MG2-MG3,40566.25142028376,18030048.4322746,22230.56342783941,1.0,1.0,0.0,0.0,False,1.7169584170915186,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=209051276.580116.",0.0625,16013.984479999996,0.0,0,0.0
GreedyCriticalLoadFirst,storm_forced_islanding,MG1-MG2-MG3,2829887.275439032,2829887.275439032,23799.709861791787,1.0,0.48472375263455936,4008.7273793960617,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.0625,18169.713159999996,0.2206268940018898,0,0.0
SLSQPDispatchOptimizer,storm_forced_islanding,MG1-MG2-MG3,1391051.6010473238,3134593.099323854,23799.76921827482,0.9999960171577984,0.8756696756745256,967.2889706592257,0.028442426016876448,True,1.326951541006565,1,SLSQP reported failure gracefully: Iteration limit reached,0.0625,18169.713159999996,0.0532363368723222,6,0.0
DifferentialEvolutionOptimizer,storm_forced_islanding,MG1-MG2-MG3,1925101988.2509768,40048281.065811776,7745.847119143489,0.4951423126347436,0.5848970629917201,6834.711855833704,3605.3091473625427,True,0.26102912472561,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.0625,18169.713159999996,0.376159590173393,6,0.0
